id_equipo;nombre_equipo;vulnerabilidad;severidad
529;Barcelona;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
541;Real Madrid;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
530;Atletico Madrid;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
533;Villarreal;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
540;Espanyol;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
543;Real Betis;Fragilidad defensiva: Concede demasiados remates al oponente;Media
543;Real Betis;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
538;Celta Vigo;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
548;Real Sociedad;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
727;Osasuna;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
547;Girona;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
797;Elche;Fragilidad defensiva: Concede demasiados remates al oponente;Media
797;Elche;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
536;Sevilla;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
531;Athletic Club;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
532;Valencia;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
542;Alaves;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
728;Rayo Vallecano;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
546;Getafe;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
546;Getafe;Imprecisión técnica: Alto porcentaje de pérdida en construcción;Media
798;Mallorca;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
539;Levante;Fragilidad defensiva: Concede demasiados remates al oponente;Media
539;Levante;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
718;Oviedo;Vulnerabilidad en área: El rival penetra y remata en zona de peligro con facilidad;Media
