id_equipo;nombre_equipo;vulnerabilidad;severidad
529;Barcelona;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
541;Real Madrid;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
530;Atletico Madrid;Juego estéril: Posesión alta pero sin profundidad ofensiva;Media
533;Villarreal;Falta de control: Dificultad para mantener la posesión;Media
540;Espanyol;Falta de control: Dificultad para mantener la posesión;Media
543;Real Betis;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
538;Celta Vigo;Juego estéril: Posesión alta pero sin profundidad ofensiva;Media
548;Real Sociedad;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
727;Osasuna;Falta de control: Dificultad para mantener la posesión;Media
547;Girona;Juego estéril: Posesión alta pero sin profundidad ofensiva;Media
797;Elche;Juego estéril: Posesión alta pero sin profundidad ofensiva;Alta
797;Elche;Vulnerabilidad en área propia: Concede demasiados remates cercanos;Alta
536;Sevilla;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
531;Athletic Club;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
532;Valencia;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
542;Alaves;Juego estéril: Posesión alta pero sin profundidad ofensiva;Alta
542;Alaves;Vulnerabilidad en área propia: Concede demasiados remates cercanos;Alta
728;Rayo Vallecano;Rendimiento equilibrado: Sin anomalías negativas detectadas;Media
546;Getafe;Imprecisión técnica: Errores frecuentes en la entrega;Media
798;Mallorca;Falta de control: Dificultad para mantener la posesión;Media
539;Levante;Falta de control: Dificultad para mantener la posesión;Alta
539;Levante;Vulnerabilidad en área propia: Concede demasiados remates cercanos;Alta
718;Oviedo;Juego estéril: Posesión alta pero sin profundidad ofensiva;Media
