id_equipo;nombre_equipo;puntuacion_forma;estado;tendencia;variabilidad
541;Real Madrid;10.0;🔥 Positivo;3.22;0.64
548;Real Sociedad;8.99;🔥 Positivo;2.7;1.13
529;Barcelona;8.73;🔥 Positivo;2.62;0.84
727;Osasuna;7.45;🔥 Positivo;2.23;1.0
530;Atletico Madrid;7.38;🔥 Positivo;2.21;1.01
547;Girona;6.96;🔥 Positivo;2.09;0.82
532;Valencia;6.38;🔥 Positivo;1.91;1.12
538;Celta Vigo;6.37;🔥 Positivo;1.91;0.98
539;Levante;5.85;🔥 Positivo;1.76;0.99
543;Real Betis;5.01;📊 Estable;1.5;1.07
533;Villarreal;4.67;📊 Estable;1.4;0.8
542;Alaves;4.51;📊 Estable;1.35;1.27
536;Sevilla;4.35;📊 Estable;1.31;1.04
797;Elche;3.38;📊 Estable;1.01;0.55
798;Mallorca;3.3;📊 Estable;0.99;0.94
728;Rayo Vallecano;2.88;❌ Crítico;0.86;0.8
718;Oviedo;2.81;❌ Crítico;0.84;0.4
540;Espanyol;2.33;❌ Crítico;0.7;0.59
546;Getafe;1.69;❌ Crítico;0.51;0.39
531;Athletic Club;1.16;❌ Crítico;0.35;0.23
