id_jugador;nombre_jugador;id_equipo;posicion;estado;score_temporada;score_reciente;evolucion
329728;Marc Casadó;529;Mediocentro;Pocos minutos;3.86;0.0;0.0
126;Iñaki Peña;529;Portero;Rendimiento Alto;0.0;5.73;5.73
127;M. ter Stegen;529;Portero;Pocos minutos;0.0;0.0;0.0
161928;Alejandro Balde;529;Defensa;Estable;6.21;5.66;-0.55
2282;A. Christensen;529;Defensa;Pocos minutos;2.48;0.0;0.0
182718;Joan García;529;Portero;Rendimiento Alto;1.72;5.79;4.07
133609;Pedri;529;Mediocentro;Rendimiento Alto;8.81;59.49;50.67
521;R. Lewandowski;529;Delantero;Estable;3.25;5.39;2.14
538;F. de Jong;529;Mediocentro;Rendimiento Alto;5.94;78.37;72.43
619;Eric García;529;Defensa;Estable;7.93;7.86;-0.07
340626;Fermín;529;Mediocentro;Rendimiento Alto;2.93;29.35;26.42
383647;D. Kochen;529;Portero;Pocos minutos;0.0;0.0;0.0
568001;X. Espart;529;Defensa;Pocos minutos;0.0;0.0;0.0
543468;Eder Aller;529;Portero;Pocos minutos;0.0;0.0;0.0
851;W. Szczęsny;529;Portero;Pocos minutos;0.8;0.0;0.0
855;João Cancelo;529;Defensa;Pocos minutos;4.5;0.0;0.0
909;M. Rashford;529;Delantero;Estable;3.84;5.98;2.14
441232;Guille Fernández;529;Mediocentro;Pocos minutos;0.0;0.0;0.0
931;Ferran Torres;529;Delantero;Estable;3.47;6.37;2.9
338958;R. Bardghji;529;Mediocentro;Pocos minutos;2.18;0.0;0.0
1257;J. Koundé;529;Defensa;Rendimiento Bajo;7.52;6.49;-1.03
433396;Marc Bernal;529;Mediocentro;Pocos minutos;0.5;0.0;0.0
1323;Dani Olmo;529;Mediocentro;Rendimiento Alto;2.31;42.36;40.05
396623;Pau Cubarsí Paredes;529;Defensa;Estable;7.05;6.73;-0.32
101814;R. Araújo;529;Defensa;Estable;4.87;6.52;1.64
181701;Gerard Martín;529;Defensa;Estable;4.96;5.76;0.8
1496;Raphinha;529;Mediocentro;Rendimiento Alto;3.31;33.47;30.16
445973;Toni Fernández;529;Delantero;Pocos minutos;1.0;0.0;0.0
491086;Tomás Marqués;529;Mediocentro;Pocos minutos;0.0;0.0;0.0
491087;Pedro Fernández;529;Mediocentro;Pocos minutos;1.5;0.0;0.0
579244;Juan Hernández;529;Mediocentro;Pocos minutos;0.0;0.0;0.0
296667;Gavi;529;Mediocentro;Pocos minutos;2.5;0.0;0.0
491250;Jofre Torrents;529;Defensa;Pocos minutos;1.67;0.0;0.0
386828;Lamine Yamal;529;Mediocentro;Rendimiento Alto;11.47;60.04;48.57
548867;T. Seidu;530;Mediocentro;Pocos minutos;0.0;0.0;0.0
29;J. Oblak;530;Portero;Rendimiento Alto;0.98;4.79;3.81
