id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
286611;Pablo Cuñat;539;Pocos minutos;5.17;0.0;0.0
1118;J. Toljan;539;Estable;4.49;4.42;-0.07
734;Dela;539;Rendimiento Alto;4.7;5.07;0.37
46941;Unai Elgezabal;539;Estable;4.22;4.03;-0.19
408320;Jorge Cabello;539;Pocos minutos;4.23;0.0;0.0
64309;Manu Sánchez;539;Estable;4.62;4.58;-0.04
46790;Víctor García;539;Estable;4.6;4.78;0.18
104949;Pablo Martínez;539;Estable;4.75;4.86;0.11
106727;Oriol Rey;539;Pocos minutos;4.38;0.0;0.0
47225;Brugui;539;Estable;4.22;4.32;0.09
192032;Iván Romero;539;Estable;4.92;4.65;-0.27
47467;José Luis Morales;539;Pocos minutos;4.4;0.0;0.0
104832;Diego Pampín;539;Pocos minutos;4.2;0.0;0.0
421807;M. Moreno;539;Estable;4.78;5.0;0.22
182770;Carlos Álvarez;539;Estable;5.1;5.39;0.29
463279;Paco Cortés;539;Pocos minutos;4.08;0.0;0.0
450497;Carlos Espí;539;Estable;4.32;4.48;0.16
47353;Sivera;542;Estable;4.45;4.52;0.07
18740;Jonny;542;Estable;4.67;4.54;-0.13
6638;F. Garcés;542;Estable;4.49;4.49;0.0
6233;N. Tenaglia;542;Estable;4.8;4.59;-0.21
128951;Víctor Parada;542;Estable;4.21;4.1;-0.11
162686;Antonio Blanco;542;Rendimiento Alto;5.07;5.47;0.4
187214;Carlos Vicente;542;Rendimiento Alto;4.84;5.17;0.33
104821;Jon Guridi;542;Estable;3.97;3.97;0.0
139001;Pablo Ibáñez;542;Estable;4.86;4.97;0.11
143;Carles Aleñá;542;Estable;4.69;4.74;0.05
47181;Toni Martínez;542;Estable;4.86;5.01;0.15
183751;A. Rebbach;542;Rendimiento Bajo;4.57;4.18;-0.38
760;M. Díaz;542;Pocos minutos;4.15;0.0;0.0
266658;Calebe;542;Rendimiento Bajo;4.71;4.35;-0.36
47309;Guevara;542;Estable;4.42;4.28;-0.14
361384;Yusi;542;Estable;4.31;4.25;-0.06
70476;M. Diarra;542;Pocos minutos;4.23;0.0;0.0
6085;C. Benavídez;542;Estable;4.14;4.17;0.04
47270;Unai Simón;531;Estable;4.5;4.67;0.18
182181;Jesús Areso;531;Estable;4.42;4.15;-0.27
47278;Dani Vivian;531;Estable;4.47;4.35;-0.12
183849;Aitor Paredes;531;Estable;4.84;4.73;-0.11
47273;Yuri;531;Estable;4.85;4.92;0.08
47007;Ruíz de Galarreta;531;Estable;4.91;4.62;-0.29
383780;Mikel Jauregizar;531;Estable;4.87;4.99;0.12
47294;I. Williams;531;Estable;4.31;4.37;0.06
30510;Álex Berenguer;531;Estable;5.0;5.1;0.1
183799;Nico Williams;531;Estable;5.39;5.26;-0.13
287680;Maroan Sannadi;531;Estable;4.1;4.18;0.09
84086;Robert Navarro;531;Estable;4.69;4.97;0.29
47291;Gorka Guruzeta;531;Estable;4.31;4.25;-0.06
47418;Mikel Vesga;531;Pocos minutos;4.23;0.0;0.0
47299;Gorosabel;531;Pocos minutos;4.19;0.0;0.0
332309;Alejandro Rego;531;Estable;4.42;4.28;-0.13
336998;A. Boiro;531;Estable;4.12;4.05;-0.07
47276;Lekue;531;Estable;4.36;4.15;-0.21
182639;Unai Vencedor;539;Estable;4.62;4.8;0.19
286593;Nico Serrano;531;Pocos minutos;4.25;0.0;0.0
183776;Urko Izeta;531;Pocos minutos;4.14;0.0;0.0
19172;Ø. Nyland;536;Pocos minutos;3.98;0.0;0.0
182772;Juanlu Sánchez;536;Estable;4.74;4.52;-0.22
338902;Andrés Castrín;536;Estable;4.79;4.87;0.08
297311;Kike Salas;536;Estable;5.42;5.53;0.11
195923;José Ángel Carmona;536;Estable;4.89;4.72;-0.17
1489;N. Gudelj;536;Estable;4.46;4.35;-0.12
25458;D. Lukebakio;536;Pocos minutos;5.93;0.0;0.0
21004;L. Agoumé;536;Estable;4.92;5.08;0.16
957;D. Sow;536;Estable;4.64;4.67;0.03
340152;S. Idumbo-Muzambo;536;Pocos minutos;4.21;0.0;0.0
57446;A. Adams;536;Estable;4.56;4.8;0.23
39121;C. Ejuke;536;Estable;4.56;4.84;0.28
2924;A. Januzaj;536;Rendimiento Alto;4.61;5.1;0.49
433;Marcão;536;Estable;4.53;4.61;0.08
185398;Isaac;536;Estable;4.2;3.95;-0.25
47329;Adrià Pedrosa;797;Pocos minutos;4.51;0.0;0.0
162126;Peque Fernández;536;Estable;4.8;4.95;0.15
331607;Manu Bueno;536;Pocos minutos;4.58;0.0;0.0
546798;M. Sierra;536;Pocos minutos;4.06;0.0;0.0
30765;I. Radu;538;Rendimiento Alto;4.8;5.21;0.41
384135;Javi Rodríguez;538;Estable;4.47;4.5;0.02
329722;Yoel Lago;538;Pocos minutos;4.53;0.0;0.0
2278;Marcos Alonso;538;Estable;4.82;4.77;-0.06
162712;Óscar Mingueza;538;Estable;4.96;5.01;0.04
47435;Fran Beltrán;547;Estable;4.41;4.69;0.28
162123;I. Moriba;538;Estable;4.74;4.49;-0.26
21584;M. Ristić;538;Pocos minutos;4.43;0.0;0.0
47445;Iago Aspas;538;Estable;4.38;4.12;-0.26
122734;Ferran Jutglà;538;Estable;4.41;4.38;-0.03
269163;W. Swedberg;538;Rendimiento Alto;4.51;4.84;0.32
313651;Hugo Sotelo;538;Estable;4.92;5.07;0.15
351913;J. El Abdellaoui;538;Rendimiento Alto;4.51;4.86;0.36
286639;Bryan Zaragoza;538;Estable;4.42;4.71;0.29
47348;Borja Iglesias;538;Estable;4.57;4.56;-0.02
320517;Pablo Durán;538;Estable;4.28;4.03;-0.25
179955;Javi Rueda;538;Estable;4.75;4.71;-0.04
182638;Manu Fernández;538;Estable;4.53;4.65;0.12
286559;Carlos Domínguez;538;Pocos minutos;4.69;0.0;0.0
157988;Sergio Carreira;538;Estable;4.9;4.85;-0.04
333502;Miguel Román;538;Estable;4.73;4.9;0.17
329720;Hugo Álvarez;538;Estable;4.49;4.44;-0.04
47247;David Soria;546;Rendimiento Bajo;4.53;3.89;-0.63
439617;Z. Tassounte;546;Pocos minutos;5.03;0.0;0.0
119742;Juan Iglesias;546;Estable;4.85;4.84;-0.01
47250;D. Dakonam;546;Estable;4.47;4.58;0.11
18867;Diego Rico;546;Estable;4.65;4.84;0.19
471478;Davinchi;546;Estable;4.46;4.41;-0.05
343205;Mario Martín;546;Estable;4.51;4.43;-0.07
47085;Luis Milla;546;Estable;5.34;5.23;-0.1
47258;M. Arambarri;546;Estable;4.94;4.95;0.02
394573;Adrian Liso;546;Estable;4.49;4.34;-0.15
403554;Christantus Uche;546;Estable;5.38;5.38;0.0
309364;Coba;546;Pocos minutos;4.31;0.0;0.0
1557;Pau López;543;Pocos minutos;4.81;0.0;0.0
1439;Héctor Bellerín;543;Estable;4.27;4.26;-0.0
1561;Marc Bartra;543;Estable;4.92;4.73;-0.19
195100;Natan;543;Estable;4.6;4.68;0.08
1631;R. Rodríguez;543;Estable;4.32;4.1;-0.22
286084;Sergi Altimira;543;Estable;4.95;4.69;-0.27
1697;Pablo Fornals;543;Estable;5.47;5.46;-0.01
47119;Aitor Ruibal;543;Rendimiento Alto;4.72;5.03;0.3
1578;G. Lo Celso;543;Rendimiento Bajo;5.26;4.8;-0.46
136117;Rodrigo Riquelme;543;Pocos minutos;4.42;0.0;0.0
47582;C. Hernández;543;Estable;4.96;4.8;-0.16
47579;E. Ávila;543;Pocos minutos;4.0;0.0;0.0
443163;Pablo García;543;Pocos minutos;4.12;0.0;0.0
3033;C. Bakambu;543;Pocos minutos;4.28;0.0;0.0
46990;Álvaro Vallés;543;Estable;4.46;4.48;0.02
355004;V. Gómez;543;Estable;4.78;4.52;-0.26
334574;Ángel Ortiz;543;Estable;4.41;4.45;0.04
1564;Junior Firpo;543;Estable;4.76;4.5;-0.26
128985;Iker Losada;539;Estable;4.35;4.57;0.22
11346;M. Dituro;797;Pocos minutos;4.83;0.0;0.0
182661;Álvaro Núñez;797;Estable;4.88;4.95;0.07
126640;D. Affengruber;797;Estable;4.88;4.61;-0.27
47378;Bigas;797;Estable;4.88;4.71;-0.18
157146;L. Pétrot;797;Estable;4.38;4.48;0.1
46711;Aleix Febas;797;Estable;5.54;5.46;-0.08
187318;Marc Aguado;797;Estable;4.52;4.58;0.06
448243;Ali Houary;797;Pocos minutos;4.27;0.0;0.0
161963;Germán Valera;797;Rendimiento Alto;5.15;5.48;0.33
343202;Á. Rodríguez;797;Rendimiento Alto;5.07;5.7;0.64
341371;Rodrigo Mendoza;797;Rendimiento Bajo;4.47;4.14;-0.33
46771;Jairo Izquierdo;797;Pocos minutos;4.02;0.0;0.0
271580;Martim Neto;797;Rendimiento Alto;4.89;5.25;0.37
119223;Mourad;797;Pocos minutos;4.51;0.0;0.0
47013;Rafa Mir;797;Estable;4.5;4.77;0.28
189866;John Nwankwo;797;Pocos minutos;4.51;0.0;0.0
162058;Víctor Chust;797;Estable;4.8;4.7;-0.1
8746;Bambo Diaby;797;Pocos minutos;3.58;0.0;0.0
311345;F. Redondo;797;Pocos minutos;3.99;0.0;0.0
2063;André Silva;797;Rendimiento Bajo;4.43;4.04;-0.39
29;J. Oblak;530;Estable;4.46;4.52;0.05
753;Marcos Llorente;530;Estable;4.83;5.01;0.18
47301;Robin Le Normand;530;Pocos minutos;4.57;0.0;0.0
30399;D. Hancko;530;Estable;4.63;4.72;0.09
162012;M. Ruggeri;530;Estable;4.53;4.36;-0.17
67972;C. Gallagher;530;Estable;4.4;4.58;0.19
133185;J. Cardoso;530;Estable;4.81;4.75;-0.06
323935;G. Simeone;530;Estable;5.05;4.93;-0.12
182219;Álex Baena;530;Estable;5.15;4.98;-0.17
6067;T. Almada;530;Rendimiento Bajo;5.03;4.53;-0.51
6009;J. Álvarez;530;Rendimiento Bajo;4.68;4.32;-0.36
50;Koke;530;Estable;5.02;5.03;0.01
336594;Pablo Barrios;530;Estable;5.26;5.26;-0.0
30543;G. Raspadori;530;Pocos minutos;3.97;0.0;0.0
56;A. Griezmann;530;Estable;4.34;4.18;-0.17
8492;A. Sørloth;530;Estable;4.77;4.88;0.1
2465;J. Musso;530;Pocos minutos;4.44;0.0;0.0
133;C. Lenglet;530;Estable;4.5;4.72;0.22
295793;Marc Pubill;530;Estable;5.62;5.67;0.05
47566;Javi Galán;727;Rendimiento Alto;4.95;5.58;0.63
6503;N. Molina;530;Estable;4.14;4.31;0.17
324750;Carlos Martín;728;Estable;4.41;4.41;0.0
2813;M. Dmitrović;540;Rendimiento Bajo;4.63;4.32;-0.3
286601;O. El Hilali;540;Estable;4.71;4.87;0.16
47478;Fernando Calero;540;Estable;4.65;4.61;-0.04
47249;L. Cabrera;540;Estable;4.62;4.57;-0.05
184420;Carlos Romero;540;Rendimiento Alto;5.17;5.59;0.42
127426;Pol Lozano;540;Estable;4.47;4.58;0.1
46799;Edu Expósito;540;Estable;5.37;5.3;-0.06
182674;Jofre Carreras;540;Estable;4.41;4.57;0.16
187987;Ramón Terrats;540;Estable;4.46;4.64;0.18
47349;Javi Puado;540;Estable;4.56;4.47;-0.08
312990;Roberto Fernández;540;Estable;4.47;4.34;-0.13
273732;T. Dolan;540;Estable;4.81;4.78;-0.03
47396;Kike García;540;Estable;4.47;4.48;0.0
47256;Miguel Rubio;540;Pocos minutos;4.53;0.0;0.0
47398;Pere Milla;540;Rendimiento Bajo;4.78;4.24;-0.54
184407;José Salinas;540;Pocos minutos;4.61;0.0;0.0
199824;Rubén Sánchez;540;Estable;4.3;4.15;-0.14
297742;Antoniu Roca;540;Pocos minutos;4.21;0.0;0.0
158;P. Gazzaniga;547;Rendimiento Bajo;4.49;4.04;-0.45
283668;Arnau Martínez;547;Estable;4.9;4.94;0.04
47334;David López;547;Estable;4.16;4.16;0.0
66407;L. Krejčí;547;Pocos minutos;3.66;0.0;0.0
531;D. Blind;547;Estable;4.78;4.99;0.2
2449;Y. Herrera;548;Estable;4.37;4.37;0.0
306727;J. Solis;547;Pocos minutos;4.13;0.0;0.0
339105;Joel Roca;547;Rendimiento Bajo;4.61;4.12;-0.49
2182;V. Tsygankov;547;Estable;5.08;5.3;0.22
109564;B. Miovski;547;Pocos minutos;3.9;0.0;0.0
281795;Y. Asprilla;547;Pocos minutos;4.58;0.0;0.0
432476;V. Krapyvtsov;547;Pocos minutos;4.0;0.0;0.0
47520;Portu;547;Estable;4.06;4.23;0.17
414359;Vitor Nunes;547;Estable;4.81;5.01;0.2
313025;Hugo Rincón;547;Rendimiento Alto;4.38;4.81;0.42
45;T. Lemar;547;Estable;4.44;4.2;-0.24
162434;Alejandro Francés;547;Estable;4.37;4.66;0.29
1700;Iván Martín;547;Estable;5.03;5.11;0.08
11379;A. Batalla;728;Estable;4.46;4.19;-0.27
1703;A. Rațiu;728;Estable;4.84;5.1;0.26
18895;F. Lejeune;728;Estable;4.68;4.72;0.04
1847;Luiz Felipe;728;Pocos minutos;4.27;0.0;0.0
181734;Pep Chavarría;728;Rendimiento Bajo;4.82;4.37;-0.46
41552;P. Ciss;728;Estable;4.91;5.1;0.19
47285;Unai López;728;Estable;4.9;4.9;0.01
131546;Isi Palazón;728;Rendimiento Alto;4.79;5.45;0.66
46887;Pedro Díaz;728;Estable;4.41;4.56;0.16
47543;Álvaro García;728;Estable;4.57;4.56;-0.01
128582;Jorge de Frutos;728;Estable;4.91;4.68;-0.22
333292;Pelayo Fernández;728;Pocos minutos;4.14;0.0;0.0
47414;Gumbau;728;Estable;4.49;4.48;-0.01
47109;Óscar Valentín;728;Estable;4.61;4.68;0.06
122657;R. Nteka;728;Pocos minutos;4.26;0.0;0.0
46759;A. Espino;728;Estable;4.11;4.32;0.21
314006;J. Vertrouwd;728;Pocos minutos;3.99;0.0;0.0
20520;I. Balliu;728;Estable;4.41;4.25;-0.17
162931;Fran Pérez;728;Rendimiento Bajo;4.28;3.9;-0.38
52;Sergio Camello;728;Estable;4.01;4.24;0.23
182718;Joan García;529;Estable;4.82;4.89;0.08
619;Eric García;529;Estable;4.9;4.94;0.04
101814;R. Araújo;529;Estable;4.76;4.95;0.2
396623;Pau Cubarsí Paredes;529;Estable;4.87;4.97;0.1
161928;Alejandro Balde;529;Estable;4.61;4.55;-0.06
538;F. de Jong;529;Estable;5.3;5.24;-0.06
133609;Pedri;529;Estable;6.13;6.04;-0.09
386828;Lamine Yamal;529;Estable;6.94;7.18;0.24
340626;Fermín;529;Estable;5.26;5.19;-0.07
1496;Raphinha;529;Rendimiento Alto;5.78;6.13;0.35
931;Ferran Torres;529;Estable;4.76;4.61;-0.16
1323;Dani Olmo;529;Rendimiento Alto;5.43;6.08;0.64
491250;Jofre Torrents;529;Pocos minutos;4.1;0.0;0.0
296667;Gavi;529;Pocos minutos;5.05;0.0;0.0
909;M. Rashford;529;Rendimiento Bajo;4.81;4.45;-0.35
1257;J. Koundé;529;Estable;4.83;4.9;0.07
126;Iñaki Peña;797;Estable;4.78;4.77;-0.01
2282;A. Christensen;529;Pocos minutos;4.46;0.0;0.0
445973;Toni Fernández;529;Pocos minutos;3.9;0.0;0.0
491087;Pedro Fernández;529;Pocos minutos;4.51;0.0;0.0
329728;Marc Casadó;529;Pocos minutos;4.63;0.0;0.0
179139;Leo Román;798;Estable;4.64;4.71;0.06
108519;Mateu Morey;798;Pocos minutos;4.1;0.0;0.0
46738;M. Valjent;798;Estable;4.4;4.24;-0.15
46733;Raíllo;798;Estable;4.72;4.58;-0.15
64268;J. Mojica;798;Estable;4.71;4.48;-0.23
1701;Manu Morlanes;798;Estable;4.7;4.96;0.26
107194;Antonio Sánchez;798;Estable;4.22;4.37;0.15
25375;T. Asano;798;Pocos minutos;4.24;0.0;0.0
285909;Pablo Torre;798;Pocos minutos;4.61;0.0;0.0
47336;Darder;798;Estable;4.91;5.17;0.26
50048;V. Muriqi;798;Rendimiento Alto;5.31;5.61;0.3
414;Omar Mascarell;798;Estable;4.67;4.92;0.25
46742;Dani Rodríguez;798;Pocos minutos;4.43;0.0;0.0
313059;M. Joseph;798;Estable;4.41;4.21;-0.19
920;Toni Lato;798;Pocos minutos;4.36;0.0;0.0
152955;L. Bergström;798;Pocos minutos;4.53;0.0;0.0
335697;David López;798;Pocos minutos;3.93;0.0;0.0
293604;Javi Llabrés;798;Pocos minutos;4.01;0.0;0.0
482473;Marc Domenech;798;Pocos minutos;4.19;0.0;0.0
46751;Abdón Prats;798;Pocos minutos;3.94;0.0;0.0
730;T. Courtois;541;Estable;4.47;4.75;0.28
283;T. Alexander-Arnold;541;Estable;4.82;5.04;0.22
372;Éder Militão;541;Estable;5.12;5.11;-0.0
361497;D. Huijsen;541;Estable;5.06;5.0;-0.06
284300;Álvaro Fernández;541;Estable;4.91;5.0;0.09
756;F. Valverde;541;Estable;5.09;5.04;-0.06
1271;A. Tchouaméni;541;Rendimiento Alto;5.12;5.45;0.34
291964;A. Güler;541;Estable;5.45;5.33;-0.13
744;Brahim Díaz;541;Pocos minutos;4.59;0.0;0.0
278;Kylian Mbappé;541;Estable;5.81;5.9;0.09
762;Vinícius Júnior;541;Rendimiento Bajo;5.39;4.71;-0.68
733;Dani Carvajal;541;Pocos minutos;4.42;0.0;0.0
449249;Franco Mastantuono;541;Pocos minutos;4.8;0.0;0.0
336711;Gonzalo García;541;Pocos minutos;4.58;0.0;0.0
748;Dani Ceballos;541;Pocos minutos;4.95;0.0;0.0
505;D. Alaba;541;Pocos minutos;4.22;0.0;0.0
736;Fran García;541;Estable;4.26;4.17;-0.09
341640;Raúl Asencio;541;Estable;4.63;4.86;0.23
10009;Rodrygo;541;Rendimiento Alto;4.97;5.92;0.95
46646;Sergio Herrera;727;Estable;4.88;4.81;-0.07
279822;F. Boyomo;727;Estable;4.81;4.8;-0.01
47533;Catena;727;Estable;4.87;4.85;-0.03
46967;Juan Cruz;727;Pocos minutos;4.08;0.0;0.0
21701;V. Rosier;727;Estable;4.5;4.37;-0.13
46662;Moncayola;727;Estable;4.84;4.7;-0.13
1825;Lucas Torró;727;Estable;4.77;4.63;-0.14
181259;Abel Bretones;727;Estable;4.78;4.67;-0.11
46658;Rubén García;727;Rendimiento Alto;4.84;5.28;0.44
67939;Aimar Oroz;727;Estable;4.94;5.03;0.08
46746;A. Budimir;727;Rendimiento Alto;4.91;5.4;0.49
338751;Víctor Muñoz;727;Rendimiento Alto;4.76;5.38;0.62
