id_jugador;nombre;cluster;id_similar1;nombre_similar1;similitud1;id_similar2;nombre_similar2;similitud2;id_similar3;nombre_similar3;similitud3;id_similar4;nombre_similar4;similitud4;id_similar5;nombre_similar5;similitud5
9;A. Hakimi;17;47300.0;T. Hernández;0.9329;26302.0;Pablo Maffeo;0.9032;431921.0;Adam Aznou Ben Cheikh;0.8852;46992.0;Dani Castellano;0.873;2806.0;F. Schär;0.873
15;T. Delaney;2;47486.0;Borja Fernández Fernández;0.8987;919.0;Hugo Guillamón;0.8813;1462.0;L. Torreira;0.8792;47361.0;D. Brašanac;0.8705;46981.0;Xavi Torres;0.863
20;A. Witsel;12;122468.0;Saúl Coco;0.9894;46653.0;David García;0.9742;44811.0;S. McKenna;0.9661;735.0;Nacho;0.9624;31.0;J. Giménez;0.9619
21;Paco Alcácer;7;47349.0;Javi Puado;0.9936;47319.0;Willian José;0.9907;47348.0;Borja Iglesias;0.9906;933.0;K. Gameiro;0.9871;1375.0;Soldado;0.9824
23;Sergio Gómez;14;273732.0;T. Dolan;0.917;16369.0;G. Plata;0.8421;1615.0;Gil Dias;0.9034;41103.0;Ricardo Horta;0.857;47496.0;Óscar Plano;0.8101
27;Adán;8;46647.0;Rubén Iván Martínez Andrade;0.9976;1624.0;Pepe Reina;0.9949;253.0;A. Areola;0.9942;127.0;M. ter Stegen;0.9922;50974.0;P. Tytoń;0.99
29;J. Oblak;4;46990.0;Álvaro Vallés;0.9999;158.0;P. Gazzaniga;0.9991;46646.0;Sergio Herrera;0.9983;47270.0;Unai Simón;0.9981;730.0;T. Courtois;0.9981
30;S. Arias;12;64309.0;Manu Sánchez;0.9888;47359.0;Carlos Vigaray;0.9837;1566.0;Emerson Royal;0.9835;740.0;Javi Sánchez;0.9762;195923.0;José Ángel Carmona;0.9759
31;J. Giménez;12;1688.0;R. Funes Mori;0.9925;1693.0;Víctor Ruiz;0.987;162058.0;Víctor Chust;0.9864;3170.0;Carl Medjani;0.9781;131535.0;Álex Suárez;0.9774
32;D. Godín;11;47273.0;Yuri;0.9907;47254.0;M. Olivera;0.9889;20600.0;R. Perraud;0.9887;181259.0;Abel Bretones;0.9855;47547.0;Álex Moreno;0.9822
33;L. Hernández;17;47508.0;Muniesa;0.9944;2128.0;Miguel Lopes;0.9798;33361.0;Simão Mate;0.9796;47333.0;Javi López;0.9771;1419.0;O. Vranješ;0.9755
34;Filipe Luís;14;1493.0;M. Acuña;0.9928;1257.0;J. Koundé;0.9901;162712.0;Óscar Mingueza;0.9886;47405.0;Juanfran;0.9881;1574.0;Francis;0.9803
35;Javi Montero;2;38.0;Tachi;0.979;2418.0;L. Abram;0.9773;122737.0;S. Chakla;0.9771;47459.0;Chema Rodríguez;0.977;1847.0;Luiz Felipe;0.962
36;Carlos Isaac;18;291147.0;Miguel Brau;0.9988;439994.0;Pablo Busto;0.9988;286643.0;Koffi;0.9981;335037.0;Diego Hormigo;0.998;116840.0;Ander Gayoso Reina;0.9978
37;N. Pérez;18;132.0;Guillem Jaime;1.0;196.0;R. Nolan;1.0;1738.0;B. Barišić;1.0;2575.0;J. Porozo;1.0;46734.0;Pablo Ramón;1.0
38;Tachi;2;35.0;Javi Montero;0.979;5907.0;L. Orbán;0.9747;122737.0;S. Chakla;0.9726;2418.0;L. Abram;0.958;47459.0;Chema Rodríguez;0.9545
39;S. Savić;11;181582.0;Copete;0.9968;50026.0;C. Awaziem;0.9898;47429.0;David Costas;0.9867;47360.0;Ximo Navarro;0.9867;31386.0;J. El Yamiq;0.9855
40;A. Solano;18;421044.0;Íñigo Arguibide;0.9999;47050.0;Alberto Guitián;0.9986;1595.0;L. Koútris;0.9985;8718.0;M. Caufriez;0.9985;88774.0;N. Karabelas;0.9984
41;Juanfran;14;182661.0;Álvaro Núñez;0.9913;284300.0;Álvaro Fernández;0.9894;47405.0;Juanfran;0.9831;46994.0;De la Bella;0.983;169.0;K. Trippier;0.9776
44;Rodri;17;35525.0;G. Pizarro;0.9952;2490.0;J. Lerma;0.9762;25409.0;Ignacio Camacho;0.9752;44318.0;Petros;0.9706;41475.0;Fernando Damián Tissone Rodrigues;0.9627
45;T. Lemar;3;47557.0;Ó. Trejo;0.9784;2924.0;A. Januzaj;0.9585;47340.0;P. Piatti;0.9564;47574.0;Moi Gómez;0.9386;329720.0;Hugo Álvarez;0.9271
46;Vitolo;19;46693.0;Fede Vico;0.989;20844.0;H. Hassan;0.9836;6066.0;M. Vargas;0.9804;22146.0;Manu García;0.961;719.0;F. Grillitsch;0.944
47;Toni Moya;1;781.0;J. Pastore;0.9251;491087.0;Pedro Fernández;0.9084;2205.0;H. Ben Arfa;0.8901;660.0;Pape Cheikh;0.8857;40258.0;Borja Fernández;0.8773
48;Saúl;13;957.0;D. Sow;0.9701;47386.0;P. De Blasis;0.96;898.0;Ander Herrera;0.9282;46769.0;Álex Fernández;0.9244;46860.0;Javi Muñoz;0.9064
49;T. Partey;11;122756.0;Sergio Ruiz;0.9931;47260.0;S. Cristóforo;0.9919;1701.0;Manu Morlanes;0.9902;926.0;G. Kondogbia;0.9875;50009.0;J. Jønsson;0.9864
50;Koke;14;47085.0;Luis Milla;0.9808;42039.0;Gabriel Fernández Arenas;0.9567;928.0;Dani Parejo;0.9535;144.0;Sergio Busquets;0.9534;47463.0;Pepelu;0.9439
52;Sergio Camello;10;338751.0;Víctor Muñoz;0.9153;1828.0;L. Jović;0.8876;18978.0;F. Andone;0.8728;697.0;M. Solomon;0.8634;264470.0;Raul Moro;0.8529
53;Á. Correa;7;1165.0;Matheus Cunha;0.9972;792.0;J. Kluivert;0.9955;1585.0;Jesé;0.9903;47324.0;Sandro Ramírez;0.9867;283058.0;N. Jackson;0.9858
54;Diego Costa;7;50131.0;Artem Kravets;0.9937;47579.0;E. Ávila;0.9847;47265.0;Jorge Molina;0.9829;47319.0;Willian José;0.9775;611.0;M. Livaja;0.977
55;Borja Garcés;18;6490.0;L. Vázquez;0.9959;392270.0;Marc Guiu;0.9808;290482.0;Jorge Pascual;0.9673;46748.0;Aridai Cabrera;0.9567;104814.0;Imanol Agirretxe Arruti;0.9555
56;A. Griezmann;5;47323.0;Mikel Oyarzabal;0.9947;6009.0;J. Álvarez;0.9925;2059.0;W. Ben Yedder;0.9916;47294.0;I. Williams;0.9885;91429.0;G. Rossi;0.9834
57;N. Kalinić;10;46671.0;Juan Villar;0.9233;51756.0;M. Arezo;0.921;70775.0;R. Santa Cruz;0.9079;37892.0;D. Eckert Ayensa;0.9071;486472.0;Álvaro García;0.8856
58;Víctor Mollejo;18;182480.0;L. de León;0.9999;122918.0;Dani Plomer;0.9999;36848.0;Aitor Cantalapiedra;0.9999;522649.0;Arturo Rodríguez;0.9999;386849.0;A. Raihani;0.9999
59;Álvaro Morata;5;129791.0;Fábio Silva;0.994;19034.0;R. Babel;0.9916;50856.0;V. Castellanos;0.9909;42086.0;Y. El-Arabi;0.9892;2032.0;J. Strand Larsen;0.9891
60;Joaquín Muñoz;18;348326.0;Martín Tejón;0.9994;188445.0;Luismi Cruz;0.9968;50158.0;Alessio Cerci;0.9968;107158.0;Sergio Bermejo;0.9966;162053.0;N. Iosifov;0.9966
74;S. Amrabat;13;104131.0;F. Kadir;0.9887;47316.0;Zurutuza;0.9724;46662.0;Moncayola;0.9666;47473.0;Jason;0.9539;47288.0;Mikel San José Domínguez;0.948
83;A. Danjuma;7;14405.0;M. Uzuni;0.9924;47467.0;José Luis Morales;0.9895;47349.0;Javi Puado;0.9886;47472.0;Borja Mayoral;0.9886;667.0;M. Depay;0.9882
99;R. Pierre-Gabriel;2;30924.0;M. Kumbulla;0.9623;46657.0;Nacho Vidal;0.9355;47298.0;Elustondo;0.9327;46817.0;Diego González;0.9035;305803.0;Kaiky;0.895
111;Rony Lopes;1;359603.0;L. Koleosho;0.9929;1649.0;P. Cutrone;0.9878;270516.0;Peter;0.9853;377122.0;Endrick;0.984;304383.0;T. Allende;0.9811
118;Gelson Martins;3;290106.0;Pablo Marín;0.9573;1488.0;I. Doumbia;0.9394;46802.0;Nahuel Leiva;0.9196;14482.0;Daniel Arnaud N'Di;0.9085;18807.0;Domingos Quina;0.9056
119;R. Falcao;10;8493.0;R. Yaremchuk;0.9815;119232.0;Dani Gómez;0.9799;25375.0;T. Asano;0.9671;30941.0;Giampaolo Pazzini;0.9567;2671.0;Jaime Mata;0.9554
121;S. Jovetić;5;758.0;G. Bale;0.9938;2059.0;W. Ben Yedder;0.9929;91429.0;G. Rossi;0.9922;931.0;Ferran Torres;0.9882;6009.0;J. Álvarez;0.9861
122;Jordi Mboula;3;309364.0;Coba;0.9353;46890.0;Álvaro Jiménez;0.9202;182757.0;Iván Chapela;0.9139;47179.0;Dani Escriche;0.905;104793.0;A. Ndiaye;0.8854
124;J. Cillessen;15;19172.0;Ø. Nyland;0.9996;2037.0;T. Vaclík;0.9993;1682.0;Sergio Asenjo;0.999;47327.0;Diego López;0.9988;2701.0;Y. Bounou;0.9986
125;Jokin Ezkieta;0;116909.0;Marc Martínez;1.0;333379.0;Antonio Gomis;1.0;338295.0;Primo;0.9998;1305.0;D. Livaković;0.9996;2480.0;I. Arboleda;0.9996
126;Iñaki Peña;15;47400.0;A. Lunin;0.9984;912.0;Neto;0.9984;19599.0;E. Martínez;0.9973;851.0;W. Szczęsny;0.9973;156488.0;Dani Cárdenas;0.9969
127;M. ter Stegen;8;253.0;A. Areola;0.9993;1624.0;Pepe Reina;0.9978;50974.0;P. Tytoń;0.997;46647.0;Rubén Iván Martínez Andrade;0.9963;47376.0;Asier Riesgo;0.9961
128;Jordi Alba;6;2872.0;M. Layún;0.9383;47513.0;Aday;0.9065;757.0;Lucas Vázquez;0.8945;743.0;Marcelo;0.8856;2047.0;Aleix Vidal;0.9619
129;Chumi;12;47277.0;Unai Núñez;0.9912;47434.0;Kevin Vázquez;0.9843;2870.0;N. Araújo;0.9842;1565.0;Edgar González;0.9833;22225.0;Reinildo;0.9824
130;Nélson Semedo;11;47519.0;Pedro Porro;0.9951;25914.0;Aarón Martín;0.9763;46651.0;Clerc;0.9755;47531.0;Jordi Amat;0.9722;47568.0;Miramón;0.9674
131;Jorge Cuenca;12;1448.0;S. Mustafi;0.9956;40553.0;N. Vujadinović;0.9817;47328.0;Ó. Duarte;0.9708;47487.0;Joaquín Fernández;0.9705;21631.0;P. Baysse;0.9613
132;Guillem Jaime;18;37.0;N. Pérez;1.0;196.0;R. Nolan;1.0;1738.0;B. Barišić;1.0;2575.0;J. Porozo;1.0;46734.0;Pablo Ramón;1.0
133;C. Lenglet;13;47433.0;L. Olaza;0.9842;733.0;Dani Carvajal;0.9811;736.0;Fran García;0.9775;47275.0;De Marcos;0.9759;1564.0;Junior Firpo;0.9751
134;Juan Miranda;14;373.0;Pepe;0.9944;21694.0;N. Aguerd;0.981;918.0;José Gayà;0.9762;2669.0;Hermoso;0.9722;742.0;R. Varane;0.9717
135;J. Murillo;12;47356.0;Rodrigo Ely;0.9971;1983.0;E. Roco;0.996;22225.0;Reinildo;0.9958;2870.0;N. Araújo;0.9952;1565.0;Edgar González;0.9948
136;Piqué;13;47380.0;Marc Cucurella;0.9772;2278.0;Marcos Alonso;0.9768;47408.0;J. Silva;0.9712;181701.0;Gerard Martín;0.9696;914.0;Álex Centelles;0.9644
