id_jugador;nombre;posicion;cluster;confianza_datos;id_similar1;nombre_similar1;similitud1;id_similar2;nombre_similar2;similitud2;id_similar3;nombre_similar3;similitud3;id_similar4;nombre_similar4;similitud4;id_similar5;nombre_similar5;similitud5
874;Cristiano Ronaldo;Delantero;1;1.0;278.0;Kylian Mbappé;0.9611;154.0;L. Messi;0.9165;759.0;K. Benzema;0.9161;15811.0;A. Dovbyk;0.9027;157.0;L. Suárez;0.8948
278;Kylian Mbappé;Delantero;1;1.0;154.0;L. Messi;0.963;874.0;Cristiano Ronaldo;0.9611;759.0;K. Benzema;0.9252;15811.0;A. Dovbyk;0.8952;157.0;L. Suárez;0.886
154;L. Messi;Delantero;1;1.0;278.0;Kylian Mbappé;0.963;874.0;Cristiano Ronaldo;0.9165;759.0;K. Benzema;0.9075;276.0;Neymar;0.8956;15811.0;A. Dovbyk;0.867
759;K. Benzema;Delantero;1;1.0;157.0;L. Suárez;0.9472;15811.0;A. Dovbyk;0.9448;2059.0;W. Ben Yedder;0.9325;278.0;Kylian Mbappé;0.9252;6009.0;J. Álvarez;0.9216
276;Neymar;Delantero;1;1.0;762.0;Vinícius Júnior;0.9352;47582.0;C. Hernández;0.8994;935.0;Rodrigo;0.8974;154.0;L. Messi;0.8956;1707.0;Gerard Moreno;0.8951
15811;A. Dovbyk;Delantero;1;1.0;157.0;L. Suárez;0.9822;521.0;R. Lewandowski;0.9813;759.0;K. Benzema;0.9448;180496.0;G. Mikautadze;0.9447;2059.0;W. Ben Yedder;0.9409
521;R. Lewandowski;Delantero;1;1.0;15811.0;A. Dovbyk;0.9813;157.0;L. Suárez;0.9739;59.0;Álvaro Morata;0.9471;50856.0;V. Castellanos;0.9468;8492.0;A. Sørloth;0.9428
157;L. Suárez;Delantero;1;1.0;15811.0;A. Dovbyk;0.9822;521.0;R. Lewandowski;0.9739;2059.0;W. Ben Yedder;0.9554;180496.0;G. Mikautadze;0.9514;759.0;K. Benzema;0.9472
50048;V. Muriqi;Delantero;1;1.0;129791.0;Fábio Silva;0.9846;18907.0;Joselu;0.9841;59.0;Álvaro Morata;0.9758;30515.0;S. Zaza;0.9677;46746.0;A. Budimir;0.9657
42086;Y. El-Arabi;Delantero;1;1.0;59.0;Álvaro Morata;0.9786;129791.0;Fábio Silva;0.9766;1709.0;K. Toko Ekambi;0.9701;47237.0;L. Suárez;0.9614;50048.0;V. Muriqi;0.9599
2059;W. Ben Yedder;Delantero;1;1.0;121.0;S. Jovetić;0.9785;6009.0;J. Álvarez;0.9767;180496.0;G. Mikautadze;0.9725;56.0;A. Griezmann;0.9648;1707.0;Gerard Moreno;0.9641
59;Álvaro Morata;Delantero;1;1.0;129791.0;Fábio Silva;0.9862;50856.0;V. Castellanos;0.9788;42086.0;Y. El-Arabi;0.9786;50048.0;V. Muriqi;0.9758;18907.0;Joselu;0.9735
46746;A. Budimir;Delantero;1;1.0;50856.0;V. Castellanos;0.9756;47422.0;Y. En-Nesyri;0.9749;18907.0;Joselu;0.9745;50048.0;V. Muriqi;0.9657;59.0;Álvaro Morata;0.9608
6009;J. Álvarez;Delantero;1;1.0;1496.0;Raphinha;0.9771;2059.0;W. Ben Yedder;0.9767;121.0;S. Jovetić;0.9693;47445.0;Iago Aspas;0.9675;1707.0;Gerard Moreno;0.9655
9971;Antony;Mediocentro;1;1.0;2056.0;Pablo Sarabia;0.9776;129718.0;J. Bellingham;0.9674;1323.0;Dani Olmo;0.9577;909.0;M. Rashford;0.9397;2182.0;V. Tsygankov;0.9365
1496;Raphinha;Delantero;1;1.0;6009.0;J. Álvarez;0.9771;47445.0;Iago Aspas;0.9724;56.0;A. Griezmann;0.9461;1707.0;Gerard Moreno;0.9455;1859.0;Luis Alberto;0.943
762;Vinícius Júnior;Delantero;1;1.0;935.0;Rodrigo;0.9549;1707.0;Gerard Moreno;0.9486;47445.0;Iago Aspas;0.9481;47582.0;C. Hernández;0.9454;1859.0;Luis Alberto;0.9452
50856;V. Castellanos;Delantero;1;1.0;8492.0;A. Sørloth;0.9831;161670.0;V. Vanat;0.9798;59.0;Álvaro Morata;0.9788;47422.0;Y. En-Nesyri;0.9784;46746.0;A. Budimir;0.9756
18907;Joselu;Delantero;1;1.0;50048.0;V. Muriqi;0.9841;129791.0;Fábio Silva;0.9771;30515.0;S. Zaza;0.9749;46746.0;A. Budimir;0.9745;59.0;Álvaro Morata;0.9735
129718;J. Bellingham;Mediocentro;1;1.0;9971.0;Antony;0.9674;2056.0;Pablo Sarabia;0.9582;386828.0;Lamine Yamal;0.9447;2182.0;V. Tsygankov;0.9349;1578.0;G. Lo Celso;0.9314
1709;K. Toko Ekambi;Delantero;1;1.0;47237.0;L. Suárez;0.974;59.0;Álvaro Morata;0.9735;42086.0;Y. El-Arabi;0.9701;129791.0;Fábio Silva;0.9689;180496.0;G. Mikautadze;0.9688
386828;Lamine Yamal;Mediocentro;1;1.0;897.0;M. Greenwood;0.9549;182519.0;Alberto Moleiro;0.952;266657.0;Sávio;0.9513;129678.0;A. Ounahi;0.9488;183799.0;Nico Williams;0.9465
897;M. Greenwood;Mediocentro;1;1.0;182519.0;Alberto Moleiro;0.9643;746.0;Marco Asensio;0.9599;12719.0;Paulinho;0.9568;925.0;Gonçalo Guedes;0.9551;386828.0;Lamine Yamal;0.9549
1323;Dani Olmo;Mediocentro;1;1.0;47323.0;Mikel Oyarzabal;0.9685;2056.0;Pablo Sarabia;0.9613;9971.0;Antony;0.9577;930.0;Carlos Soler;0.9463;909.0;M. Rashford;0.9453
30515;S. Zaza;Delantero;1;1.0;25390.0;Jonathas;0.9877;2001.0;C. Larin;0.9793;312990.0;Roberto Fernández;0.9779;343684.0;T. Barry;0.9764;194750.0;E. Touré;0.976
8492;A. Sørloth;Delantero;1;1.0;161670.0;V. Vanat;0.9867;50856.0;V. Castellanos;0.9831;47422.0;Y. En-Nesyri;0.9788;30515.0;S. Zaza;0.9752;25390.0;Jonathas;0.9749
931;Ferran Torres;Delantero;1;1.0;180496.0;G. Mikautadze;0.9825;758.0;G. Bale;0.9792;25390.0;Jonathas;0.9766;121.0;S. Jovetić;0.9736;47319.0;Willian José;0.9709
47323;Mikel Oyarzabal;Mediocentro;1;1.0;340626.0;Fermín;0.9748;12719.0;Paulinho;0.9704;1323.0;Dani Olmo;0.9685;182519.0;Alberto Moleiro;0.9625;746.0;Marco Asensio;0.9623
2056;Pablo Sarabia;Mediocentro;1;1.0;9971.0;Antony;0.9776;2182.0;V. Tsygankov;0.9614;1323.0;Dani Olmo;0.9613;129718.0;J. Bellingham;0.9582;909.0;M. Rashford;0.9561
47422;Y. En-Nesyri;Delantero;1;1.0;8492.0;A. Sørloth;0.9788;50856.0;V. Castellanos;0.9784;47370.0;Borja Bastón;0.9768;2001.0;C. Larin;0.9754;46746.0;A. Budimir;0.9749
47582;C. Hernández;Delantero;1;1.0;1859.0;Luis Alberto;0.9868;1707.0;Gerard Moreno;0.9813;935.0;Rodrigo;0.9806;47294.0;I. Williams;0.9727;47324.0;Sandro Ramírez;0.969
