id_jugador;nombre;ataque;creacion;defensa;porteros;duelos;regates
9;A. Hakimi;1.26;1.95;4.8;0.0;6.48;6.9
15;T. Delaney;0.33;1.18;2.23;0.0;4.91;1.51
20;A. Witsel;0.2;1.74;2.88;0.0;5.72;2.17
21;Paco Alcácer;1.63;2.94;1.0;0.0;3.54;2.57
23;Sergio Gómez;0.26;5.02;4.98;0.0;5.86;3.21
27;Adán;0.0;0.53;0.0;2.69;1.82;0.91
29;J. Oblak;0.0;0.0;0.0;7.26;3.93;1.02
30;S. Arias;0.29;1.83;2.99;0.0;3.99;2.1
31;J. Giménez;0.2;1.67;3.39;0.0;5.29;1.72
32;D. Godín;0.62;2.77;4.38;0.0;6.93;4.49
33;L. Hernández;0.17;0.79;6.57;0.0;7.25;4.11
34;Filipe Luís;0.56;6.62;4.5;0.0;7.4;6.13
35;Javi Montero;0.0;0.0;2.4;0.0;2.99;0.05
36;Carlos Isaac;0.0;0.23;0.24;0.0;0.48;0.42
37;N. Pérez;0.0;0.0;0.0;0.0;0.0;0.0
38;Tachi;0.0;0.39;2.01;0.0;3.39;0.37
39;S. Savić;0.13;1.13;4.14;0.0;6.0;3.38
40;A. Solano;0.0;0.23;0.45;0.0;0.56;0.05
41;Juanfran;0.05;5.27;3.24;0.0;5.47;3.8
44;Rodri;0.47;3.71;5.68;0.0;6.53;4.24
45;T. Lemar;0.44;2.59;1.22;0.0;3.71;2.64
46;Vitolo;0.37;2.91;1.13;0.0;4.55;4.39
47;Toni Moya;0.05;1.26;0.95;0.0;1.64;1.89
48;Saúl;0.77;2.44;3.18;0.0;4.66;2.91
49;T. Partey;0.24;1.65;3.24;0.0;4.97;3.23
50;Koke;0.43;6.57;3.58;0.0;5.26;2.72
52;Sergio Camello;0.68;1.95;0.47;0.0;2.78;2.41
53;Á. Correa;1.65;3.25;1.1;0.0;4.18;4.03
54;Diego Costa;1.49;3.41;0.28;0.0;4.32;2.69
55;Borja Garcés;0.54;0.0;0.0;0.0;0.03;0.0
56;A. Griezmann;2.55;5.24;1.7;0.0;4.64;3.55
57;N. Kalinić;0.95;1.27;0.4;0.0;4.11;0.26
58;Víctor Mollejo;0.0;0.05;0.0;0.0;0.13;0.01
59;Álvaro Morata;3.29;2.44;0.93;0.0;6.06;4.5
60;Joaquín Muñoz;0.12;0.26;0.1;0.0;0.71;0.54
74;S. Amrabat;0.18;3.54;2.62;0.0;4.51;2.32
83;A. Danjuma;1.97;2.71;0.86;0.0;4.0;3.64
99;R. Pierre-Gabriel;0.32;0.46;2.38;0.0;4.73;2.32
111;Rony Lopes;0.18;0.0;0.3;0.0;0.97;0.95
118;Gelson Martins;0.18;0.78;0.9;0.0;3.73;3.3
119;R. Falcao;1.04;0.59;0.33;0.0;3.63;1.79
121;S. Jovetić;2.91;5.32;0.29;0.0;4.42;3.61
122;Jordi Mboula;0.0;1.06;1.5;0.0;5.11;3.46
124;J. Cillessen;0.0;0.14;0.0;5.62;2.56;0.07
125;Jokin Ezkieta;0.0;0.0;0.0;0.44;0.0;0.0
126;Iñaki Peña;0.0;0.57;0.0;3.97;0.98;0.01
127;M. ter Stegen;0.0;0.05;0.0;3.58;1.63;0.18
128;Jordi Alba;0.58;9.63;3.56;0.0;4.66;2.89
129;Chumi;0.14;0.57;3.39;0.0;5.15;2.88
130;Nélson Semedo;0.22;2.37;3.61;0.0;6.09;5.84
131;Jorge Cuenca;0.58;0.67;3.31;0.0;5.01;1.74
132;Guillem Jaime;0.0;0.0;0.0;0.0;0.0;0.0
133;C. Lenglet;0.37;2.72;2.99;0.0;4.08;2.14
134;Juan Miranda;0.67;3.8;3.75;0.0;5.81;3.12
135;J. Murillo;0.27;0.82;3.31;0.0;5.11;2.16
136;Piqué;0.3;3.95;2.7;0.0;5.5;2.67
137;Sergi Roberto;0.72;4.25;2.27;0.0;4.74;3.31
138;J. Todibo;0.0;0.23;0.64;0.0;0.87;0.35
139;S. Umtiti;0.09;2.29;2.45;0.0;3.83;2.1
140;Thomas Vermaelen;0.24;3.99;2.1;0.0;4.66;0.52
141;M. Wagué;0.07;0.94;0.85;0.0;1.07;1.09
142;Rafinha;0.37;1.97;1.77;0.0;2.91;2.47
143;Carles Aleñá;0.49;4.21;1.79;0.0;5.0;3.88
144;Sergio Busquets;0.2;7.62;5.34;0.0;6.97;5.14
146;Álex Collado;0.7;1.75;1.22;0.0;2.33;1.76
147;Philippe Coutinho;2.08;2.65;1.38;0.0;5.21;5.74
148;Riqui Puig;0.54;2.07;0.99;0.0;3.87;3.54
149;I. Rakitić;0.95;6.63;3.29;0.0;5.57;3.26
150;Arthur;0.24;4.03;2.86;0.0;5.97;5.07
151;A. Vidal;1.3;4.37;4.3;0.0;5.93;3.15
