id_jugador;nombre;ataque;creacion;defensa;porteros;duelos;regates
9;Achraf Hakimi;1.57;4.46;2.1;0.0;6.73;6.9
15;Thomas Delaney;0.37;1.57;2.86;0.0;5.37;1.46
20;Axel Witsel;0.31;2.22;3.56;0.0;5.8;2.14
21;Paco Alcácer;1.81;2.99;1.02;0.0;2.98;2.57
23;Sergio Gómez;0.32;6.05;7.06;0.0;6.06;3.18
27;Antonio Adán;0.0;0.56;0.02;2.34;1.89;0.91
29;Jan Oblak;0.0;0.37;0.02;7.34;3.91;1.02
30;Santiago Arias;0.32;2.93;5.17;0.0;4.63;2.49
31;José María Giménez;0.22;1.9;4.71;0.0;5.55;1.71
32;Diego Godín;0.77;2.81;5.64;0.0;7.2;4.49
33;Lucas Hernández;0.21;2.68;5.82;0.0;7.53;4.11
34;Filipe Luís;0.7;6.67;5.28;0.0;7.68;6.13
35;Francisco Montero;0.0;0.99;2.8;0.0;3.1;0.05
36;Carlos Isaac;0.0;0.48;0.14;0.0;0.5;0.42
37;Nehuén Pérez;0.02;0.02;0.32;0.0;0.98;0.53
38;Alberto Rodríguez;0.0;0.36;1.35;0.0;3.69;0.19
39;Stefan Savić;0.15;1.84;5.72;0.0;5.99;3.27
40;Andrés Solano;0.0;0.24;0.72;0.0;0.58;0.05
41;Juanfran;0.06;5.28;3.94;0.0;5.68;3.8
44;Rodrigo;0.59;5.54;4.42;0.0;6.78;4.24
45;Thomas Lemar;0.52;3.14;1.56;0.0;3.67;2.59
46;Vitolo;0.49;2.69;0.81;0.0;4.64;4.24
47;Toni Moya;0.05;1.1;0.94;0.0;1.56;1.78
48;Saúl Ñíguez;0.81;3.47;4.71;0.0;5.57;3.44
49;Thomas Partey;0.27;2.65;3.77;0.0;4.79;3.16
50;Koke;0.52;6.49;4.47;0.0;5.34;2.71
52;Sergio Camello;0.86;2.07;0.62;0.0;3.15;2.61
53;Ángel Correa;2.06;3.63;1.21;0.0;4.15;4.0
54;Diego Costa;1.86;3.47;0.24;0.0;4.18;2.81
55;Borja Garcés;0.67;0.04;0.0;0.0;0.03;0.0
56;Antoine Griezmann;2.95;5.73;2.05;0.0;4.68;3.4
57;Nikola Kalinić;1.19;1.28;0.54;0.0;4.27;0.26
58;Víctor Mollejo;0.0;0.35;0.11;0.0;0.79;0.39
59;Álvaro Morata;3.96;2.61;1.16;0.0;5.76;4.43
60;Joaquín Muñoz;0.15;0.27;0.06;0.0;0.99;0.72
74;Sofyan Amrabat;0.22;3.55;3.59;0.0;4.68;2.32
83;Arnaut Danjuma;1.87;2.15;0.72;0.0;3.6;2.84
99;Ronaël Pierre-Gabriel;0.4;0.52;3.42;0.0;4.91;2.32
111;Rony Lopes;0.22;0.94;0.41;0.0;0.0;1.4
118;Gelson Martins;0.22;1.64;0.89;0.0;3.87;3.3
119;Radamel Falcao;0.99;0.55;0.38;0.0;3.7;1.49
121;Stevan Jovetić;3.63;6.5;0.0;0.0;4.59;3.61
122;Jordi Mboula;0.0;0.59;1.11;0.0;4.39;2.81
124;Jasper Cillessen;0.0;0.46;0.02;8.39;2.44;0.06
125;Jokin Ezkieta;0.0;0.0;0.0;5.16;0.0;0.0
126;Iñaki Peña;0.0;0.5;0.0;4.76;1.01;0.01
127;Marc-André Ter Stegen;0.0;0.47;0.02;4.4;1.74;0.17
128;Jordi Alba;0.62;8.82;4.26;0.0;4.53;2.97
129;Chumi;0.12;1.28;3.97;0.0;5.02;2.78
130;Nélson Semedo;0.27;5.11;4.45;0.0;5.14;5.9
131;Jorge Cuenca;0.42;1.0;3.4;0.0;4.64;1.5
132;Guillem Jaime;0.0;0.0;0.0;0.0;0.03;0.0
133;Clément Lenglet;0.26;2.6;3.47;0.0;4.59;2.4
134;Juan Miranda;0.51;2.88;3.31;0.0;5.18;2.72
135;Jeison Murillo;0.3;1.66;3.86;0.0;4.59;2.09
136;Gerard Piqué;0.37;3.67;3.66;0.0;6.02;2.76
137;Sergi Roberto;0.84;4.51;2.61;0.0;4.76;3.31
138;Jean-Clair Todibo;0.0;0.85;0.46;0.0;0.56;0.35
139;Samuel Umtiti;0.09;2.47;2.48;0.0;3.66;2.04
140;Thomas Vermaelen;0.3;4.08;2.69;0.0;4.84;0.52
141;Moussa Wagué;0.09;1.38;1.14;0.0;0.77;1.09
142;Rafinha Alcântara;0.57;3.23;3.7;0.0;3.6;3.5
143;Carles Aleñá;0.5;3.62;1.8;0.0;4.74;3.48
144;Sergio Busquets;0.25;7.64;6.57;0.0;6.79;5.1
146;Alex Collado;0.6;2.37;1.76;0.0;3.17;2.18
147;Philippe Coutinho;2.31;4.13;1.19;0.0;5.16;5.4
148;Riqui Puig;0.39;2.85;0.75;0.0;3.27;3.17
149;Ivan Rakitić;1.11;7.57;4.05;0.0;5.51;3.2
150;Arthur;0.3;4.6;3.94;0.0;5.32;5.09
151;Arturo Vidal;1.62;7.52;4.86;0.0;5.02;3.15
152;Kevin-Prince Boateng;1.5;2.51;0.56;0.0;3.37;1.47
153;Ousmane Dembélé;1.89;8.43;1.48;0.0;5.22;6.44
154;Lionel Messi;9.51;10.0;0.83;0.0;7.25;9.99
155;Abel Ruíz;0.56;0.53;0.6;0.0;2.17;1.02
156;Malcom;1.2;6.91;0.43;0.0;4.41;4.54
157;Luis Suárez;5.38;5.39;0.45;0.0;4.53;3.37
158;Paulo Gazzaniga;0.0;0.6;0.02;7.63;3.96;1.36
163;Serge Aurier;0.21;2.55;3.23;0.0;5.16;4.64
166;Juan Foyth;0.39;2.48;7.04;0.0;6.27;3.8
169;Kieran Trippier;0.02;6.08;6.03;0.0;5.56;4.13
176;Erik Lamela;1.67;3.32;2.64;0.0;4.85;3.44
185;Fernando Llorente;1.96;4.66;0.16;0.0;5.67;2.44
196;Ryan Nolan;0.0;0.0;0.0;0.0;0.0;0.0
199;Šime Vrsaljko;0.09;1.59;3.02;0.0;4.34;1.99
246;Luuk de Jong;1.06;1.05;0.56;0.0;3.35;2.02
253;Alphonse Aréola;0.0;0.5;0.0;3.44;1.17;0.37
256;Dani Alves;0.51;8.83;5.15;0.0;5.65;5.4
258;Juan Bernat;0.06;1.85;2.46;0.0;4.95;2.82
274;Edinson Cavani;1.81;2.47;0.62;0.0;3.84;2.1
276;Neymar;5.97;10.0;0.13;0.0;9.93;10.0
278;Kylian Mbappé;9.75;8.87;0.25;0.0;6.2;7.67
283;Trent Alexander-Arnold;0.0;5.34;3.7;0.0;3.62;1.63
288;Alberto Moreno;0.56;2.7;3.43;0.0;4.28;2.89
314;Raúl Albiol;0.07;2.04;3.56;0.0;5.29;1.08
328;Fabián Ruiz;0.77;5.76;1.62;0.0;4.83;4.31
330;José Callejón;0.24;2.01;0.86;0.0;4.16;1.89
334;Simone Verdi;0.22;3.84;0.73;0.0;3.47;2.01
340;Srđan Babić;0.27;0.88;2.31;0.0;2.66;0.88
351;Goran Čaušić;0.52;4.43;2.18;0.0;5.8;4.0
371;Felipe;0.25;1.23;3.15;0.0;4.62;1.84
372;Éder Militão;0.99;3.64;6.22;0.0;6.05;2.09
373;Pepe;0.96;4.99;4.15;0.0;7.4;3.12
378;Alex Telles;0.07;3.29;3.31;0.0;5.2;3.4
382;Héctor Herrera;0.16;3.76;2.77;0.0;4.35;4.16
383;Wilson Manafá;0.0;0.34;0.75;0.0;3.64;3.07
384;Mamadou Loum;0.85;1.57;6.07;0.0;7.44;4.88
385;Óliver Torres;0.54;4.32;2.58;0.0;4.69;3.99
389;Jesús Corona;0.36;2.08;0.78;0.0;2.43;1.9
392;Adrián López;1.11;3.72;0.41;0.0;4.09;3.65
395;Hernani;0.35;0.57;0.16;0.0;0.64;0.62
403;Matija Nastasić;0.31;0.89;5.02;0.0;5.11;0.57
413;Yevhen Konoplyanka;1.97;6.55;1.07;0.0;5.29;6.05
414;Omar Mascarell;0.22;1.9;5.76;0.0;5.32;3.2
433;Marcão;0.11;0.67;2.26;0.0;5.17;1.57
434;Mariano;0.16;6.71;2.75;0.0;6.36;4.52
446;Ryan Donk;0.0;3.22;2.53;0.0;5.49;1.07
447;Sofiane Feghouli;1.07;6.26;1.11;0.0;5.67;3.1
452;Fernando;0.17;2.83;5.21;0.0;5.2;3.07
481;Grzegorz Krychowiak;0.26;3.49;10.0;0.0;8.4;5.15
493;Fedor Smolov;1.61;1.93;0.78;0.0;2.29;3.37
505;David Alaba;0.29;2.56;2.46;0.0;3.07;0.44
517;James Rodríguez;0.66;2.61;0.99;0.0;3.4;3.05
521;Robert Lewandowski;5.62;3.2;0.68;0.0;4.93;3.85
531;Daley Blind;0.2;5.49;6.93;0.0;5.87;3.49
534;Lisandro Magallán;0.3;1.31;4.66;0.0;4.45;1.36
536;Daley Sinkgraven;0.0;0.48;1.37;0.0;2.94;0.48
538;Frenkie de Jong;0.56;8.66;5.23;0.0;6.06;4.09
547;Donny van de Beek;0.39;1.19;1.24;0.0;1.73;0.99
550;Kasper Dolberg;0.2;0.96;0.08;0.0;3.26;1.32
557;Odysseas Vlachodimos;0.0;0.45;0.0;5.43;0.02;0.0
560;Sébastien Corchia;0.34;3.25;1.88;0.0;2.15;2.39
566;Ferro;0.0;0.12;0.02;0.0;0.69;0.0
568;Gabriel Pires;1.9;5.19;1.65;0.0;10.0;6.15
570;Franco Cervi;0.16;1.17;1.99;0.0;2.99;1.12
571;Ljubomir Fejsa;0.0;1.98;3.59;0.0;2.78;1.24
575;Florentino Luís;0.06;1.49;3.99;0.0;4.67;2.95
581;Jota;0.69;0.41;1.0;0.0;4.35;4.52
582;Haris Seferović;1.54;1.68;0.51;0.0;4.64;3.22
583;João Félix;2.03;2.9;1.07;0.0;3.95;3.19
596;Hélder Lopes;0.0;5.08;2.13;0.0;6.64;4.33
605;Nenad Krstičić;0.96;3.21;1.53;0.0;6.15;4.36
608;Lucas Boyé;2.57;4.31;3.64;0.0;7.36;6.22
611;Marko Livaja;2.33;4.83;0.0;0.0;5.39;3.48
612;Ezequiel Ponce;1.12;1.72;0.45;0.0;4.62;3.16
614;Claudio Bravo;0.0;0.37;0.03;8.17;2.92;0.35
618;Danilo;0.7;7.71;4.82;0.0;7.55;4.79
619;Eric García;0.62;4.33;5.37;0.0;4.93;1.66
622;Aymeric Laporte;0.25;3.29;5.69;0.0;6.67;1.67
633;İlkay Gündoğan;1.64;10.0;2.93;0.0;5.51;5.4
634;David Silva;1.04;7.72;3.35;0.0;5.79;5.15
642;Sergio Agüero;0.67;0.44;0.1;0.0;1.51;0.59
653;Ferland Mendy;0.12;2.25;2.05;0.0;3.41;2.74
660;Pape Cheikh;0.04;1.27;0.33;0.0;0.64;1.05
666;Moussa Dembélé;0.26;0.26;0.1;0.0;2.72;1.89
667;Memphis Depay;2.48;2.87;0.4;0.0;3.76;3.44
668;Nabil Fekir;1.42;5.87;1.69;0.0;4.81;4.78
669;Yassin Fekir;0.0;0.0;0.0;0.0;0.0;0.0
671;Bertrand Traoré;1.56;2.11;0.57;0.0;5.23;3.23
697;Manor Solomon;0.56;1.27;0.08;0.0;3.22;3.08
700;Olarenwaju Kayode;0.56;2.55;0.0;0.0;4.18;2.47
719;Florian Grillitsch;0.32;3.03;2.4;0.0;5.43;5.03
730;Thibaut Courtois;0.0;0.61;0.1;7.48;3.67;0.27
731;Keylor Navas;0.0;0.93;0.16;7.69;4.26;0.08
732;Luca Zidane;0.0;0.12;0.0;4.4;1.75;1.15
733;Daniel Carvajal;0.42;4.07;4.28;0.0;5.01;2.44
734;Adrián de la Fuente;0.7;2.12;4.66;0.0;4.27;1.67
735;Nacho Fernández;0.34;2.7;3.66;0.0;4.95;2.43
736;Fran García;0.4;2.76;3.8;0.0;4.7;2.22
737;Álvaro Odriozola;0.14;0.81;0.73;0.0;2.38;0.55
738;Sergio Ramos;1.54;3.8;6.87;0.0;6.44;3.38
739;Sergio Reguilón;0.24;4.06;2.59;0.0;4.88;3.73
740;Javi Sánchez;0.49;1.84;5.87;0.0;4.92;2.39
741;Jesús Vallejo;0.04;0.5;1.07;0.0;2.05;0.69
742;Raphaël Varane;0.44;3.65;4.4;0.0;5.73;3.44
743;Marcelo;0.57;6.06;2.26;0.0;5.06;5.22
744;Brahim Díaz;1.06;3.63;1.4;0.0;4.38;4.38
745;Isco;1.44;5.95;1.65;0.0;4.55;4.39
746;Marco Asensio;2.48;5.87;1.16;0.0;4.8;5.13
747;Casemiro;0.77;4.08;5.56;0.0;5.16;3.42
748;Dani Ceballos;0.22;4.24;2.81;0.0;5.11;3.08
751;Jaume Grau;0.0;0.03;0.16;0.0;1.0;0.0
752;Toni Kroos;1.1;10.0;3.69;0.0;5.69;4.06
753;Marcos Llorente;0.92;5.8;5.45;0.0;5.56;3.81
754;Luka Modrić;0.91;9.4;3.08;0.0;4.95;4.73
755;Jaime Seoane;0.22;1.07;1.72;0.0;3.96;2.33
756;Federico Valverde;1.32;7.78;5.28;0.0;5.68;4.16
757;Lucas Vázquez;0.74;5.99;3.83;0.0;5.47;4.56
758;Gareth Bale;2.85;4.07;0.95;0.0;3.46;3.3
759;Karim Benzema;6.84;9.24;0.89;0.0;4.42;4.86
760;Mariano Díaz;0.46;0.64;0.25;0.0;2.9;1.12
761;Cristo González;0.0;0.55;0.24;0.0;0.25;0.0
762;Vinícius Júnior;3.82;8.56;1.61;0.0;6.94;7.4
763;Daniel Fuzato;0.0;0.0;0.0;4.89;0.0;0.0
768;Federico Fazio;0.22;0.86;0.7;0.0;2.64;0.99
769;Alessandro Florenzi;0.19;3.75;4.91;0.0;4.01;4.08
780;Steven​ N'Zonzi;0.86;6.59;2.7;0.0;7.52;4.98
781;Javier Pastore;0.07;0.81;0.29;0.0;1.37;1.27
792;Justin Kluivert;2.41;3.47;1.7;0.0;4.89;4.57
851;Wojciech Szczęsny;0.0;0.22;0.03;7.36;1.02;0.44
854;Martín Cáceres;0.0;1.68;2.35;0.0;3.76;1.42
855;João Cancelo;0.34;2.66;2.72;0.0;2.97;2.55
872;Miralem Pjanić;0.04;0.64;0.32;0.0;1.09;0.88
874;Cristiano Ronaldo;10.0;8.0;0.3;0.0;5.79;5.12
885;Eric Bailly;0.0;0.47;2.56;0.0;4.56;1.85
897;Mason Greenwood;3.47;5.98;0.46;0.0;5.93;7.26
898;Ander Herrera;0.36;2.36;2.75;0.0;4.44;2.27
899;Andreas Pereira;1.41;6.57;0.75;0.0;6.1;5.43
908;Anthony Martial;0.67;1.7;0.06;0.0;4.45;3.4
909;Marcus Rashford;2.81;8.42;0.84;0.0;4.43;3.41
910;Alexis Sánchez;1.45;4.68;1.99;0.0;4.83;1.95
911;Jaume Doménech;0.0;0.11;0.0;6.16;0.64;0.08
912;Neto;0.0;0.25;0.0;6.96;0.88;0.01
913;Cristian Rivero;0.0;0.0;0.0;4.89;0.27;0.0
914;Álex Centelles;0.16;1.68;1.78;0.0;3.52;1.84
915;Gabriel Paulista;0.3;1.96;4.86;0.0;5.35;0.94
916;Mouctar Diakhaby;0.85;1.4;4.18;0.0;5.55;2.3
917;Ezequiel Garay;0.6;3.39;4.75;0.0;3.81;1.05
918;José Luis Gayà;0.45;5.01;6.15;0.0;5.89;3.33
919;Hugo Guillamón;0.16;1.75;2.27;0.0;4.61;1.71
920;Toni Lato;0.09;1.55;2.58;0.0;3.74;1.87
921;Cristiano Piccini;0.36;1.24;2.58;0.0;3.77;3.13
922;Facundo Roncaglia;0.27;2.23;5.12;0.0;5.49;3.6
923;Denis Cheryshev;0.69;2.73;1.88;0.0;3.94;2.89
924;Francis Coquelin;0.26;2.06;4.56;0.0;5.07;3.45
925;Gonçalo Guedes;2.12;4.64;1.26;0.0;5.28;5.01
926;Geoffrey Kondogbia;0.3;2.38;5.88;0.0;5.86;4.82
927;Kang-in Lee;1.09;4.69;1.21;0.0;5.2;6.36
928;Dani Parejo;0.69;6.43;4.56;0.0;6.13;4.26
929;Sito;0.0;0.43;0.1;0.0;0.22;0.14
930;Carlos Soler;1.92;5.63;2.66;0.0;4.38;3.25
931;Ferran Torres;3.33;4.05;0.97;0.0;4.3;3.12
932;Daniel Wass;0.74;4.28;2.97;0.0;4.55;3.04
933;Kévin Gameiro;1.95;2.78;0.73;0.0;3.21;2.94
934;Santi Mina;2.51;3.32;1.26;0.0;6.2;3.68
935;Rodrigo;2.75;6.37;0.64;0.0;4.28;5.02
937;Rubén Sobrino;0.65;2.13;2.85;0.0;4.83;3.35
957;Djibril Sow;0.8;3.44;4.07;0.0;5.33;2.7
959;Roger Assalé;1.61;3.15;0.06;0.0;2.09;4.68
1023;Toño Ramírez;0.0;0.45;0.0;1.23;0.48;0.0
1028;Mikel González;0.0;1.86;4.48;0.0;5.33;3.79
1036;Nacho Cases;0.74;4.09;1.99;0.0;5.69;3.93
1042;Lluis Sastre;0.0;1.06;0.65;0.0;1.18;0.07
1094;Diadié Samassékou;0.16;0.4;1.3;0.0;4.13;1.93
1097;Munas Dabbur;0.0;0.51;0.24;0.0;0.0;0.0
1117;Kieran Tierney;0.0;2.83;5.15;0.0;5.67;2.95
1118;Jeremy Toljan;0.34;4.93;7.47;0.0;5.07;0.28
1124;Oliver Burke;0.72;1.98;1.8;0.0;3.16;4.53
1160;Marcelo Saracchi;0.0;3.2;2.48;0.0;4.04;2.01
1163;Bruma;1.76;5.01;0.48;0.0;5.45;6.13
1165;Matheus Cunha;1.65;2.5;1.21;0.0;4.1;3.65
1211;Matías Kranevitter;0.0;2.57;2.08;0.0;4.59;2.25
1218;Emiliano Rigoni;0.77;1.9;0.99;0.0;3.54;3.18
1234;Alex Král;0.12;1.77;5.99;0.0;6.12;4.59
1257;Jules Koundé;0.55;5.59;5.25;0.0;6.38;4.28
1264;Youssouf Sabaly;0.1;2.53;4.56;0.0;5.24;3.48
1271;Aurélien Tchouaméni;0.46;5.0;7.73;0.0;7.0;2.74
1291;Denis Vavro;0.26;0.74;2.43;0.0;4.22;0.12
1304;Dinko Horkaš;0.0;0.29;0.0;8.72;1.85;1.06
1305;Dominik Livaković;0.0;0.0;0.0;5.0;0.0;0.0
1323;Dani Olmo;3.5;7.57;3.1;0.0;5.66;3.22
1327;Izet Hajrović;0.0;2.34;0.24;0.0;1.63;0.05
1328;Damian Kądzior;0.14;0.28;0.0;0.0;2.37;2.38
1335;Carlos Kameni;0.0;0.83;0.08;9.44;4.42;1.86
1346;İsmail Köybaşı;0.0;0.29;1.89;0.0;0.52;0.93
1364;Jailson;0.26;1.32;3.56;0.0;5.12;2.67
1375;Roberto Soldado;1.89;3.0;0.21;0.0;3.35;2.25
1419;Ognjen Vranješ;0.0;1.32;6.14;0.0;8.08;3.81
1421;Zakaria Bakkali;0.55;3.93;0.11;0.0;4.56;3.87
1427;Albert Sambi Lokonga;0.46;5.02;2.86;0.0;5.66;2.53
1434;Landry Dimata;0.0;0.65;0.16;0.0;4.12;3.01
1439;Héctor Bellerín;0.2;3.99;3.02;0.0;4.59;3.03
1447;Nacho Monreal;0.47;3.0;5.34;0.0;4.43;3.64
1448;Shkodran Mustafi;0.64;1.02;4.88;0.0;5.52;1.65
1450;Sokratis;0.1;0.9;3.16;0.0;5.23;0.12
1461;Denis Suárez;0.34;3.06;1.37;0.0;3.23;3.0
1462;Lucas Torreira;0.21;0.85;1.43;0.0;3.98;1.11
1465;Pierre-Emerick Aubameyang;2.42;0.98;0.21;0.0;1.42;1.13
1470;Luís Maximiano;0.0;0.43;0.05;7.31;4.28;2.22
1480;Jérémy Mathieu;0.44;4.69;3.16;0.0;5.47;2.69
1482;Thierry Correia;0.24;2.76;5.61;0.0;6.06;3.85
1484;Rodrigo Battaglia;0.12;0.61;2.7;0.0;5.02;2.36
1488;Idrissa Doumbia;0.0;0.71;1.35;0.0;4.35;4.66
1489;Nemanja Gudelj;0.55;2.1;4.67;0.0;5.46;2.41
1493;Marcos Acuña;0.61;6.22;4.64;0.0;6.32;4.82
1495;Abdoulay Diaby;0.0;0.41;0.48;0.0;1.38;0.0
1496;Raphinha;3.85;9.3;1.59;0.0;5.04;4.48
1557;Pau López;0.0;0.24;0.0;7.83;2.51;0.05
1558;Joel Robles;0.0;0.4;0.0;5.63;0.75;0.01
1560;Antonio Barragán;0.02;3.27;3.04;0.0;4.93;1.99
1561;Marc Bartra;0.54;2.03;7.0;0.0;5.63;2.96
1562;Sidnei;0.19;1.82;3.5;0.0;3.47;2.02
1563;Zouhair Feddal;0.37;2.77;4.63;0.0;4.67;1.9
1564;Junior Firpo;0.17;3.2;3.47;0.0;5.22;2.53
1565;Edgar González;0.31;1.74;5.09;0.0;5.37;2.66
1566;Emerson Royal;0.26;3.34;4.79;0.0;4.13;2.21
1567;Aïssa Mandi;0.34;2.16;3.31;0.0;4.54;1.21
1568;Paul Akouokou;0.02;0.3;1.75;0.0;3.01;1.48
