id_jugador;nombre;ataque;creacion;defensa;porteros;duelos;regates;confianza_datos;partidos_totales;minutos_totales
874;Cristiano Ronaldo;8.01;6.57;0.83;0.0;5.58;5.12;1.0;92;8027
278;Kylian Mbappé;7.81;8.57;0.27;0.0;5.97;7.67;1.0;54;4673
154;L. Messi;7.62;10.0;0.95;0.0;7.99;9.99;1.0;205;17168
759;K. Benzema;5.5;8.07;0.83;0.0;4.59;4.9;1.0;251;19731
276;Neymar;4.78;10.0;2.02;0.0;9.56;10.0;1.0;64;5709
15811;A. Dovbyk;4.7;4.37;0.17;0.0;4.23;4.29;1.0;36;2605
521;R. Lewandowski;4.53;3.07;0.55;0.0;4.7;3.8;1.0;120;9081
157;L. Suárez;4.38;4.89;0.61;0.0;4.79;3.4;1.0;231;18101
50048;V. Muriqi;3.47;3.22;0.7;0.0;7.74;3.88;1.0;129;10420
42086;Y. El-Arabi;3.39;2.93;1.91;0.0;6.36;5.46;1.0;35;2515
2059;W. Ben Yedder;3.38;5.61;1.03;0.0;4.78;4.39;1.0;91;6183
59;Álvaro Morata;3.29;2.45;0.93;0.0;6.07;4.51;1.0;143;8337
46746;A. Budimir;3.27;1.75;1.19;0.0;6.84;2.55;1.0;215;14930
6009;J. Álvarez;3.2;7.13;1.04;0.0;4.51;4.5;1.0;58;4053
9971;Antony;3.16;9.31;2.92;0.0;5.93;4.82;1.0;33;2693
1496;Raphinha;3.06;8.75;1.21;0.0;4.77;4.43;1.0;117;7134
762;Vinícius Júnior;3.05;7.89;1.28;0.0;6.78;7.41;1.0;230;15437
50856;V. Castellanos;3.03;1.78;0.66;0.0;5.42;3.36;1.0;35;2617
18907;Joselu;3.0;2.74;1.02;0.0;7.34;3.43;1.0;198;14503
129718;J. Bellingham;2.99;9.4;4.23;0.0;7.32;6.22;1.0;80;6098
1709;K. Toko Ekambi;2.96;2.88;0.75;0.0;4.88;5.48;1.0;52;3142
386828;Lamine Yamal;2.89;7.42;2.33;0.0;6.81;7.95;1.0;93;6409
897;M. Greenwood;2.78;5.44;0.55;0.0;5.71;7.26;1.0;33;2667
1323;Dani Olmo;2.75;6.56;2.1;0.0;5.47;3.25;1.0;42;2194
30515;S. Zaza;2.68;3.05;0.15;0.0;6.18;2.85;1.0;53;3454
8492;A. Sørloth;2.67;2.27;0.48;0.0;4.66;2.85;1.0;193;11667
931;Ferran Torres;2.61;3.7;0.77;0.0;4.16;3.1;1.0;203;9695
47323;Mikel Oyarzabal;2.58;4.91;1.54;0.0;5.31;4.03;1.0;337;24562
2056;Pablo Sarabia;2.51;8.39;2.58;0.0;5.43;4.43;1.0;132;9796
47422;Y. En-Nesyri;2.49;1.58;0.92;0.0;5.52;2.5;1.0;236;14017
47582;C. Hernández;2.49;5.16;2.1;0.0;6.16;4.77;1.0;114;8011
1707;Gerard Moreno;2.47;5.32;1.34;0.0;5.01;4.6;1.0;306;22371
