id_equipo;nombre_equipo;puntuacion_forma;estado;tendencia;variabilidad
541;Real Madrid;10.0;Positivo;3.22;0.64
529;Barcelona;9.0;Positivo;2.7;0.84
548;Real Sociedad;8.54;Positivo;2.56;1.01
727;Osasuna;7.45;Positivo;2.23;1.0
530;Atletico Madrid;7.38;Positivo;2.21;1.01
547;Girona;7.35;Positivo;2.2;0.93
532;Valencia;6.56;Positivo;1.97;1.33
538;Celta Vigo;6.37;Positivo;1.91;0.98
539;Levante;6.18;Positivo;1.85;0.96
543;Real Betis;5.01;Estable;1.5;1.07
533;Villarreal;4.67;Estable;1.4;0.8
542;Alaves;4.51;Estable;1.35;1.27
536;Sevilla;4.03;Estable;1.21;1.09
797;Elche;3.38;Estable;1.01;0.55
798;Mallorca;3.3;Estable;0.99;0.94
718;Oviedo;2.57;Critico;0.77;0.39
728;Rayo Vallecano;2.5;Critico;0.75;0.84
540;Espanyol;2.33;Critico;0.7;0.59
546;Getafe;1.69;Critico;0.51;0.39
531;Athletic Club;1.39;Critico;0.42;0.27
