temporada;id_equipo;nombre_equipo;puntuacion_forma;estado;tendencia;variabilidad
2015;529;Barcelona;10.0;Positivo;3.0;0.51
2015;541;Real Madrid;10.0;Positivo;3.07;0.45
2015;530;Atletico Madrid;8.39;Positivo;2.52;1.12
2015;731;Sporting Gijon;7.54;Positivo;2.26;1.11
2015;531;Athletic Club;6.52;Positivo;1.96;1.1
2015;715;Granada CF;6.37;Positivo;1.91;0.89
2015;548;Real Sociedad;6.14;Positivo;1.84;1.2
2015;535;Malaga;5.77;Positivo;1.73;1.1
2015;540;Espanyol;5.73;Positivo;1.72;1.13
2015;538;Celta Vigo;5.19;Estable;1.56;0.88
2015;543;Real Betis;5.19;Estable;1.56;1.06
2015;546;Getafe;4.67;Estable;1.4;0.75
2015;544;Deportivo La Coruna;3.91;Estable;1.17;1.07
2015;728;Rayo Vallecano;3.77;Estable;1.13;1.09
2015;539;Levante;3.5;Estable;1.05;1.15
2015;534;Las Palmas;2.8;Critico;0.84;0.78
2015;533;Villarreal;2.73;Critico;0.82;0.81
2015;532;Valencia;2.67;Critico;0.8;0.53
2015;536;Sevilla;2.11;Critico;0.63;0.71
2015;545;Eibar;1.32;Critico;0.39;0.37
2016;541;Real Madrid;9.75;Positivo;2.92;0.89
2016;536;Sevilla;7.75;Positivo;2.33;0.81
2016;529;Barcelona;7.35;Positivo;2.2;1.11
2016;534;Las Palmas;7.2;Positivo;2.16;1.12
2016;533;Villarreal;6.63;Positivo;1.99;0.58
2016;530;Atletico Madrid;5.97;Positivo;1.79;0.57
2016;731;Sporting Gijon;5.68;Positivo;1.71;1.14
2016;537;Leganes;5.53;Positivo;1.66;1.06
2016;531;Athletic Club;5.39;Estable;1.62;0.84
2016;545;Eibar;5.07;Estable;1.52;1.07
2016;548;Real Sociedad;5.07;Estable;1.52;0.83
2016;542;Alaves;4.94;Estable;1.48;0.86
2016;544;Deportivo La Coruna;4.01;Estable;1.2;1.11
2016;543;Real Betis;3.95;Estable;1.18;0.67
2016;540;Espanyol;3.87;Estable;1.16;0.44
2016;535;Malaga;3.4;Estable;1.02;0.54
2016;538;Celta Vigo;2.67;Critico;0.8;0.53
2016;727;Osasuna;2.16;Critico;0.65;0.33
2016;715;Granada CF;1.9;Critico;0.57;0.59
2016;532;Valencia;1.41;Critico;0.42;0.63
2017;529;Barcelona;10.0;Positivo;3.13;0.67
2017;536;Sevilla;8.2;Positivo;2.46;0.53
2017;548;Real Sociedad;7.59;Positivo;2.28;1.29
2017;530;Atletico Madrid;7.23;Positivo;2.17;0.56
2017;539;Levante;7.12;Positivo;2.14;0.99
2017;532;Valencia;6.78;Positivo;2.03;0.81
2017;541;Real Madrid;6.38;Positivo;1.91;0.95
2017;543;Real Betis;6.36;Positivo;1.91;0.85
2017;537;Leganes;5.46;Estable;1.64;1.3
2017;531;Athletic Club;5.37;Estable;1.61;1.01
2017;545;Eibar;4.59;Estable;1.38;1.2
2017;534;Las Palmas;4.44;Estable;1.33;0.85
2017;533;Villarreal;4.4;Estable;1.32;1.03
2017;547;Girona;4.11;Estable;1.23;0.98
2017;546;Getafe;3.59;Estable;1.08;0.76
2017;540;Espanyol;3.58;Estable;1.07;0.63
2017;544;Deportivo La Coruna;2.9;Critico;0.87;0.54
2017;538;Celta Vigo;2.8;Critico;0.84;0.8
2017;542;Alaves;0.66;Critico;0.2;0.18
2017;535;Malaga;0.51;Critico;0.15;0.14
2018;540;Espanyol;8.28;Positivo;2.48;1.05
2018;539;Levante;7.27;Positivo;2.18;0.76
2018;532;Valencia;7.17;Positivo;2.15;1.23
2018;529;Barcelona;6.64;Positivo;1.99;0.98
2018;548;Real Sociedad;6.55;Positivo;1.97;1.23
2018;720;Valladolid;6.37;Positivo;1.91;0.89
2018;543;Real Betis;5.99;Positivo;1.8;1.43
2018;533;Villarreal;5.92;Positivo;1.78;0.78
2018;530;Atletico Madrid;5.34;Estable;1.6;0.68
2018;536;Sevilla;5.25;Estable;1.57;1.12
2018;545;Eibar;5.23;Estable;1.57;0.98
