id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
286611;Pablo Cuñat;539;Pocos minutos;5.17;0.0;0.0
1118;Jeremy Toljan;539;Estable;4.49;4.42;-0.07
734;Adrián de la Fuente;539;Rendimiento Alto;4.7;5.07;0.37
46941;Unai Elgezabal;539;Estable;4.22;4.03;-0.19
408320;Jorge Cabello;539;Pocos minutos;4.23;0.0;0.0
64309;Manuel Sánchez;539;Estable;4.62;4.58;-0.04
46790;Víctor García;539;Estable;4.6;4.78;0.18
104949;Pablo Martínez;539;Estable;4.75;4.86;0.11
106727;Oriol Rey;539;Pocos minutos;4.38;0.0;0.0
47225;Roger Brugué;539;Estable;4.22;4.32;0.09
192032;Iván Romero;539;Estable;4.92;4.65;-0.27
47467;José Luis Morales;539;Pocos minutos;4.4;0.0;0.0
104832;Diego Pampín;539;Pocos minutos;4.2;0.0;0.0
421807;Matias Moreno;539;Estable;4.78;5.0;0.22
182770;Carlos Álvarez;539;Estable;5.1;5.39;0.29
463279;Paco Cortés;539;Pocos minutos;4.08;0.0;0.0
450497;Carlos Espí;539;Estable;4.32;4.48;0.16
47353;Antonio Sivera;542;Estable;4.45;4.52;0.07
18740;Jonny Otto;542;Estable;4.67;4.54;-0.13
6638;Facundo Garcés;542;Estable;4.49;4.49;0.0
6233;Nahuel Tenaglia;542;Estable;4.8;4.59;-0.21
128951;Victor Parada;542;Estable;4.21;4.1;-0.11
162686;Antonio Blanco;542;Rendimiento Alto;5.07;5.47;0.4
187214;Carlos Vicente;542;Rendimiento Alto;4.84;5.17;0.33
104821;Jon Guridi;542;Estable;3.97;3.97;0.0
139001;Pablo Ibáñez;542;Estable;4.86;4.97;0.11
143;Carles Aleñá;542;Estable;4.69;4.74;0.05
47181;Toni Martínez;542;Estable;4.86;5.01;0.15
183751;Abderrahman Rebbach;542;Rendimiento Bajo;4.57;4.18;-0.38
760;Mariano Díaz;542;Pocos minutos;4.15;0.0;0.0
266658;Calebe Gonçalves;542;Rendimiento Bajo;4.71;4.35;-0.36
47309;Ander Guevara;542;Estable;4.42;4.28;-0.14
361384;Youssef Enriquez Lekhedim;542;Estable;4.31;4.25;-0.06
70476;Moussa Diarra;542;Pocos minutos;4.23;0.0;0.0
6085;Carlos Benavídez;542;Estable;4.14;4.17;0.04
47270;Unai Simón;531;Estable;4.5;4.67;0.18
182181;Jesús Areso;531;Estable;4.42;4.15;-0.27
47278;Daniel Vivian;531;Estable;4.47;4.35;-0.12
183849;Aitor Paredes;531;Estable;4.84;4.73;-0.11
47273;Yuri Berchiche;531;Estable;4.85;4.92;0.08
47007;Iñigo Ruiz de Galarreta;531;Estable;4.91;4.62;-0.29
383780;Mikel Jauregizar;531;Estable;4.87;4.99;0.12
47294;Iñaki Williams;531;Estable;4.31;4.37;0.06
30510;Álex Berenguer;531;Estable;5.0;5.1;0.1
183799;Nico Williams;531;Estable;5.39;5.26;-0.13
287680;Maroan Sannadi;531;Estable;4.1;4.18;0.09
84086;Robert Navarro;531;Estable;4.69;4.97;0.29
47291;Gorka Guruzeta;531;Estable;4.31;4.25;-0.06
47418;Mikel Vesga;531;Pocos minutos;4.23;0.0;0.0
47299;Andoni Gorosabel;531;Pocos minutos;4.19;0.0;0.0
332309;Alejandro Rego;531;Estable;4.42;4.28;-0.13
336998;Adama Boiro;531;Estable;4.12;4.05;-0.07
47276;Íñigo Lekue;531;Estable;4.36;4.15;-0.21
182639;Unai Vencedor;539;Estable;4.62;4.8;0.19
286593;Nico Serrano;531;Pocos minutos;4.25;0.0;0.0
