id_equipo;temporada;necesidad;motivo
529;2015;Sin necesidad clara;Sin señales negativas relevantes
530;2015;Sin necesidad clara;Sin señales negativas relevantes
531;2015;Sin necesidad clara;Sin señales negativas relevantes
532;2015;Delantero;Pocos goles respecto a la media de la liga
533;2015;Delantero;Pocos goles respecto a la media de la liga
534;2015;Delantero;Pocos goles respecto a la media de la liga
535;2015;Delantero;Pocos goles respecto a la media de la liga
535;2015;Extremo;Delanteros con regate y asistencias por debajo de la media
536;2015;Sin necesidad clara;Sin señales negativas relevantes
538;2015;Portero;Porteros con pocas paradas y muchos goles encajados
539;2015;Delantero;Pocos goles respecto a la media de la liga
539;2015;Laterales;Defensas con pocas asistencias y muchos regateados
540;2015;Delantero;Pocos goles respecto a la media de la liga
540;2015;Laterales;Defensas con pocas asistencias y muchos regateados
540;2015;Central;Defensas con bajos aportes defensivos y muchos goles encajados
541;2015;Sin necesidad clara;Sin señales negativas relevantes
543;2015;Delantero;Pocos goles respecto a la media de la liga
543;2015;Extremo;Delanteros con regate y asistencias por debajo de la media
543;2015;Laterales;Defensas con pocas asistencias y muchos regateados
544;2015;Delantero;Pocos goles respecto a la media de la liga
544;2015;Portero;Porteros con pocas paradas y muchos goles encajados
545;2015;Portero;Porteros con pocas paradas y muchos goles encajados
546;2015;Delantero;Pocos goles respecto a la media de la liga
548;2015;Delantero;Pocos goles respecto a la media de la liga
548;2015;Extremo;Delanteros con regate y asistencias por debajo de la media
715;2015;Delantero;Pocos goles respecto a la media de la liga
715;2015;Central;Defensas con bajos aportes defensivos y muchos goles encajados
728;2015;Sin necesidad clara;Sin señales negativas relevantes
731;2015;Delantero;Pocos goles respecto a la media de la liga
529;2016;Sin necesidad clara;Sin señales negativas relevantes
530;2016;Sin necesidad clara;Sin señales negativas relevantes
531;2016;Sin necesidad clara;Sin señales negativas relevantes
532;2016;Extremo;Delanteros con regate y asistencias por debajo de la media
533;2016;Sin necesidad clara;Sin señales negativas relevantes
534;2016;Sin necesidad clara;Sin señales negativas relevantes
535;2016;Delantero;Pocos goles respecto a la media de la liga
535;2016;Extremo;Delanteros con regate y asistencias por debajo de la media
536;2016;Laterales;Defensas con pocas asistencias y muchos regateados
537;2016;Delantero;Pocos goles respecto a la media de la liga
537;2016;Laterales;Defensas con pocas asistencias y muchos regateados
538;2016;Laterales;Defensas con pocas asistencias y muchos regateados
540;2016;Delantero;Pocos goles respecto a la media de la liga
541;2016;Sin necesidad clara;Sin señales negativas relevantes
542;2016;Delantero;Pocos goles respecto a la media de la liga
543;2016;Delantero;Pocos goles respecto a la media de la liga
544;2016;Delantero;Pocos goles respecto a la media de la liga
544;2016;Extremo;Delanteros con regate y asistencias por debajo de la media
545;2016;Sin necesidad clara;Sin señales negativas relevantes
548;2016;Sin necesidad clara;Sin señales negativas relevantes
715;2016;Delantero;Pocos goles respecto a la media de la liga
727;2016;Delantero;Pocos goles respecto a la media de la liga
731;2016;Delantero;Pocos goles respecto a la media de la liga
731;2016;Extremo;Delanteros con regate y asistencias por debajo de la media
529;2017;Sin necesidad clara;Sin señales negativas relevantes
530;2017;Sin necesidad clara;Sin señales negativas relevantes
531;2017;Delantero;Pocos goles respecto a la media de la liga
532;2017;Sin necesidad clara;Sin señales negativas relevantes
533;2017;Sin necesidad clara;Sin señales negativas relevantes
534;2017;Delantero;Pocos goles respecto a la media de la liga
534;2017;Laterales;Defensas con pocas asistencias y muchos regateados
535;2017;Delantero;Pocos goles respecto a la media de la liga
535;2017;Extremo;Delanteros con regate y asistencias por debajo de la media
536;2017;Portero;Porteros con pocas paradas y muchos goles encajados
537;2017;Delantero;Pocos goles respecto a la media de la liga
538;2017;Sin necesidad clara;Sin señales negativas relevantes
539;2017;Delantero;Pocos goles respecto a la media de la liga
540;2017;Delantero;Pocos goles respecto a la media de la liga
541;2017;Sin necesidad clara;Sin señales negativas relevantes
542;2017;Delantero;Pocos goles respecto a la media de la liga
