id_partido;id_equipo;id_jugador;nombre_jugador;probabilidad
1391032;540;47398;Pere Milla;0.418
1391032;540;47349;Javi Puado;0.397
1391032;540;312990;Roberto Fernández;0.379
1391032;542;608;Lucas Boyé;0.47
1391032;542;187214;Carlos Vicente;0.358
1391032;542;47181;Toni Martínez;0.346
1391038;718;51530;Federico Viñas;0.368
1391038;718;2461;Salomón Rondón;0.311
1391038;718;182486;Alberto Reina;0.308
1391038;547;161670;Vladyslav Vanat;0.438
1391038;547;2617;Cristhian Stuani;0.427
1391038;547;129678;Azzedine Ounahi;0.394
1391036;727;46746;Ante Budimir;0.551
1391036;727;46658;Rubén García;0.353
1391036;727;338751;Victor Muñoz;0.338
1391036;533;182519;Alberto Moleiro;0.49
1391036;533;1707;Gerard Moreno;0.469
1391036;533;180496;Georges Mikautadze;0.421
1391034;539;734;Adrián de la Fuente;0.332
1391034;539;378284;Etta Eyong;0.332
1391034;539;128985;Iker Losada;0.331
1391034;530;56;Antoine Griezmann;0.443
1391034;530;8492;Alexander Sørloth;0.405
1391034;530;6009;Julián Alvarez;0.332
1391031;797;47013;Rafa Mir;0.426
1391031;797;161963;Germán Valera;0.373
1391031;797;343202;Álvaro Rodriguez;0.35
1391031;529;931;Ferran Torres;0.555
1391031;529;1496;Raphinha;0.504
1391031;529;521;Robert Lewandowski;0.463
1391037;541;278;Kylian Mbappé;0.7
1391037;541;336711;Gonzalo García;0.361
1391037;541;129718;Jude Bellingham;0.357
1391037;728;128582;Jorge de Frutos;0.371
1391037;728;131546;Isi Palazón;0.33
1391037;728;47543;Álvaro García;0.316
1391030;543;47582;Cucho Hernández;0.495
1391030;543;1697;Pablo Fornals;0.405
1391030;543;181421;Abdessamad Ezzalzouli;0.401
1391030;532;47264;Hugo Duro;0.454
1391030;532;47463;Pepelu;0.351
1391030;532;83;Arnaut Danjuma;0.338
1391033;546;6490;Luis Vázquez;0.646
1391033;546;47472;Borja Mayoral;0.407
1391033;546;403554;Christantus Uche;0.401
1391033;538;47348;Borja Iglesias;0.49
1391033;538;269163;Williot Swedberg;0.373
1391033;538;47445;Iago Aspas;0.351
1391029;531;84086;Robert Navarro;0.378
1391029;531;30510;Álex Berenguer;0.376
1391029;531;47294;Iñaki Williams;0.37
1391029;548;47323;Mikel Oyarzabal;0.525
1391029;548;47440;Brais Méndez;0.407
1391029;548;925;Gonçalo Guedes;0.405
1391035;798;50048;Vedat Muriqi;0.582
1391035;798;313059;Mateo Joseph;0.329
1391035;798;190485;Samú Costa;0.321
1391035;536;25458;Dodi Lukebakio;0.438
1391035;536;57446;Akor Adams;0.435
1391035;536;48471;Ruben Vargas;0.379
1391043;538;47348;Borja Iglesias;0.49
1391043;538;269163;Williot Swedberg;0.373
1391043;538;47445;Iago Aspas;0.351
1391043;727;46746;Ante Budimir;0.551
1391043;727;46658;Rubén García;0.353
1391043;727;338751;Victor Muñoz;0.338
1391044;728;128582;Jorge de Frutos;0.371
1391044;728;131546;Isi Palazón;0.308
1391044;728;41552;Pathé Ismaël Ciss;0.302
1391044;718;51530;Federico Viñas;0.345
1391044;718;182486;Alberto Reina;0.308
1391044;718;266202;Ilyas Chaira;0.299
1391042;529;1496;Raphinha;0.578
1391042;529;931;Ferran Torres;0.555
1391042;529;1323;Dani Olmo;0.484
1391042;798;50048;Vedat Muriqi;0.606
1391042;798;190485;Samú Costa;0.321
1391042;798;1701;Manu Morlanes;0.3
1391046;536;25458;Dodi Lukebakio;0.463
1391046;536;57446;Akor Adams;0.435
1391046;536;48471;Ruben Vargas;0.356
1391046;547;161670;Vladyslav Vanat;0.438
1391046;547;2617;Cristhian Stuani;0.427
1391046;547;2182;Viktor Tsygankov;0.411
1391045;548;47323;Mikel Oyarzabal;0.525
1391045;548;925;Gonçalo Guedes;0.429
1391045;548;47440;Brais Méndez;0.407
1391045;797;47013;Rafa Mir;0.426
1391045;797;161963;Germán Valera;0.373
1391045;797;343202;Álvaro Rodriguez;0.373
1391039;542;608;Lucas Boyé;0.421
1391039;542;187214;Carlos Vicente;0.381
1391039;542;47181;Toni Martínez;0.346
1391039;546;6490;Luis Vázquez;0.646
1391039;546;47258;Mauro Arambarri;0.384
1391039;546;403554;Christantus Uche;0.378
1391040;531;84086;Robert Navarro;0.378
1391040;531;47294;Iñaki Williams;0.37
1391040;531;183799;Nico Williams;0.357
1391040;539;734;Adrián de la Fuente;0.332
1391040;539;378284;Etta Eyong;0.332
1391040;539;128985;Iker Losada;0.331
1391041;530;56;Antoine Griezmann;0.443
1391041;530;8492;Alexander Sørloth;0.429
1391041;530;182219;Alejandro Baena;0.384
1391041;543;47582;Cucho Hernández;0.42
1391041;543;1697;Pablo Fornals;0.381
1391041;543;47119;Aitor Ruibal;0.38
1391047;532;47264;Hugo Duro;0.479
1391047;532;138776;Largie Ramazani;0.347
1391047;532;47463;Pepelu;0.329
1391047;541;278;Kylian Mbappé;0.72
1391047;541;762;Vinícius Júnior;0.381
1391047;541;129718;Jude Bellingham;0.38
1391048;533;182519;Alberto Moleiro;0.465
1391048;533;1707;Gerard Moreno;0.419
1391048;533;180496;Georges Mikautadze;0.397
1391048;540;47398;Pere Milla;0.418
1391048;540;47396;Kike García;0.36
1391048;540;47349;Javi Puado;0.35
1391049;797;47013;Rafa Mir;0.401
1391049;797;161963;Germán Valera;0.373
1391049;797;343202;Álvaro Rodriguez;0.35
1391049;727;46746;Ante Budimir;0.526
1391049;727;338751;Victor Muñoz;0.361
1391049;727;46658;Rubén García;0.353
1391050;540;312990;Roberto Fernández;0.379
1391050;540;47396;Kike García;0.36
1391050;540;47398;Pere Milla;0.348
1391050;538;47348;Borja Iglesias;0.49
1391050;538;269163;Williot Swedberg;0.373
1391050;538;47445;Iago Aspas;0.351
1391055;728;128582;Jorge de Frutos;0.394
1391055;728;47543;Álvaro García;0.338
1391055;728;131546;Isi Palazón;0.33
1391055;530;8492;Alexander Sørloth;0.479
1391055;530;56;Antoine Griezmann;0.443
1391055;530;6009;Julián Alvarez;0.401
1391058;536;25458;Dodi Lukebakio;0.463
1391058;536;57446;Akor Adams;0.435
1391058;536;48471;Ruben Vargas;0.379
1391058;542;187214;Carlos Vicente;0.405
1391058;542;608;Lucas Boyé;0.397
1391058;542;47181;Toni Martínez;0.346
1391056;541;278;Kylian Mbappé;0.74
1391056;541;762;Vinícius Júnior;0.381
1391056;541;336711;Gonzalo García;0.361
1391056;548;47323;Mikel Oyarzabal;0.5
1391056;548;925;Gonçalo Guedes;0.429
1391056;548;47317;Ander Barrenetxea;0.387
1391057;718;51530;Federico Viñas;0.345
1391057;718;182486;Alberto Reina;0.308
1391057;718;266202;Ilyas Chaira;0.299
1391057;531;183799;Nico Williams;0.357
1391057;531;84086;Robert Navarro;0.354
1391057;531;30510;Álex Berenguer;0.331
1391051;546;6490;Luis Vázquez;0.646
1391051;546;403554;Christantus Uche;0.378
1391051;546;47258;Mauro Arambarri;0.361
1391051;533;1707;Gerard Moreno;0.469
1391051;533;182519;Alberto Moleiro;0.44
1391051;533;180496;Georges Mikautadze;0.421
1391053;539;734;Adrián de la Fuente;0.332
1391053;539;378284;Etta Eyong;0.332
1391053;539;128985;Iker Losada;0.331
1391053;532;47264;Hugo Duro;0.454
1391053;532;47463;Pepelu;0.329
1391053;532;138776;Largie Ramazani;0.303
1391054;798;50048;Vedat Muriqi;0.606
1391054;798;190485;Samú Costa;0.343
1391054;798;47336;Sergi Darder;0.31
1391054;543;47582;Cucho Hernández;0.42
1391054;543;181421;Abdessamad Ezzalzouli;0.401
1391054;543;9971;Antony;0.397
1391052;547;2617;Cristhian Stuani;0.452
1391052;547;161670;Vladyslav Vanat;0.438
1391052;547;2182;Viktor Tsygankov;0.387
1391052;529;931;Ferran Torres;0.53
1391052;529;1496;Raphinha;0.504
1391052;529;1323;Dani Olmo;0.484
1390974;539;47467;José Luis Morales;0.342
1390974;539;734;Adrián de la Fuente;0.332
1390974;539;378284;Etta Eyong;0.332
1390974;533;1707;Gerard Moreno;0.469
1390974;533;182519;Alberto Moleiro;0.44
1390974;533;180496;Georges Mikautadze;0.397
1391067;548;47323;Mikel Oyarzabal;0.45
1391067;548;925;Gonçalo Guedes;0.381
1391067;548;47440;Brais Méndez;0.36
1391067;718;51530;Federico Viñas;0.345
1391067;718;1695;Santi Cazorla;0.31
1391067;718;182486;Alberto Reina;0.308
1391065;546;6490;Luis Vázquez;0.646
1391065;546;47472;Borja Mayoral;0.407
