id_jugador;nombre;id_equipo;posicion;temporada_base;temporada_objetivo;minutos;nota_media;score_temporada_base;score_real_temporada_siguiente;clase_real_temporada_siguiente;prediccion_randomforest;prediccion_svm;prediccion_mlp;probabilidad_bajo;probabilidad_medio;probabilidad_alto;modelo_recomendado
31;José María Giménez;530;Defensa;2015;2016;2430;7.118518;72.49;77.59;ALTO;ALTO;MEDIO;MEDIO;0.1618;0.3183;0.5198;RandomForest
32;Diego Godín;530;Defensa;2015;2016;2651;7.396774;79.68;81.49;ALTO;ALTO;ALTO;ALTO;0.0964;0.2225;0.681;RandomForest
33;Lucas Hernández;530;Defensa;2015;2016;834;7.089999999999999;63.89;55.96;MEDIO;MEDIO;BAJO;BAJO;0.2865;0.5493;0.1642;RandomForest
34;Filipe Luís;530;Defensa;2015;2016;2834;7.328125;85.66;88.07;ALTO;ALTO;ALTO;ALTO;0.0719;0.1222;0.8059;RandomForest
39;Stefan Savić;530;Defensa;2015;2016;925;7.081818;58.82;62.31;MEDIO;MEDIO;BAJO;MEDIO;0.3516;0.4932;0.1553;RandomForest
41;Juanfran;530;Defensa;2015;2016;3030;6.94;68.59;59.95;MEDIO;MEDIO;MEDIO;MEDIO;0.1802;0.4968;0.323;RandomForest
128;Jordi Alba;529;Defensa;2015;2016;2591;7.02258;65.81;58.85;MEDIO;MEDIO;ALTO;MEDIO;0.0938;0.5503;0.3559;RandomForest
136;Gerard Piqué;529;Defensa;2015;2016;2592;7.116666000000001;74.8;79.71;ALTO;ALTO;ALTO;ALTO;0.0789;0.1804;0.7407;RandomForest
140;Thomas Vermaelen;529;Defensa;2015;2016;506;7.01;63.64;;;MEDIO;MEDIO;MEDIO;0.3622;0.447;0.1908;RandomForest
256;Dani Alves;529;Defensa;2015;2016;2147;7.003448;70.92;;;ALTO;ALTO;ALTO;0.1338;0.3428;0.5234;RandomForest
373;Pepe;541;Defensa;2015;2016;1887;7.180952;78.72;77.86;ALTO;ALTO;ALTO;ALTO;0.0959;0.1989;0.7051;RandomForest
434;Mariano;536;Defensa;2015;2016;1685;6.890909;61.28;62.11;MEDIO;MEDIO;MEDIO;BAJO;0.2738;0.4848;0.2414;RandomForest
618;Danilo;541;Defensa;2015;2016;2044;7.2;83.46;82.21;ALTO;ALTO;ALTO;ALTO;0.0572;0.1385;0.8043;RandomForest
622;Aymeric Laporte;531;Defensa;2015;2016;2213;7.046153;76.49;72.15;ALTO;ALTO;ALTO;ALTO;0.0941;0.2154;0.6906;RandomForest
733;Daniel Carvajal;541;Defensa;2015;2016;1638;6.990476;70.24;74.54;ALTO;ALTO;ALTO;ALTO;0.1062;0.2291;0.6647;RandomForest
735;Nacho Fernández;541;Defensa;2015;2016;1153;6.925;62.54;67.63;ALTO;ALTO;MEDIO;ALTO;0.3266;0.3316;0.3418;RandomForest
738;Sergio Ramos;541;Defensa;2015;2016;1946;7.243478;78.4;82.42;ALTO;ALTO;ALTO;MEDIO;0.0757;0.2056;0.7187;RandomForest
742;Raphaël Varane;541;Defensa;2015;2016;2180;7.003846;66.22;71.09;ALTO;ALTO;MEDIO;ALTO;0.1738;0.2639;0.5624;RandomForest
743;Marcelo;541;Defensa;2015;2016;2473;7.206896000000001;83.47;74.71;ALTO;ALTO;ALTO;ALTO;0.0131;0.0492;0.9377;RandomForest
757;Lucas Vázquez;541;Defensa;2015;2016;1227;7.130434;81.7;62.09;MEDIO;MEDIO;ALTO;MEDIO;0.0898;0.4578;0.4524;RandomForest
768;Federico Fazio;536;Defensa;2015;2016;295;6.425;25.77;;;BAJO;BAJO;BAJO;0.6419;0.2384;0.1196;RandomForest
855;João Cancelo;532;Defensa;2015;2016;2120;6.864285;68.83;63.72;MEDIO;MEDIO;MEDIO;MEDIO;0.1996;0.5645;0.2359;RandomForest
885;Eric Bailly;533;Defensa;2015;2016;2026;6.9;63.09;;;MEDIO;MEDIO;MEDIO;0.304;0.4613;0.2347;RandomForest
918;José Luis Gayà;532;Defensa;2015;2016;1441;6.789473;50.8;66.37;MEDIO;MEDIO;MEDIO;MEDIO;0.3054;0.513;0.1815;RandomForest
921;Cristiano Piccini;543;Defensa;2015;2016;1421;6.7375;62.11;47.65;BAJO;MEDIO;MEDIO;BAJO;0.3243;0.3982;0.2775;RandomForest
1028;Mikel González;548;Defensa;2015;2016;1552;6.989473;58.91;52.72;MEDIO;MEDIO;BAJO;MEDIO;0.3939;0.4062;0.2;RandomForest
1419;Ognjen Vranješ;731;Defensa;2015;2016;916;6.827272;55.04;;;MEDIO;MEDIO;MEDIO;0.3275;0.4678;0.2046;RandomForest
1448;Shkodran Mustafi;532;Defensa;2015;2016;2682;7.283333000000001;77.24;31.46;;ALTO;ALTO;ALTO;0.0809;0.2251;0.694;RandomForest
1480;Jérémy Mathieu;529;Defensa;2015;2016;1260;6.825;56.98;62.23;MEDIO;BAJO;BAJO;BAJO;0.4406;0.3917;0.1677;RandomForest
1560;Antonio Barragán;532;Defensa;2015;2016;1660;6.608333;40.16;;;BAJO;BAJO;MEDIO;0.5181;0.343;0.1389;RandomForest
1561;Marc Bartra;529;Defensa;2015;2016;496;6.961538;65.44;;;MEDIO;MEDIO;BAJO;0.2862;0.4384;0.2754;RandomForest
1562;Sidnei;544;Defensa;2015;2016;0;;55.63;56.23;MEDIO;MEDIO;MEDIO;MEDIO;0.2357;0.5444;0.2199;RandomForest
1563;Zouhair Feddal;539;Defensa;2015;2016;2520;6.935714;65.95;67.98;ALTO;ALTO;ALTO;ALTO;0.1878;0.3425;0.4697;RandomForest
1630;Mateo Musacchio;533;Defensa;2015;2016;1010;7.092307;66.4;56.38;MEDIO;MEDIO;MEDIO;MEDIO;0.324;0.5223;0.1537;RandomForest
1685;Daniele Bonera;533;Defensa;2015;2016;973;6.75;41.16;50.88;BAJO;BAJO;BAJO;BAJO;0.5896;0.2836;0.1268;RandomForest
1687;Jaume Costa;533;Defensa;2015;2016;1538;6.922222;62.9;73.07;ALTO;ALTO;MEDIO;ALTO;0.2333;0.3545;0.4122;RandomForest
1689;Álvaro González;540;Defensa;2015;2016;3227;6.816665999999999;57.35;22.13;BAJO;MEDIO;BAJO;BAJO;0.3813;0.4035;0.2152;RandomForest
