id_jugador;temporada;nombre;posicion;cluster;id_similar1;nombre_similar1;similitud1;id_similar2;nombre_similar2;similitud2;id_similar3;nombre_similar3;similitud3;id_similar4;nombre_similar4;similitud4;id_similar5;nombre_similar5;similitud5
21;2015;Paco Alcácer;Delantero;15;933;Kévin Gameiro;0.9532;47012;Rubén Castro;0.95;59937;Miku Fedor;0.9218;47445;Iago Aspas;0.9198;47493;Duje Čop;0.9151
27;2015;Antonio Adán;Portero;11;47153;Juan Carlos;0.9974;29;Jan Oblak;0.9973;5986;Germán Lux;0.9972;47296;Gerónimo Rulli;0.997;911;Jaume Doménech;0.9954
29;2015;Jan Oblak;Portero;11;1335;Carlos Kameni;0.9976;47296;Gerónimo Rulli;0.9974;27;Antonio Adán;0.9973;911;Jaume Doménech;0.997;47153;Juan Carlos;0.9953
31;2015;José María Giménez;Defensa;5;46679;Quini;0.9958;47073;Mauro Dos Santos;0.9931;35903;Alejandro Arribas;0.9871;78370;Heiko Westermann;0.9865;32;Diego Godín;0.9848
32;2015;Diego Godín;Defensa;5;31;José María Giménez;0.9848;2875;Diego Reyes;0.984;35903;Alejandro Arribas;0.9834;46679;Quini;0.9773;1899;Aymen Abdennour;0.9741
33;2015;Lucas Hernández;Defensa;9;47457;Rúben Vezo;0.9878;46765;Aleksandar Pantić;0.9804;47355;Rubén Duarte;0.9778;2358;José Ángel Crespo;0.9774;1630;Mateo Musacchio;0.9748
34;2015;Filipe Luís;Defensa;7;855;João Cancelo;0.9794;41;Juanfran;0.9752;921;Cristiano Piccini;0.9686;2444;Roberto Rosales;0.9599;2040;Sergio Escudero;0.9472
39;2015;Stefan Savić;Defensa;10;1906;Adil Rami;0.9724;104975;David Navarro;0.9686;46823;Miguel Torres;0.9314;82030;Juan Rafael Fuentes;0.9274;105108;Alberto Lopo;0.9273
41;2015;Juanfran;Defensa;7;855;João Cancelo;0.976;34;Filipe Luís;0.9752;47453;Toño;0.9597;105583;Roberto Lago;0.9518;921;Cristiano Piccini;0.9466
44;2015;Rodrigo;Mediocentro;13;41333;Luis Farina;0.9953;116820;Hugo Fraile Martin;0.9938;47414;Gerard Gumbau;0.9934;116832;Íñigo Barrenetxea;0.9928;51014;Wilfried Zahibo;0.9924
46;2015;Vitolo;Mediocentro;3;18765;André Gomes;0.9928;47392;Pedro León;0.9897;2446;Juanpi Añor;0.9661;77168;Álvaro Cejudo;0.9532;2053;Roque Mesa;0.9442
48;2015;Saúl Ñíguez;Mediocentro;7;780;Steven​ N'Zonzi;0.9468;47316;David Zurutuza;0.9052;2557;Pablo Hernández;0.8933;47385;Sergio Álvarez;0.8921;747;Casemiro;0.8552
49;2015;Thomas Partey;Mediocentro;4;33395;Isaac Cuenca;0.9674;46658;Rubén García;0.8385;19533;Jota Peleteiro;0.7758;18998;Víctor Camarasa;0.7597;51112;Víctor Rodríguez;0.7551
50;2015;Koke;Mediocentro;1;104794;Xabi Prieto;0.9663;47389;Joan Jordán;0.9661;149;Ivan Rakitić;0.9647;47280;Beñat Etxebarria;0.9643;932;Daniel Wass;0.9629
53;2015;Ángel Correa;Delantero;3;1163;Bruma;0.9501;1861;Felipe Caicedo;0.941;18811;Adalberto Peñaranda;0.9374;47553;Bebé;0.9012;2777;Isaac Success;0.8874
56;2015;Antoine Griezmann;Delantero;15;47445;Iago Aspas;0.956;91429;Giuseppe Rossi;0.9553;59937;Miku Fedor;0.9382;47290;Aritz Aduriz;0.9248;47394;Charles Días;0.9229
127;2015;Marc-André Ter Stegen;Portero;14;47426;Rubén Blanco;0.9805;46647;Rubén Martínez;0.9741;2741;Mathew Ryan;0.9685;105111;Toño;0.9546;10151;Diego Alves;0.9314
128;2015;Jordi Alba;Defensa;1;1977;Adriano;0.7494;733;Daniel Carvajal;0.7316;2047;Aleix Vidal;0.7199;256;Dani Alves;0.6697;113711;Benoît Trémoulinas;0.9366
136;2015;Gerard Piqué;Defensa;7;618;Danilo;0.9835;13073;Javier Mascherano;0.9529;34;Filipe Luís;0.9368;434;Mariano;0.9156;46819;Juankar;0.9138
137;2015;Sergi Roberto;Mediocentro;7;144;Sergio Busquets;0.9708;47337;Esteban Granero;0.968;42039;Gabi;0.9571;47415;Rubén Pérez;0.9311;43184;Rachid Aït-Atmane;0.9094
140;2015;Thomas Vermaelen;Defensa;10;2043;Daniel Carriço;0.8749;51251;Andreu Fontàs;0.8728;47104;Francisco Varela;0.8211;46874;Jean-Sylvain Babin;0.7979;46820;Federico Ricca;0.7787
142;2015;Rafinha Alcântara;Mediocentro;8;25131;Patrick Ebert;0.9014;27031;Nili;0.8867;334;Simone Verdi;0.8543;104932;Curro;0.8237;46743;Salva Sevilla;0.8071
144;2015;Sergio Busquets;Mediocentro;7;42039;Gabi;0.9972;47337;Esteban Granero;0.9805;137;Sergi Roberto;0.9708;47415;Rubén Pérez;0.9605;47342;Víctor Sánchez;0.9578
149;2015;Ivan Rakitić;Mediocentro;1;47389;Joan Jordán;0.9765;50;Koke;0.9647;2840;Celso Borges;0.9466;932;Daniel Wass;0.9456;104794;Xabi Prieto;0.925
154;2015;Lionel Messi;Delantero;12;276;Neymar;0.9826;758;Gareth Bale;0.9811;874;Cristiano Ronaldo;0.9482;18833;Lucas Pérez;0.937;157;Luis Suárez;0.93
157;2015;Luis Suárez;Delantero;12;874;Cristiano Ronaldo;0.995;759;Karim Benzema;0.9926;758;Gareth Bale;0.9679;18833;Lucas Pérez;0.9509;154;Lionel Messi;0.93
185;2015;Fernando Llorente;Delantero;4;41373;Jackson Martínez;0.8902;47066;Álvaro Vázquez;0.8615;47323;Mikel Oyarzabal;0.8381;50502;Álvaro Negredo;0.8078;47423;Sabin Merino;0.794
253;2015;Alphonse Aréola;Portero;11;1335;Carlos Kameni;0.9941;47296;Gerónimo Rulli;0.9933;29;Jan Oblak;0.9931;5986;Germán Lux;0.9901;731;Keylor Navas;0.9895
256;2015;Dani Alves;Defensa;1;733;Daniel Carvajal;0.9942;128;Jordi Alba;0.6697;1977;Adriano;0.6124;2047;Aleix Vidal;0.4584;743;Marcelo;0.9783
276;2015;Neymar;Delantero;12;154;Lionel Messi;0.9826;758;Gareth Bale;0.9489;18833;Lucas Pérez;0.9014;874;Cristiano Ronaldo;0.8924;157;Luis Suárez;0.8715
328;2015;Fabián Ruiz;Mediocentro;8;104131;Foued Kadir;0.9635;25131;Patrick Ebert;0.9152;1570;Sergio Canales;0.9092;334;Simone Verdi;0.8955;46743;Salva Sevilla;0.8535
334;2015;Simone Verdi;Mediocentro;8;104932;Curro;0.9502;104131;Foued Kadir;0.8993;328;Fabián Ruiz;0.8955;142;Rafinha Alcântara;0.8543;27031;Nili;0.8371
373;2015;Pepe;Defensa;7;47275;Óscar de Marcos;0.9708;46793;David Simón;0.9548;47537;Tito;0.8928;18740;Jonny Otto;0.8872;921;Cristiano Piccini;0.8825
385;2015;Óliver Torres;Mediocentro;1;47262;Francisco Portillo;0.9876;116821;Juan Carlos Valerón;0.9515;2291;Mateo Kovačić;0.9507;51576;Chori Castro;0.9465;2472;Rodrigo de Paul;0.9351
