id_jugador;temporada;nombre;ataque;creacion;defensa;porteros;duelos;regates;percentil_ataque;percentil_creacion;percentil_defensa;percentil_porteros;percentil_duelos;percentil_regates
9;2017;Achraf Hakimi;1.47;4.46;2.97;0.0;6.8;6.9;83.66;65.71;65.53;45.6;80.07;94.61
15;2021;Thomas Delaney;0.86;2.5;5.12;0.0;6.93;3.79;76.34;74.13;87.27;43.97;91.82;67.09
15;2022;Thomas Delaney;0.21;0.91;1.28;0.0;5.17;0.19;51.4;47.41;53.85;43.77;54.83;34.73
20;2022;Axel Witsel;0.0;1.78;4.04;0.0;6.31;3.32;21.22;62.11;82.77;43.77;75.77;67.86
20;2023;Axel Witsel;0.74;2.46;4.49;0.0;6.82;3.35;66.74;71.92;85.55;43.85;91.42;65.21
20;2024;Axel Witsel;0.0;0.95;2.06;0.0;6.14;0.96;22.46;49.12;64.45;43.69;67.16;41.99
20;2025;Axel Witsel;0.57;3.15;3.73;0.0;6.82;2.25;74.71;79.04;79.41;44.26;87.5;65.0
21;2015;Paco Alcácer;3.27;5.66;0.87;0.0;4.12;2.88;96.01;80.06;41.28;46.1;24.4;48.52
21;2016;Paco Alcácer;1.63;2.2;0.42;0.0;1.72;0.83;81.24;31.89;33.73;45.75;13.03;20.7
21;2017;Paco Alcácer;1.85;4.86;1.82;0.0;3.67;1.73;88.06;70.56;55.57;45.6;25.31;31.42
21;2019;Paco Alcácer;3.15;4.26;0.77;0.0;1.97;3.0;95.2;70.02;29.36;46.17;31.23;45.82
21;2020;Paco Alcácer;2.56;2.99;1.08;0.0;3.63;3.55;96.71;81.71;52.21;44.14;40.29;67.29
21;2021;Paco Alcácer;1.01;1.87;1.24;0.0;3.9;2.79;80.23;65.75;54.76;43.97;42.56;54.76
23;2020;Sergio Gómez;0.12;2.03;2.36;0.0;4.95;4.2;50.29;68.79;68.86;44.14;59.43;76.57
23;2024;Sergio Gómez;0.85;7.46;5.25;0.0;7.04;3.57;80.53;97.83;89.96;43.69;83.99;78.7
23;2025;Sergio Gómez;0.0;5.73;8.61;0.0;7.12;2.74;24.41;91.91;98.97;44.26;91.84;71.47
27;2015;Antonio Adán;0.0;0.55;0.08;8.02;4.81;1.1;14.66;10.02;16.79;98.52;30.33;23.75
27;2016;Antonio Adán;0.0;0.67;0.15;6.67;4.66;1.84;14.7;12.01;25.14;97.97;34.94;33.36
27;2017;Antonio Adán;0.0;2.26;0.0;3.83;5.17;3.3;14.99;35.91;9.25;94.97;41.74;47.13
27;2018;Antonio Adán;0.0;0.04;0.0;0.35;0.0;0.0;13.09;1.69;4.99;92.47;0.56;3.58
27;2019;Antonio Adán;0.0;0.05;0.0;0.15;0.0;0.0;15.48;2.49;6.58;92.53;11.57;4.63
29;2015;Jan Oblak;0.0;0.42;0.17;10.0;5.03;1.09;14.66;7.88;20.22;99.72;33.67;23.38
29;2016;Jan Oblak;0.0;0.44;0.04;10.0;4.41;1.1;14.7;8.96;20.89;99.72;31.79;23.38
29;2017;Jan Oblak;0.0;0.65;0.13;10.0;4.19;2.41;14.99;14.99;21.81;99.73;29.17;36.62
29;2018;Jan Oblak;0.0;0.39;0.06;9.23;4.7;1.07;13.09;6.78;11.3;99.44;35.03;25.99
29;2019;Jan Oblak;0.0;0.52;0.06;8.29;0.0;1.13;15.48;13.79;14.86;99.11;11.57;27.05
29;2020;Jan Oblak;0.0;0.24;0.0;10.0;5.15;1.11;22.64;31.21;13.07;99.64;63.36;39.29
