id_equipo,equipo,campeon_pct,champions_pct,europa_pct,media_tabla_pct,descenso_pct
541,Real Madrid,50.06,100.0,0.0,0.0,0.0
529,Barcelona,49.16,100.0,0.0,0.0,0.0
533,Villarreal,0.44,97.84,2.16,0.0,0.0
530,Atletico Madrid,0.34,98.37,1.63,0.0,0.0
540,Espanyol,0.0,1.51,86.3,12.18,0.01
538,Celta Vigo,0.0,1.34,85.97,12.69,0.0
543,Real Betis,0.0,0.91,84.2,14.89,0.0
548,Real Sociedad,0.0,0.03,22.0,77.49,0.48
727,Osasuna,0.0,0.0,3.61,90.61,5.78
536,Sevilla,0.0,0.0,3.13,89.39,7.48
547,Girona,0.0,0.0,3.09,90.69,6.22
797,Elche,0.0,0.0,2.21,91.64,6.15
531,Athletic Club,0.0,0.0,2.1,87.35,10.55
532,Valencia,0.0,0.0,1.53,86.08,12.39
542,Alaves,0.0,0.0,0.86,82.2,16.94
728,Rayo Vallecano,0.0,0.0,0.5,79.16,20.34
546,Getafe,0.0,0.0,0.47,71.86,27.67
798,Mallorca,0.0,0.0,0.22,65.02,34.76
539,Levante,0.0,0.0,0.02,44.71,55.27
718,Oviedo,0.0,0.0,0.0,4.04,95.96
