id_partido;minuto;extra;id_equipo;id_jugador;id_asistente_o_sale;tipo;detalle;comentarios
1390974;31;0;539;450497;;Tarjeta;Tarjeta amarilla;Falta
1390974;43;0;539;128985;;Tarjeta;Tarjeta amarilla;Falta
1390974;57;0;533;180496;3246;Gol;Gol en jugada;
1390974;60;0;533;18906;;Tarjeta;Tarjeta amarilla;Falta
1390974;65;0;539;46790;316517;Sustitucion;Sustitucion 1;
1390974;65;0;539;334878;182639;Sustitucion;Sustitucion 2;
1390974;65;0;539;421807;378284;Sustitucion;Sustitucion 3;
1390974;71;0;533;18906;1702;Sustitucion;Sustitucion 1;
1390974;72;0;533;20696;;Tarjeta;Tarjeta amarilla;Falta
1390974;74;0;539;128985;182770;Sustitucion;Sustitucion 4;
1390974;79;0;533;237066;336671;Sustitucion;Sustitucion 2;
1390974;79;0;533;20696;49;Sustitucion;Sustitucion 3;
1390974;85;0;539;1118;;Tarjeta;Tarjeta amarilla;Falta
1390974;88;0;533;182519;355994;Sustitucion;Sustitucion 4;
1390974;89;0;539;463279;579287;Sustitucion;Sustitucion 5;
1390974;89;0;533;180496;351587;Sustitucion;Sustitucion 5;
1390974;90;4;533;3246;;Tarjeta;Tarjeta amarilla;
1390974;90;0;533;47541;;Tarjeta;Tarjeta amarilla;Falta
1391029;23;0;548;47314;;Tarjeta;Tarjeta amarilla;Falta
1391029;37;0;548;925;23;Gol;Gol en jugada;
1391029;46;0;531;332309;47007;Sustitucion;Sustitucion 1;
1391029;51;0;548;405073;;Tarjeta;Tarjeta amarilla;Discusion / protesta
1391029;56;0;531;47273;;Tarjeta;Tarjeta amarilla;Falta
1391029;62;0;531;332308;84086;Sustitucion;Sustitucion 2;
1391029;63;0;548;287654;183744;Sustitucion;Sustitucion 1;
1391029;63;0;548;7332;47440;Sustitucion;Sustitucion 2;
1391029;69;0;531;182181;;Tarjeta;Tarjeta amarilla;Mano
1391029;72;0;531;183799;47294;Sustitucion;Sustitucion 3;
1391029;72;0;531;30510;183776;Sustitucion;Sustitucion 4;
1391029;75;0;531;183776;;Tarjeta;Tarjeta amarilla;Falta
