id_jugador;nombre;edad;fecha_nacimiento;lugar_nacimiento;pais_nacimiento;nacionalidad;altura;peso
89886;André Zambo Anguissa;30;1995-11-16;;Camerún;Camerún;;
107147;Brahima Fati;27;1998-08-03;Bissau;Guinea-Bisáu;Guinea-Bisáu;176;
75908;Ezequiel Rodríguez;29;1996-03-25;Rosario;Argentina;Argentina;;
80848;Gen Zhang;38;1987-05-05;;RP China;RP China;175;70
352854;Guillermo Ruiz;22;2003-12-09;Madrid;España;España;194;
195164;Javier Sánchez Moreno;0;2026-02-20;Santa Cruz de La Sierra;Bolivia;Bolivia;;
496425;Lucas García;;;;;;;
104837;M. Demichelis;45;1980-12-20;Justiniano Posse;Argentina;Argentina;184;79
181868;Manuel Sánchez Sánchez;;;;España;España;;
47003;Momo;43;1982-07-15;Las Palmas de Gran Canaria;España;España;178;68
35834;Nicolás Pareja;;;;;;;
157910;Paulo Rodrigues;45;1981-02-18;Maceió;Brasil;Brasil;;
104867;Pelayo Suárez;27;1998-07-09;Gijón;España;España;183;84
104624;Samu García;;;;;;;
46767;Sergio Sánchez;;;;;;;
30406;Tòfol Montiel;25;2000-04-11;Palma de Mallorca;España;España;178;64
156480;Victor Gómez;;;;;;;
80891;Wu Hang;33;1993-02-01;;RP China;RP China;175;65
