id_jugador;nombre;edad;fecha_nacimiento;lugar_nacimiento;pais_nacimiento;nacionalidad;altura;peso;foto
1899;A. Abdennour;34;1989-08-06;Sousse;Túnez;Túnez;186;85;https://media.api-sports.io/football/players/1899.png
46937;A. Abeid;28;1997-12-11;Riad;Arabia Saudita;Mauritania;174;70;https://media.api-sports.io/football/players/46937.png
46813;A. Abqar;26;1999-03-10;Settat;Marruecos;Marruecos;188;80;https://media.api-sports.io/football/players/46813.png
57446;A. Adams;25;2000-01-29;Kogi;Nigeria;Nigeria;190;92;https://media.api-sports.io/football/players/57446.png
129698;Omar Oliveros Álvarez;29;1996-05-16;;Spain;Spain;;;https://media.api-sports.io/football/players/129698.png
148136;Hugo Sanmartín;37;1988-11-07;Vigo;Spain;Spain;165;60;https://media.api-sports.io/football/players/148136.png
186536;Joaquín González;31;1995-01-22;Villanueva de la Serena;Spain;Spain;;;https://media.api-sports.io/football/players/186536.png
70752;A. Alcáraz;42;1982-07-30;San Roque González de Santacruz;Paraguay;Paraguay;187;78;https://media.api-sports.io/football/players/70752.png
442861;A. Andreev;19;2006-03-25;Sofia;Bulgaria;Bulgaria;190;85;https://media.api-sports.io/football/players/442861.png
19306;A. Appiah;24;2001-01-05;Amsterdam;Países Bajos;Inglaterra;173;63;https://media.api-sports.io/football/players/19306.png
554287;A. Arcos;19;;;;;;;https://media.api-sports.io/football/players/554287.png
253;A. Areola;32;1993-02-27;Paris;Francia;Francia;195;94;https://media.api-sports.io/football/players/253.png
47532;A. Ba;34;1991-01-01;Saint-Louis;Senegal;Senegal;197;82;https://media.api-sports.io/football/players/47532.png
21996;A. Baba;31;1994-07-02;Tamale;Ghana;Ghana;180;72;https://media.api-sports.io/football/players/21996.png
51294;A. Bangoura;33;1992-03-30;Conakry;Guinea;Guinea;174;68;https://media.api-sports.io/football/players/51294.png
453885;A. Bassinga;20;2005-07-13;;Costa de Marfil;Costa de Marfil;178;70;https://media.api-sports.io/football/players/453885.png
11379;A. Batalla;29;1996-04-30;Buenos Aires;Argentina;Argentina;186;87;https://media.api-sports.io/football/players/11379.png
336998;A. Boiro;23;2002-06-22;Dakar;Senegal;Senegal;183;75;https://media.api-sports.io/football/players/336998.png
31538;A. Brignoli;34;1991-08-19;Trescore Balneario;Italia;Italia;188;79;https://media.api-sports.io/football/players/31538.png
46746;A. Budimir;34;1991-07-22;Zenica;Bosnia y Herzegovina;Croacia;190;75;https://media.api-sports.io/football/players/46746.png
313058;A. Burlamaqui;23;2002-02-18;Lima;Perú;Perú;179;70;https://media.api-sports.io/football/players/313058.png
2421;A. Callens;33;1992-05-04;Callao;Perú;Perú;186;78;https://media.api-sports.io/football/players/2421.png
30770;A. Candela;25;2000-04-27;La Spezia;Italia;Italia;185;77;https://media.api-sports.io/football/players/30770.png
2282;A. Christensen;29;1996-04-10;Lillerød;Dinamarca;Dinamarca;189;84;https://media.api-sports.io/football/players/2282.png
546872;A. Costa;22;;;;;;;https://media.api-sports.io/football/players/546872.png
83;A. Danjuma;28;1997-01-31;Lagos;Nigeria;Países Bajos;178;74;https://media.api-sports.io/football/players/83.png
1495;A. Diaby;34;1991-05-21;Nanterre;Francia;Mali;172;74;https://media.api-sports.io/football/players/1495.png
463280;A. Diatta;20;2005-05-14;Diouloulou;Senegal;Senegal;190;80;https://media.api-sports.io/football/players/463280.png
18805;A. Doucouré;32;1993-01-01;Meulan-en-Yvelines;Francia;Mali;184;75;https://media.api-sports.io/football/players/18805.png
