id_jugador;nombre;nombre_completo;edad;fecha_nacimiento;lugar_nacimiento;pais_nacimiento;nacionalidad;altura;peso;foto
46673;Aarón Escandell;Aarón Escandell Banacloche;30;1995-09-27;Carcaixent;España;España;185;71;https://media.api-sports.io/football/players/46673.png
25914;Aarón Martin Caricol;Aarón Martín Caricol;28;1997-04-22;Montmeló;España;España;180;72;https://media.api-sports.io/football/players/25914.png
140834;Abdallahi Mahmoud;Abdallahi Mohamed Mahmoud;25;2000-05-04;Nouakchott;Mauritania;Mauritania;189;75;https://media.api-sports.io/football/players/140834.png
386849;Abde Raihani;Abdellah Raihani Ennaou;21;2004-02-03;Barcelona;Marruecos;Marruecos;187;;https://media.api-sports.io/football/players/386849.png
295223;Abdel Rahim;Abdel Rahim Alhassane Bonkano;23;2002-01-01;Abuja;Nigeria;Níger;184;75;https://media.api-sports.io/football/players/295223.png
46813;Abdelkabir Abqar;Abdelkabir Abqar;26;1999-03-10;Settat;Marruecos;Marruecos;188;80;https://media.api-sports.io/football/players/46813.png
183751;Abderrahman Rebbach;Abderrahmane Rebbach;27;1998-08-11;Blida;Argelia;Argelia;176;68;https://media.api-sports.io/football/players/183751.png
181421;Abdessamad Ezzalzouli;Abdessamad Ezzalzouli;24;2001-12-17;Beni Melal;Marruecos;Marruecos;177;73;https://media.api-sports.io/football/players/181421.png
186536;J. Gonzalez;Joaquín González;31;1995-01-22;Villanueva de la Serena;España;España;;;https://media.api-sports.io/football/players/186536.png
1495;Abdoulay Diaby;Abdoulay Diaby;34;1991-05-21;Nanterre;Francia;Mali;172;74;https://media.api-sports.io/football/players/1495.png
47532;Abdoulaye Ba;Abdoulaye Ba;34;1991-01-01;Saint-Louis;Senegal;Senegal;197;82;https://media.api-sports.io/football/players/47532.png
18805;Abdoulaye Doucouré;Abdoulaye Doucouré;32;1993-01-01;Meulan-en-Yvelines;Francia;Mali;184;75;https://media.api-sports.io/football/players/18805.png
14437;I. Kelava;Iván Kelava;38;1988-02-20;Zagreb;Croacia;Croacia;196;92;https://media.api-sports.io/football/players/14437.png
116824;Miguel Muñoz;Miguel Ángel Muñoz Alonso;31;1995-01-26;Madrid;Spain;Spain;178;72;https://media.api-sports.io/football/players/116824.png
200999;Abdoulaye Keita;Abdoulaye Keita Keita;23;2002-09-01;;España;España;186;71;https://media.api-sports.io/football/players/200999.png
15900;Abdul Mumin;Khalid Abdul Mumin Suleman;27;1998-06-06;Accra;Ghana;Ghana;188;79;https://media.api-sports.io/football/players/15900.png
449509;Abdulay Juma Bah;Abdulai Juma Bah;19;2006-04-11;Freetown;Sierra Leona;Sierra Leona;195;80;https://media.api-sports.io/football/players/449509.png
46751;Abdón Prats;Abdón Roger Prats Bastidas;33;1992-12-07;Artá;España;España;181;81;https://media.api-sports.io/football/players/46751.png
181259;Abel Bretones;Abel Bretones Cruz;25;2000-08-21;Langreo;España;España;188;78;https://media.api-sports.io/football/players/181259.png
155;Abel Ruíz;Abel Ruiz Ortega;25;2000-01-28;Almussafes;España;España;182;73;https://media.api-sports.io/football/players/155.png
9700;Abner Vinícius;Abner Vinícius da Silva Santos;25;2000-05-27;Presidente Prudente;Brasil;Brasil;182;75;https://media.api-sports.io/football/players/9700.png
453885;Aboubacar Bassinga;Aboubacar Bassinga;20;2005-07-13;;Costa de Marfil;Costa de Marfil;178;70;https://media.api-sports.io/football/players/453885.png
35810;Abraham González;Abraham González Casanova;40;1985-07-16;Barcelona;España;España;179;75;https://media.api-sports.io/football/players/35810.png
188571;Abraham Rando;Abraham del Moral Rando;24;2001-07-05;Martos;España;España;184;76;https://media.api-sports.io/football/players/188571.png
284441;Abu Kamara;Abu Kamara;22;2003-07-21;;Inglaterra;Inglaterra;186;81;https://media.api-sports.io/football/players/284441.png
9;Achraf Hakimi;Achraf Hakimi Mouh;27;1998-11-04;Madrid;España;Marruecos;181;73;https://media.api-sports.io/football/players/9.png
18811;Adalberto Peñaranda;Adalberto Peñaranda Maestre;28;1997-05-31;San Cristóbal;Venezuela;Venezuela;185;83;https://media.api-sports.io/football/players/18811.png
431921;Adam Aznou;Adam Aznou Ben Cheikh;19;2006-06-02;Barcelona;Marruecos;España;178;70;https://media.api-sports.io/football/players/431921.png
439293;Adam Boayar;Adam Boayar Benaisa;20;2005-10-13;Melilla;España;Marruecos;178;74;https://media.api-sports.io/football/players/439293.png
336998;Adama Boiro;Adama Boiro Boiro;23;2002-06-22;Dakar;Senegal;Senegal;183;75;https://media.api-sports.io/football/players/336998.png
18753;Adama Traoré;Adama Traoré Diarra;29;1996-01-25;L'Hospitalet de Llobregat;España;España;178;86;https://media.api-sports.io/football/players/18753.png
47513;Aday Benítez;Francesc Aday Benítez Caraballo;34;1987-12-16;Sentmenat;España;España;179;75;https://media.api-sports.io/football/players/47513.png
44419;Aderllan Santos;Aderllan Leandro de Jesus Santos;36;1989-04-09;Salgueiro;Brasil;Brasil;193;83;https://media.api-sports.io/football/players/44419.png
1906;Adil Rami;Adil Rami;38;1985-12-27;;Francia;Francia;190;90;https://media.api-sports.io/football/players/1906.png
2924;Adnan Januzaj;Adnan Januzaj;30;1995-02-05;Brussel;Bélgica;Bélgica;186;76;https://media.api-sports.io/football/players/2924.png
15833;Adnane Tighadouini;Adnane Tighadouini;29;1992-10-30;Ede;Países Bajos;Marruecos;179;70;https://media.api-sports.io/football/players/15833.png
104836;Adri López;Adrián López Garrote;26;1999-01-09;Barcelona;España;España;188;71;https://media.api-sports.io/football/players/104836.png
162587;Adria Miquel Bosch Sanchis;Adrià Miquel Bosch Sanchis;24;2001-06-09;Alginet;España;España;190;78;https://media.api-sports.io/football/players/162587.png
394573;Adrian Liso;Adrian Liso Lahoz;20;2005-04-02;Zaragoza;España;España;182;70;https://media.api-sports.io/football/players/394573.png
201007;Adrian Quintela Moya;Adrián Quintela Moya;24;2001-03-11;Madrid;España;España;188;;https://media.api-sports.io/football/players/201007.png
1977;Adriano;Adriano Correia Claro;37;1984-10-26;Curitiba;Brasil;Brasil;172;75;https://media.api-sports.io/football/players/1977.png
162122;Adrià Altimira;Adrià Altimira Reynaldos;24;2001-03-28;Cardedeu;España;España;170;62;https://media.api-sports.io/football/players/162122.png
47329;Adrià Pedrosa;Adrià Giner Pedrosa;27;1998-05-13;Barcelona;España;España;176;69;https://media.api-sports.io/football/players/47329.png
122804;Adriá Guerrero;Adrián Guerrero Aguilar;27;1998-01-28;Blanes;España;España;173;71;https://media.api-sports.io/football/players/122804.png
18812;Adrián;Adrián San Miguel del Castillo;38;1987-01-03;Sevilla;España;España;190;80;https://media.api-sports.io/football/players/18812.png
440339;Adrián Arnu;Adrián Arnuncio Baquerín;18;2007-03-04;Palencia;España;España;185;75;https://media.api-sports.io/football/players/440339.png
182167;Adrián Butzke;Adrián Butzke Benavides;26;1999-03-30;Monachil;España;España;193;85;https://media.api-sports.io/football/players/182167.png
287177;Adrián Corral;Adrián Corral Alciturri;22;2003-01-05;Santander;España;España;183;76;https://media.api-sports.io/football/players/287177.png
47564;Adrián Diéguez;Adrián Diéguez Grande;29;1996-02-04;Madrid;España;España;188;69;https://media.api-sports.io/football/players/47564.png
47554;Adrián Embarba;Adrián Embarba Blázquez;33;1992-05-07;Madrid;España;España;173;66;https://media.api-sports.io/football/players/47554.png
46827;Adrián González;Adrián González Morales;34;1988-05-25;Madrid;España;España;183;78;https://media.api-sports.io/football/players/46827.png
392;Adrián López;Adrián López Álvarez;35;1988-01-08;San Martín De Teverga;España;España;183;73;https://media.api-sports.io/football/players/392.png
47358;Adrián Marín;Adrián Marín Gómez;28;1997-01-09;Torre-Pacheco;España;España;181;73;https://media.api-sports.io/football/players/47358.png
478244;Adrián Molina;Adrián Molina Colorado;20;2005-07-22;Madrid;España;España;;;https://media.api-sports.io/football/players/478244.png
386850;Adrián Niño;Adrián Niño Heredia;21;2004-06-19;Rota;España;España;184;70;https://media.api-sports.io/football/players/386850.png
46785;Adrián Ortolá;Adrián Ortolá Vañó;32;1993-08-20;Javea;España;España;187;74;https://media.api-sports.io/football/players/46785.png
295383;Adrián Pica;Adrián Hernández Hernández;23;2002-04-25;Alba de Tormes;España;España;190;75;https://media.api-sports.io/football/players/295383.png
46695;Adrián Ramos;Gustavo Adrián Ramos Vásquez;39;1986-01-22;Santander de Quilichao;Colombia;Colombia;186;78;https://media.api-sports.io/football/players/46695.png
631889;Adrián Riquelme;;19;;;;;;;https://media.api-sports.io/football/players/631889.png
163060;Adrián Rodríguez;Adrián Rodríguez Giménez;25;2000-12-12;Palma de Mallorca;España;Argentina;195;82;https://media.api-sports.io/football/players/163060.png
333376;Adrián Verde;Adrián Rodríguez Sojo;23;2002-08-03;Casariche;España;España;;;https://media.api-sports.io/football/players/333376.png
734;Adrián de la Fuente;Adrián de la Fuente Barquilla;26;1999-02-26;El Escorial;España;España;179;77;https://media.api-sports.io/football/players/734.png
46768;Ager Aketxe;Ager Aketxe Barrutia;32;1993-12-30;Bilbao;España;España;174;69;https://media.api-sports.io/football/players/46768.png
2464;Agustín Marchesín;Agustín Federico Marchesín;37;1988-03-16;San Cayetano;Argentina;Argentina;188;82;https://media.api-sports.io/football/players/2464.png
48014;Aiham Ousou;Aiham Hanz Ousou;25;2000-01-09;Mölndal;Suecia;Suecia;186;86;https://media.api-sports.io/football/players/48014.png
47303;Aihen Muñoz;Aihen Muñoz Capellán;28;1997-08-16;San Sebastián;España;España;175;68;https://media.api-sports.io/football/players/47303.png
406045;Aimar Blázquez;Aimar Blázquez Labraca;19;2006-03-19;;España;España;;;https://media.api-sports.io/football/players/406045.png
67939;Aimar Oroz;Aimar Oroz Huarte;24;2001-11-27;Pamplona;España;España;177;72;https://media.api-sports.io/football/players/67939.png
440413;Aingeru Olabarrieta;Aingeru Olabarrieta Capelo;20;2005-11-14;Luaiondo;España;España;181;70;https://media.api-sports.io/football/players/440413.png
104843;Aitor Buñuel;Aitor Buñuel Redrado;27;1998-02-10;Tafalla;España;España;173;70;https://media.api-sports.io/football/players/104843.png
36848;Aitor Cantalapiedra;Aitor Cantalapiedra Fernández;29;1996-02-10;Barcelona;España;España;177;67;https://media.api-sports.io/football/players/36848.png
47448;Aitor Fernández;Aitor Fernández Abarisketa;34;1991-05-03;Arrasate;España;España;182;78;https://media.api-sports.io/football/players/47448.png
337843;Aitor Fraga;Aitor Fraga Torres;22;2003-03-12;Hernani;España;España;194;83;https://media.api-sports.io/football/players/337843.png
336590;Aitor Gismera;Aitor Gismera Monge;21;2004-02-21;Getafe;España;España;182;76;https://media.api-sports.io/football/players/336590.png
330440;Aitor Mañas;Aitor Mañas Buenadicha;22;2003-01-05;Madrid;España;España;185;;https://media.api-sports.io/football/players/330440.png
183849;Aitor Paredes;Aitor Paredes Casamichana;25;2000-04-29;Bilbao;España;España;186;76;https://media.api-sports.io/football/players/183849.png
47119;Aitor Ruibal;Aitor Ruibal García;29;1996-03-22;Sallent de Llobregat;España;España;176;74;https://media.api-sports.io/football/players/47119.png
57446;Akor Adams;Akor Jerome Adams;25;2000-01-29;Kogi;Nigeria;Nigeria;190;92;https://media.api-sports.io/football/players/57446.png
2544;Akram Afif;Akram Hassan Afif Yahya Afif;29;1996-11-18;Doha;Catar;Catar;177;70;https://media.api-sports.io/football/players/2544.png
182556;Alan Godoy;Alan Godoy Domínguez;22;2003-05-04;Las Palmas de Gran Canaria;España;España;178;;https://media.api-sports.io/football/players/182556.png
316517;Alan Matturro;Alan Agustín Matturro Romero;21;2004-10-11;Montevideo;Uruguay;Uruguay;189;74;https://media.api-sports.io/football/players/316517.png
463280;Alassane Diatta;Alassane Diatta;20;2005-05-14;Diouloulou;Senegal;Senegal;190;80;https://media.api-sports.io/football/players/463280.png
497515;Albert Niculaesei;Albert Constantin Niculăesei Plesca;17;2008-03-26;;Rumanía;Rumanía;186;76;https://media.api-sports.io/football/players/497515.png
1427;Albert Sambi Lokonga;Albert-Mboyo Sambi Lokonga;26;1999-10-22;Verviers;Bélgica;Bélgica;183;67;https://media.api-sports.io/football/players/1427.png
46754;Alberto;Alberto Cifuentes Martínez;41;1979-05-29;Albacete;España;España;189;80;https://media.api-sports.io/football/players/46754.png
91451;Alberto Aquilani;Alberto Aquilani;34;1984-07-07;Roma;Italia;Italia;185;81;https://media.api-sports.io/football/players/91451.png
31538;Alberto Brignoli;Alberto Brignoli;34;1991-08-19;Trescore Balneario;Italia;Italia;188;79;https://media.api-sports.io/football/players/31538.png
41312;Alberto Bueno;Alberto Bueno Calvo;34;1988-03-20;Madrid;España;España;179;67;https://media.api-sports.io/football/players/41312.png
360411;Alberto Collado;Alberto Collado López;20;2005-04-16;Algeciras;España;España;184;70;https://media.api-sports.io/football/players/360411.png
287653;Alberto Dadie;Alberto Dadie Izagirre;23;2002-07-20;San Sebastián;España;España;170;;https://media.api-sports.io/football/players/287653.png
308346;Alberto Flores;Alberto Flores López;22;2003-11-10;Fuentes de Andalucía;España;España;186;80;https://media.api-sports.io/football/players/308346.png
47528;Alberto Garcia;Alberto García Cabrera;36;1985-02-09;Barcelona;España;España;181;77;https://media.api-sports.io/football/players/47528.png
47050;Alberto Guitian;Alberto Guitián Ceballos;35;1990-07-29;Los Corrales de Buelna;España;España;182;74;https://media.api-sports.io/football/players/47050.png
104807;Alberto Lopez;Alberto López Jiménez;30;1995-05-27;Granada;España;España;173;68;https://media.api-sports.io/football/players/104807.png
105108;Alberto Lopo;Alberto Lopo García;37;1980-05-05;Barcelona;España;España;186;81;https://media.api-sports.io/football/players/105108.png
15372;Alberto Lora;Alberto Lora Ramos;38;1987-03-25;Móstoles;España;España;165;69;https://media.api-sports.io/football/players/15372.png
288074;Alberto Mari;Alberto Marí Sánchez;24;2001-07-11;Alicante;España;España;183;78;https://media.api-sports.io/football/players/288074.png
46690;Alberto Martín;Alberto Martín Romo García Adámez;36;1989-03-31;Badajoz;España;España;179;73;https://media.api-sports.io/football/players/46690.png
182519;Alberto Moleiro;Alberto Moleiro González;22;2003-09-30;Santa Cruz de Tenerife;España;España;172;67;https://media.api-sports.io/football/players/182519.png
313548;Alberto Moreno;Alberto Moreno Rebanal;23;2002-04-19;Madrid;España;España;175;69;https://media.api-sports.io/football/players/313548.png
288;Alberto Moreno;Alberto Moreno Pérez;33;1992-07-05;Sevilla;España;España;171;65;https://media.api-sports.io/football/players/288.png
47041;Alberto Perea;Alberto Álvaro Perea Correoso;34;1990-12-19;Albacete;España;España;177;74;https://media.api-sports.io/football/players/47041.png
104798;Alberto Redondo;Alberto Redondo Guijarro;28;1997-05-22;Cuenca;España;España;;;https://media.api-sports.io/football/players/104798.png
182486;Alberto Reina;Alberto Reina Campos;28;1997-09-09;Chiclana de la Frontera;España;España;179;71;https://media.api-sports.io/football/players/182486.png
465838;Alberto Risco;Alberto Risco Alcántara;20;2005-08-30;;España;España;157;42;https://media.api-sports.io/football/players/465838.png
551460;Alberto Risco;;20;;;;;;;https://media.api-sports.io/football/players/551460.png
38;Alberto Rodríguez;Alberto Rodríguez Baró;28;1997-09-10;Fuenlabrada;España;España;184;71;https://media.api-sports.io/football/players/38.png
47063;Alberto Soro;Alberto Soro Álvarez;26;1999-03-09;Ejea de los Caballeros;España;España;173;64;https://media.api-sports.io/football/players/47063.png
46994;Alberto de la Bella;Alberto de la Bella Madureño;37;1985-12-02;Santa Coloma de Gramanet;España;España;182;79;https://media.api-sports.io/football/players/46994.png
181474;Alberto del Moral;Alberto del Moral Saelices;25;2000-07-20;Villacañas;España;España;185;70;https://media.api-sports.io/football/players/181474.png
119740;Aldo One Esteve;Steve Aldo One;30;1995-01-05;Yaoundé;Camerún;Camerún;183;79;https://media.api-sports.io/football/players/119740.png
46711;Aleix Febas;Aleix Febas Pérez;29;1996-02-02;Lleida;España;España;171;61;https://media.api-sports.io/football/players/46711.png
47516;Aleix García;Aleix García Serrano;28;1997-06-28;Ulldecona;España;España;173;68;https://media.api-sports.io/football/players/47516.png
336557;Aleix Garrido;Aleix Garrido Cañizares;21;2004-02-22;Ripoll;España;España;170;63;https://media.api-sports.io/football/players/336557.png
307005;Aleix Gorjón;Aleix Gorjón Vivó;23;2002-09-26;Sitges;España;España;182;71;https://media.api-sports.io/football/players/307005.png
2047;Aleix Vidal;Aleix Vidal Parreu;34;1989-08-21;Puigpelat;España;España;177;70;https://media.api-sports.io/football/players/2047.png
332315;Alejandro Alfaro;Alejandro Alfaro Cascales;23;2002-06-15;Alicante;España;España;183;73;https://media.api-sports.io/football/players/332315.png
35903;Alejandro Arribas;Alejandro Arribas Garrido;36;1989-05-01;Madrid;España;España;182;76;https://media.api-sports.io/football/players/35903.png
290495;Alejandro Asensio;Alejandro Asensio Crespillo;24;2000-09-14;;España;España;;;https://media.api-sports.io/football/players/290495.png
182219;Alejandro Baena;Alejandro Baena Rodríguez;24;2001-07-20;Roquetas de Mar;España;España;175;70;https://media.api-sports.io/football/players/182219.png
161928;Alejandro Balde;Alejandro Balde Martínez;22;2003-10-18;Barcelona;España;España;177;76;https://media.api-sports.io/football/players/161928.png
47533;Alejandro Catena;Alejandro Catena Marugán;31;1994-10-28;Madrid;España;España;194;82;https://media.api-sports.io/football/players/47533.png
162434;Alejandro Francés;Alejandro Francés Torrijo;23;2002-08-01;Zaragoza;España;España;181;70;https://media.api-sports.io/football/players/162434.png
47534;Alejandro Gálvez;Alejandro Gálvez Jimena;35;1989-06-06;Granada;España;España;188;79;https://media.api-sports.io/football/players/47534.png
