id_tiempo;anio;mes;nombre_mes;dia;nombre_dia;jornada
20150821;2015;8;Agosto;21;Viernes;1
20150822;2015;8;Agosto;22;Sábado;1
20150823;2015;8;Agosto;23;Domingo;1
20150824;2015;8;Agosto;24;Lunes;1
20150828;2015;8;Agosto;28;Viernes;2
20150829;2015;8;Agosto;29;Sábado;2
20150830;2015;8;Agosto;30;Domingo;2
20150911;2015;9;Septiembre;11;Viernes;3
20150912;2015;9;Septiembre;12;Sábado;3
20150913;2015;9;Septiembre;13;Domingo;3
20150914;2015;9;Septiembre;14;Lunes;3
20150918;2015;9;Septiembre;18;Viernes;4
20150919;2015;9;Septiembre;19;Sábado;4
20150920;2015;9;Septiembre;20;Domingo;4
20150922;2015;9;Septiembre;22;Martes;5
20150923;2015;9;Septiembre;23;Miércoles;5
20150924;2015;9;Septiembre;24;Jueves;5
20150925;2015;9;Septiembre;25;Viernes;6
20150926;2015;9;Septiembre;26;Sábado;6
20150927;2015;9;Septiembre;27;Domingo;6
20151002;2015;10;Octubre;2;Viernes;7
20151003;2015;10;Octubre;3;Sábado;7
20151004;2015;10;Octubre;4;Domingo;7
20151017;2015;10;Octubre;17;Sábado;8
20151018;2015;10;Octubre;18;Domingo;8
20151019;2015;10;Octubre;19;Lunes;8
20151023;2015;10;Octubre;23;Viernes;9
20151024;2015;10;Octubre;24;Sábado;9
20151025;2015;10;Octubre;25;Domingo;9
20151026;2015;10;Octubre;26;Lunes;9
20151030;2015;10;Octubre;30;Viernes;10
20151031;2015;10;Octubre;31;Sábado;10
20151101;2015;11;Noviembre;1;Domingo;10
20151106;2015;11;Noviembre;6;Viernes;11
20151107;2015;11;Noviembre;7;Sábado;11
20151108;2015;11;Noviembre;8;Domingo;11
20151121;2015;11;Noviembre;21;Sábado;12
20151122;2015;11;Noviembre;22;Domingo;12
20151123;2015;11;Noviembre;23;Lunes;12
20151127;2015;11;Noviembre;27;Viernes;13
20151128;2015;11;Noviembre;28;Sábado;13
20151129;2015;11;Noviembre;29;Domingo;13
20151205;2015;12;Diciembre;5;Sábado;14
20151206;2015;12;Diciembre;6;Domingo;14
20151207;2015;12;Diciembre;7;Lunes;14
20151211;2015;12;Diciembre;11;Viernes;15
20151212;2015;12;Diciembre;12;Sábado;15
20151213;2015;12;Diciembre;13;Domingo;15
20151219;2015;12;Diciembre;19;Sábado;16
20151220;2015;12;Diciembre;20;Domingo;16
20151230;2015;12;Diciembre;30;Miércoles;17
20151231;2015;12;Diciembre;31;Jueves;17
20160102;2016;1;Enero;2;Sábado;18
20160103;2016;1;Enero;3;Domingo;18
20160104;2016;1;Enero;4;Lunes;18
20160109;2016;1;Enero;9;Sábado;19
20160110;2016;1;Enero;10;Domingo;19
20160116;2016;1;Enero;16;Sábado;20
20160117;2016;1;Enero;17;Domingo;20
20160118;2016;1;Enero;18;Lunes;20
20160122;2016;1;Enero;22;Viernes;21
20160123;2016;1;Enero;23;Sábado;21
