id_partido;id_equipo;tiros_a_puerta;tiros_totales;tiros_en_area;tiros_fuera_area;faltas_cometidas;corners;fueras_de_juego;posesion;tarjetas_amarillas;tarjetas_rojas;paradas;pases_totales;pases_acertados;pct_pases_acertados;goles_esperados;df_goles_esperados
1390974;533;6;15;10;5;20;2;1;41;4;0;4;345;275;80.0;2.4;0.0
1390974;539;4;16;11;5;13;3;3;59;3;0;4;485;405;84.0;0.92;0.0
1391029;531;4;19;12;7;14;6;3;55;4;0;4;421;333;79.0;0.97;0.0
1391029;548;6;8;6;2;14;3;5;45;2;1;3;360;273;76.0;1.66;0.0
1391030;532;4;15;11;4;13;5;1;47;4;0;0;405;332;82.0;1.9;-1.0
1391030;543;2;14;7;7;15;3;2;53;0;0;3;469;394;84.0;1.87;-1.0
1391031;529;8;30;26;4;9;8;2;61;1;0;2;548;473;86.0;6.44;0.0
1391031;797;3;9;7;2;15;2;5;39;2;0;4;353;289;82.0;1.0;0.0
1391032;540;3;10;10;0;15;4;4;50;0;0;5;403;317;79.0;0.69;0.0
1391032;542;7;11;6;5;15;2;1;50;1;0;2;417;320;77.0;1.24;0.0
1391033;538;1;5;2;3;14;3;4;62;2;0;2;542;462;85.0;0.18;0.0
1391033;546;2;9;7;2;16;5;5;38;1;0;1;326;255;78.0;0.35;0.0
1391034;530;4;10;8;2;12;7;3;55;1;0;2;512;438;86.0;0.86;0.0
1391034;539;2;10;4;6;11;4;1;45;2;0;4;424;341;80.0;0.37;0.0
1391035;536;5;15;8;7;8;8;5;67;1;0;2;558;473;85.0;1.13;-1.0
1391035;798;6;11;10;1;16;4;1;33;1;0;4;268;188;70.0;2.63;-1.0
1391036;533;4;5;3;2;7;2;0;53;2;0;2;445;353;79.0;0.92;0.0
1391036;727;5;15;13;2;15;6;1;47;2;0;2;370;299;81.0;1.37;0.0
1391037;541;6;16;12;4;6;9;1;57;2;0;3;582;522;90.0;2.21;0.0
1391037;728;4;11;4;7;18;4;1;43;8;2;4;443;390;88.0;1.03;0.0
1391038;547;1;9;6;3;16;4;2;66;1;0;3;578;523;90.0;0.65;0.0
1391038;718;4;8;6;2;12;4;2;34;1;0;1;288;217;75.0;1.4;0.0
1391039;542;5;13;11;2;20;6;3;60;2;0;3;404;315;78.0;2.02;1.0
1391039;546;5;17;10;7;20;3;2;40;4;0;5;274;180;66.0;1.91;1.0
1391040;531;7;22;14;8;17;4;3;55;2;0;1;502;437;87.0;2.08;0.0
1391040;539;3;6;2;4;10;3;3;45;1;1;3;400;314;79.0;0.51;0.0
1391041;530;5;10;8;2;12;7;6;65;3;0;3;678;605;89.0;0.67;1.0
1391041;543;4;8;3;5;3;3;1;35;1;0;5;371;304;82.0;0.7;1.0
1391042;529;7;24;11;13;7;12;0;76;0;0;4;777;706;91.0;2.63;0.0
1391042;798;4;9;6;3;9;3;3;24;0;0;4;237;165;70.0;0.8;0.0
1391043;538;4;18;12;6;9;7;0;57;2;0;0;555;502;90.0;2.16;0.0
1391043;727;2;8;6;2;14;3;2;43;2;0;3;409;364;89.0;0.66;0.0
1391045;548;3;11;8;3;14;2;2;34;0;0;4;296;226;76.0;2.63;0.0
1391045;797;5;11;7;4;8;4;0;66;4;0;0;592;504;85.0;1.27;0.0
1391046;536;3;11;6;5;16;5;5;51;3;0;5;432;372;86.0;0.78;0.0
1391046;547;6;15;10;5;13;7;0;49;3;0;2;421;353;84.0;2.56;0.0
1391047;532;0;7;4;3;10;5;1;40;1;0;4;359;283;79.0;0.44;0.0
1391047;541;6;11;7;4;13;8;3;60;1;0;0;558;495;89.0;0.96;0.0
1391048;533;3;10;7;3;18;5;1;49;3;0;1;428;378;88.0;0.76;-2.0
1391048;540;2;9;4;5;11;8;0;51;3;0;0;438;375;86.0;0.43;-2.0
1391049;727;2;6;4;2;18;3;4;36;4;0;5;258;178;69.0;0.77;1.0
1391049;797;5;17;12;5;13;10;0;64;2;0;1;457;379;83.0;1.7;1.0
1391050;538;5;14;11;3;11;2;2;57;0;0;1;544;481;88.0;2.36;0.0
1391050;540;3;9;7;2;9;2;1;43;1;0;2;393;323;82.0;0.77;0.0
1391051;533;2;8;5;3;17;4;2;56;3;0;0;358;269;75.0;0.6;0.0
1391051;546;2;5;4;1;21;3;1;44;2;0;1;267;187;70.0;1.48;0.0
1391052;529;4;27;18;9;6;7;2;71;3;0;7;739;667;90.0;2.72;1.0
1391052;547;9;13;11;2;10;3;4;29;1;1;4;308;238;77.0;2.86;1.0
1391053;532;2;5;3;2;10;2;3;53;2;0;1;442;374;85.0;0.68;0.0
1391053;539;1;9;5;4;11;3;0;47;3;1;0;383;314;82.0;0.63;0.0
1391054;543;8;17;12;5;10;3;0;35;3;0;2;341;279;82.0;2.12;0.0
1391054;798;3;14;9;5;16;7;1;65;4;0;5;616;537;87.0;1.01;0.0
1391055;530;3;9;7;2;13;8;0;59;3;0;6;486;413;85.0;0.7;0.0
1391055;728;9;13;8;5;10;4;3;41;1;0;3;354;286;81.0;1.61;0.0
1391056;541;5;11;9;2;10;4;5;52;1;0;2;585;533;91.0;3.12;-1.0
1391056;548;3;13;10;3;9;6;1;48;1;0;0;534;488;91.0;1.73;-1.0
1391057;531;4;13;9;4;20;3;1;46;3;0;0;362;271;75.0;1.29;0.0
1391057;718;1;7;5;2;8;2;5;54;2;0;2;444;336;76.0;0.34;0.0
1391058;536;2;4;2;2;16;0;2;26;5;2;0;197;122;62.0;0.27;0.0
1391058;542;1;12;10;2;13;3;1;74;0;0;1;569;493;87.0;1.13;0.0
1391059;542;6;17;13;4;18;7;1;45;2;0;3;417;338;81.0;1.87;0.0
1391059;547;5;10;5;5;6;6;1;55;2;0;4;540;457;85.0;2.22;0.0
1391060;531;8;18;14;4;18;4;3;46;3;0;1;348;264;76.0;2.97;0.0
1391060;797;2;2;1;1;9;1;2;54;3;0;6;440;338;77.0;0.82;0.0
1391061;530;9;18;16;2;8;5;0;61;0;0;0;662;571;86.0;3.12;0.0
1391061;540;2;8;5;3;10;3;2;39;1;0;4;415;324;78.0;1.06;0.0
1391062;529;9;22;13;9;12;13;2;73;2;0;2;770;728;95.0;2.88;0.0
1391062;539;2;5;3;2;10;6;3;27;1;0;6;279;223;80.0;0.53;0.0
1391063;543;3;14;9;5;14;3;0;47;4;0;2;411;353;86.0;1.86;0.0
1391063;728;3;12;7;5;13;5;4;53;3;0;2;465;399;86.0;0.88;0.0
