#NO USADO EN APP PERO SI PARA LE GENERACIÓN DE LA TABLA
id_equipo;temporada;posicion;nombre_equipo;puntos;dg;forma;partidos_jugados;victorias;empates;derrotas;gf;gc;partidos_jugados_local;victorias_local;empates_local;derrotas_local;gf_local;gc_local;partidos_jugados_visitante;victorias_visitante;empates_visitante;derrotas_visitante;gf_visitante;gc_visitante
529;2025;1;Barcelona;52;35;WLWWW;21;17;1;3;57;22;10;10;0;0;31;5;11;7;1;3;26;17
541;2025;2;Real Madrid;51;28;WWWWW;21;16;3;2;45;17;10;9;0;1;23;6;11;7;3;1;22;11
530;2025;3;Atletico Madrid;44;21;WWDWW;21;13;5;3;38;17;11;10;1;0;26;7;10;3;4;3;12;10
533;2025;4;Villarreal;41;16;LLWWL;20;13;2;5;37;21;11;8;1;2;23;9;9;5;1;3;14;12
540;2025;5;Espanyol;34;0;LLDLW;21;10;4;7;25;25;11;6;1;4;13;14;10;4;3;3;12;11
543;2025;6;Real Betis;32;7;LWDLW;21;8;8;5;34;27;10;6;1;3;20;11;11;2;7;2;14;16
538;2025;7;Celta Vigo;32;6;LWWWD;21;8;8;5;29;23;11;3;5;3;16;13;10;5;3;2;13;10
548;2025;8;Real Sociedad;27;0;WWWDD;21;7;6;8;29;29;11;5;2;4;18;16;10;2;4;4;11;13
727;2025;9;Osasuna;25;-1;WWLDW;21;7;4;10;24;25;10;6;2;2;18;11;11;1;2;8;6;14
547;2025;10;Girona;25;-14;DWWWL;21;6;7;8;21;35;11;3;4;4;10;18;10;3;3;4;11;17
797;2025;11;Elche;24;0;LDDLW;21;5;9;7;29;29;11;5;5;1;19;10;10;0;4;6;10;19
536;2025;12;Sevilla;24;-5;WDLLL;21;7;3;11;28;33;11;4;1;6;16;17;10;3;2;5;12;16
531;2025;13;Athletic Club;24;-10;LLDLL;21;7;3;11;20;30;10;5;1;4;10;11;11;2;2;7;10;19
532;2025;14;Valencia;23;-11;WWDLD;21;5;8;8;22;33;11;4;5;2;15;11;10;1;3;6;7;22
542;2025;15;Alaves;22;-8;WLLDL;21;6;4;11;18;26;11;5;3;3;14;11;10;1;1;8;4;15
728;2025;16;Rayo Vallecano;22;-11;LLWDL;21;5;7;9;17;28;10;2;6;2;8;9;11;3;1;7;9;19
546;2025;17;Getafe;22;-11;DLLDL;21;6;4;11;16;27;10;3;2;5;8;9;11;3;2;6;8;18
798;2025;18;Mallorca;21;-9;LWLLD;21;5;6;10;24;33;10;4;4;2;14;13;11;1;2;8;10;20
539;2025;19;Levante;17;-10;WLDWD;20;4;5;11;24;34;9;1;3;5;11;20;11;3;2;6;13;14
718;2025;20;Oviedo;13;-23;LLDDD;21;2;7;12;11;34;10;1;5;4;3;11;11;1;2;8;8;23
529;2024;1;Barcelona;88;63;WLWWW;38;28;4;6;102;39;19;14;1;4;52;20;19;14;3;2;50;19
541;2024;2;Real Madrid;84;40;WWWLW;38;26;6;6;78;38;19;16;1;2;45;19;19;10;5;4;33;19
530;2024;3;Atletico Madrid;76;38;WWLWD;38;22;10;6;68;30;19;14;4;1;42;15;19;8;6;5;26;15
531;2024;4;Athletic Club;70;25;LWWWD;38;19;13;6;54;29;19;11;6;2;32;13;19;8;7;4;22;16
533;2024;5;Villarreal;70;20;WWWWW;38;20;10;8;71;51;19;9;7;3;43;27;19;11;3;5;28;24
543;2024;6;Real Betis;60;7;DLDDW;38;16;12;10;57;50;19;9;7;3;32;21;19;7;5;7;25;29
538;2024;7;Celta Vigo;55;2;WLWWL;38;16;7;15;59;57;19;11;3;5;32;21;19;5;4;10;27;36
728;2024;8;Rayo Vallecano;52;-4;DWDWW;38;13;13;12;41;45;19;6;8;5;24;26;19;7;5;7;17;19
727;2024;9;Osasuna;52;-4;DWWDL;38;12;16;10;48;52;19;10;6;3;33;23;19;2;10;7;15;29
798;2024;10;Mallorca;48;-9;DLLWL;38;13;9;16;35;44;19;7;6;6;20;21;19;6;3;10;15;23
548;2024;11;Real Sociedad;46;-11;LWLLD;38;13;7;18;35;46;19;8;3;8;20;20;19;5;4;10;15;26
532;2024;12;Valencia;46;-10;DLLWW;38;11;13;14;44;54;19;9;4;6;26;20;19;2;9;8;18;34
546;2024;13;Getafe;42;-5;LWLLL;38;11;9;18;34;39;19;4;7;8;15;19;19;7;2;10;19;20
540;2024;14;Espanyol;42;-11;WLLLL;38;11;9;18;40;51;19;8;6;5;23;20;19;3;3;13;17;31
542;2024;15;Alaves;42;-10;DWWLD;38;10;12;16;38;48;19;6;6;7;14;17;19;4;6;9;24;31
547;2024;16;Girona;41;-16;LLWLW;38;11;8;19;44;60;19;7;3;9;27;30;19;4;5;10;17;30
536;2024;17;Sevilla;41;-13;LLWLD;38;10;11;17;42;55;19;6;6;7;17;23;19;4;5;10;25;32
537;2024;18;Leganes;40;-17;WWLWD;38;9;13;16;39;56;19;7;4;8;23;27;19;2;9;8;16;29
534;2024;19;Las Palmas;32;-21;LLLLL;38;8;8;22;40;61;19;4;5;10;21;29;19;4;3;12;19;32
720;2024;20;Valladolid;16;-64;LLLLL;38;4;4;30;26;90;19;3;4;12;11;32;19;1;0;18;15;58
541;2023;1;Real Madrid;95;61;DDWWW;38;29;8;1;87;26;19;16;3;0;48;9;19;13;5;1;39;17
529;2023;2;Barcelona;85;35;WWWWL;38;26;7;5;79;44;19;15;1;3;43;21;19;11;6;2;36;23
547;2023;3;Girona;81;39;WWLDW;38;25;6;7;85;46;19;15;2;2;53;20;19;10;4;5;32;26
530;2023;4;Atletico Madrid;76;27;WLWWW;38;24;4;10;70;43;19;16;1;2;42;22;19;8;3;8;28;21
531;2023;5;Athletic Club;68;24;WWLDW;38;19;11;8;61;37;19;12;6;1;42;18;19;7;5;7;19;19
548;2023;6;Real Sociedad;60;12;LWWLW;38;16;12;10;51;39;19;8;6;5;26;20;19;8;6;5;25;19
543;2023;7;Real Betis;57;3;DLDWW;38;14;15;9;48;45;19;9;7;3;27;19;19;5;8;6;21;26
533;2023;8;Villarreal;53;0;DDWWL;38;14;11;13;65;65;19;7;5;7;36;32;19;7;6;6;29;33
532;2023;9;Valencia;49;-5;DLLDL;38;13;10;15;40;45;19;8;6;5;20;14;19;5;4;10;20;31
542;2023;10;Alaves;46;-10;DWLDW;38;12;10;16;36;46;19;9;4;6;23;19;19;3;6;10;13;27
727;2023;11;Osasuna;45;-11;DWDDL;38;12;9;17;45;56;19;6;5;8;19;26;19;6;4;9;26;30
546;2023;12;Getafe;43;-12;LLLLL;38;10;13;15;42;54;19;8;5;6;20;22;19;2;8;9;22;32
538;2023;13;Celta Vigo;41;-11;DWWLW;38;10;11;17;46;57;19;6;6;7;21;23;19;4;5;10;25;34
536;2023;14;Sevilla;41;-6;LLLLW;38;10;11;17;48;54;19;6;5;8;27;27;19;4;6;9;21;27
798;2023;15;Mallorca;40;-11;WDDWL;38;8;16;14;33;44;19;6;8;5;17;16;19;2;8;9;16;28
534;2023;16;Las Palmas;40;-14;DDDLL;38;10;10;18;33;47;19;6;6;7;20;20;19;4;4;11;13;27
728;2023;17;Rayo Vallecano;38;-19;LLWDL;38;8;14;16;29;48;19;4;8;7;18;26;19;4;6;9;11;22
724;2023;18;Cadiz;33;-29;LDWWL;38;6;15;17;26;55;19;5;9;5;16;19;19;1;6;12;10;36
723;2023;19;Almeria;21;-32;WDLLW;38;3;12;23;43;75;19;1;8;10;22;36;19;2;4;13;21;39
715;2023;20;Granada CF;21;-41;LLLLL;38;4;9;25;38;79;19;4;6;9;24;32;19;0;3;16;14;47
529;2022;1;Barcelona;88;50;LWLLW;38;28;4;6;70;20;19;15;3;1;37;4;19;13;1;5;33;16
541;2022;2;Real Madrid;78;39;DWWLW;38;24;6;8;75;36;19;13;5;1;44;16;19;11;1;7;31;20
530;2022;3;Atletico Madrid;77;37;DWDWL;38;23;8;7;70;33;19;13;3;3;41;15;19;10;5;4;29;18
548;2022;4;Real Sociedad;71;16;WLWWD;38;21;8;9;51;35;19;11;5;3;26;16;19;10;3;6;25;19
533;2022;5;Villarreal;64;19;DLWWW;38;19;7;12;59;40;19;12;3;4;36;18;19;7;4;8;23;22
543;2022;6;Real Betis;60;5;DWLDW;38;17;9;12;46;41;19;9;5;5;26;18;19;8;4;7;20;23
727;2022;7;Osasuna;53;-5;WLWLW;38;15;8;15;37;42;19;11;1;7;24;21;19;4;7;8;13;21
531;2022;8;Athletic Club;51;4;DLLWL;38;14;9;15;47;43;19;8;3;8;22;15;19;6;6;7;25;28
798;2022;9;Mallorca;50;-6;WLWLW;38;14;8;16;37;43;19;10;5;4;22;12;19;4;3;12;15;31
547;2022;10;Girona;49;3;LLDLD;38;13;10;15;58;55;19;10;3;6;35;26;19;3;7;9;23;29
728;2022;11;Rayo Vallecano;49;-8;LWLLL;38;13;10;15;45;53;19;9;5;5;28;22;19;4;5;10;17;31
536;2022;12;Sevilla;49;-7;LLDDW;38;13;10;15;47;54;19;7;5;7;24;25;19;6;5;8;23;29
538;2022;13;Celta Vigo;43;-10;WLDLL;38;11;10;17;43;53;19;7;6;6;26;21;19;4;4;11;17;32
724;2022;14;Cadiz;42;-23;DWLWL;38;10;12;16;30;53;19;7;6;6;19;23;19;3;6;10;11;30
