id_partido;id_jugador;id_equipo;posicion;minutos;nota;capitan;sustituto;goles;penaltis_marcados;asistencias;paradas;goles_concedidos;tiros_totales;tiros_a_puerta;pases_totales;pases_clave;precision_pases;regates_intentados;regates;regateado;duelos_totales;duelos_ganados;faltas_cometidas;faltas_recibidas;entradas;bloqueos;intercepciones;amarilla;roja;penaltis_parados
9508;127;529;P;90;7.2;False;False;0;0;0;2;0;0;0;20;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0
9508;130;529;DF;90;7.6;False;False;0;0;0;0;0;0;0;53;1;94;3;3;0;9;7;1;1;1;0;1;0;0;0
9508;136;529;DF;90;7.3;False;False;0;0;0;0;0;2;2;42;0;89;0;0;0;4;3;1;0;0;0;0;0;0;0
9508;2484;529;DF;90;7.0;False;False;0;0;0;0;0;0;0;55;0;94;0;0;1;9;4;1;2;1;0;1;0;0;0
9508;128;529;DF;90;8.1;False;False;0;0;0;0;0;1;0;78;1;94;1;1;0;7;4;2;0;3;2;3;1;0;0
9508;149;529;M;90;7.4;False;False;0;0;0;0;0;2;0;45;1;90;2;2;0;8;4;2;1;1;1;2;1;0;0
9508;144;529;M;90;6.8;False;False;0;0;0;0;0;0;0;51;0;98;0;0;1;12;6;4;2;1;0;1;0;0;0
9508;33243;529;M;82;7.0;True;False;0;0;0;0;0;1;0;71;0;89;5;3;1;9;5;0;1;0;0;0;0;0;0
9508;153;529;DL;53;7.7;False;False;0;0;0;0;0;0;0;20;3;74;6;5;0;12;6;0;1;0;0;2;0;0;0
9508;157;529;DL;90;7.1;False;False;0;0;1;0;0;2;0;31;2;75;2;1;2;11;5;0;2;2;0;1;1;0;0
9508;147;529;M;67;7.5;False;False;1;0;0;0;0;1;1;38;0;92;4;3;0;11;6;0;2;0;0;0;0;0;0
9508;1461;529;M;37;6.7;False;True;0;0;0;0;0;1;0;22;1;88;3;2;0;4;2;1;0;0;0;0;0;0;0
9508;154;529;DL;23;7.4;False;True;0;0;0;0;0;1;1;16;1;94;2;2;0;4;3;1;0;0;0;0;0;0;0
9508;21;529;DL;8;6.6;False;True;0;0;0;0;0;1;0;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
9508;47295;548;P;90;6.7;False;False;0;0;0;3;1;0;0;26;0;83;0;0;0;0;0;0;0;0;0;1;0;0;0
9508;47298;548;DF;71;6.7;False;False;0;0;0;0;0;0;0;12;0;75;0;0;1;7;4;1;0;2;0;3;0;0;0
9508;47302;548;DF;90;7.3;False;False;0;0;0;0;0;0;0;27;0;81;2;2;1;12;9;2;3;1;2;2;0;0;0
9508;47305;548;DF;90;6.2;False;False;0;0;0;0;0;2;0;34;0;79;0;0;3;7;1;1;0;1;0;1;1;0;0
9508;46994;548;DF;90;6.2;False;False;0;0;0;0;0;0;0;30;0;88;0;0;3;7;3;1;1;1;0;0;0;0;0
9508;47310;548;M;90;6.6;True;False;0;0;0;0;0;1;0;52;1;94;0;0;5;10;3;2;1;2;0;0;0;0;0
9508;47316;548;M;89;7.0;False;False;0;0;0;0;0;0;0;23;0;76;0;0;2;15;10;2;2;5;0;2;0;0;0
9508;2924;548;M;63;6.6;False;False;0;0;0;0;0;1;1;11;1;78;2;1;1;8;3;2;2;0;0;1;1;0;0
9508;47320;548;DL;90;6.2;False;False;0;0;0;0;0;2;0;18;1;90;2;0;2;8;1;1;0;1;0;1;0;0;0
9508;47323;548;M;90;6.6;False;False;0;0;0;0;0;2;0;22;2;81;1;0;3;11;5;0;1;1;0;0;0;0;0
9508;47319;548;DL;90;6.9;False;False;0;0;0;0;0;4;1;20;1;71;3;2;0;9;4;0;1;0;0;0;0;0;0
9508;737;548;DF;19;6.5;False;False;0;0;0;0;0;0;0;9;0;75;0;0;0;1;0;0;0;0;0;0;0;0;0
9508;1570;548;M;27;6.9;False;False;0;0;0;0;0;1;0;20;3;80;0;0;1;4;1;1;1;0;0;0;0;0;0
9508;104794;548;M;1;0.0;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
9509;29;530;P;90;6.2;False;False;0;0;0;1;2;0;0;25;0;71;0;0;0;1;1;0;1;0;0;1;0;0;0
9509;41;530;DF;90;7.0;False;False;0;0;0;0;0;0;0;39;0;86;2;2;0;4;3;0;0;1;1;3;0;0;0
9509;39;530;DF;90;6.7;False;False;0;0;0;0;0;0;0;36;0;76;0;0;1;16;8;4;1;1;1;1;1;0;0
9509;33;530;DF;63;5.8;False;False;0;0;0;0;0;0;0;20;0;76;0;0;0;6;2;2;1;0;0;2;2;1;0
9509;34;530;DF;90;6.9;False;False;0;0;0;0;0;0;0;39;1;75;5;2;0;16;7;3;2;2;2;3;1;0;0
9509;42039;530;M;90;7.2;False;False;0;0;0;0;0;0;0;58;1;86;4;3;1;10;5;1;0;1;0;3;0;0;0
9509;48;530;M;90;7.3;False;False;0;0;0;0;0;2;0;31;0;64;3;3;1;16;11;0;1;4;0;2;0;0;0
9509;53;530;M;59;7.4;False;False;0;0;1;0;0;0;0;20;2;76;3;2;0;6;4;0;1;1;0;0;0;0;0
9509;50;530;M;59;6.3;False;False;0;0;0;0;0;1;1;25;0;80;0;0;1;3;0;0;0;0;0;0;0;0;0
9509;46;530;M;66;6.6;False;False;0;0;0;0;0;0;0;21;0;75;3;3;0;10;7;0;3;0;0;0;0;0;0
9509;33413;530;DL;90;8.2;True;False;2;0;0;0;0;4;2;12;0;70;2;2;1;16;9;2;3;1;0;0;1;0;0
9509;31;530;DF;24;6.4;False;True;0;0;0;0;0;0;0;11;0;91;0;0;0;2;1;1;0;0;0;1;0;0;0
9509;56;530;DL;31;6.5;False;True;0;0;0;0;0;1;1;8;0;66;1;0;1;2;0;0;0;0;0;0;0;0;0
9509;54;530;DL;31;7.0;False;True;0;0;1;0;0;0;0;10;2;83;1;0;1;8;2;1;1;0;0;0;1;0;0
9509;2813;545;P;90;6.3;False;False;0;0;0;2;2;0;0;21;0;61;0;0;0;1;1;0;0;0;0;0;0;0;0
