id_jugador;id_equipo;temporada;posicion;partidos;minutos;titular;nota_media;goles;asistencias;tiros_totales;tiros_a_puerta;pases_totales;pases_clave;precision_pases;entradas;bloqueos;intercepciones;duelos_totales;duelos_ganados;faltas_sufridas;faltas_cometidas;regates_intentados;regates_exito;amarillas;rojas;penaltis_marcados;goles_concedidos;paradas;penaltis_parados
2060;529;2015;Delantero;15;825;8;6.778571;3;2;16;6;307;10;0;10;1;14;85;34;12;0;19;6;0;0;0;0;0;0
127;529;2015;Portero;7;542;6;6.766666;0;0;0;0;151;1;0;0;0;0;1;1;0;0;0;0;0;0;0;7;14;3
128;529;2015;Defensa;31;2591;29;7.02258;0;6;6;2;2035;19;62;53;6;61;163;90;17;0;14;4;2;0;0;0;0;0
136;529;2015;Defensa;30;2592;30;7.116666;2;1;13;6;1884;6;81;39;17;54;186;113;8;0;10;8;12;0;0;0;0;0
137;529;2015;Mediocentro;31;1916;21;7.02;0;5;10;3;1220;20;40;54;1;44;208;127;22;0;41;29;1;0;0;0;0;0
140;529;2015;Defensa;10;506;6;7.01;1;0;3;3;325;0;78;7;3;14;37;25;6;0;0;0;2;0;0;0;0;0
142;529;2015;Mediocentro;6;281;3;6.95;1;0;2;2;176;6;60;4;1;5;26;16;5;0;7;3;0;0;0;0;0;0
144;529;2015;Mediocentro;35;2906;34;7.3;0;4;5;2;2377;21;66;103;4;67;359;234;66;0;11;11;6;0;0;0;0;0
149;529;2015;Mediocentro;36;2579;30;7.222222;7;2;39;14;1744;33;48;63;2;51;279;158;50;0;25;13;3;0;0;0;0;0
154;529;2015;Delantero;33;2729;31;8.454545;26;16;124;75;1786;82;51;11;0;6;368;194;61;0;190;117;3;0;3;0;0;0
157;529;2015;Delantero;35;3150;35;7.671428;40;16;126;70;878;57;0;23;2;8;323;136;59;0;117;41;6;0;3;0;0;0
47324;529;2015;Delantero;10;346;4;6.522222;0;1;7;2;85;6;0;2;0;0;32;10;5;0;10;3;0;0;0;0;0;0
256;529;2015;Defensa;29;2147;24;7.003448;0;4;13;4;1526;22;74;54;6;46;259;114;19;0;39;24;6;0;0;0;0;0
276;529;2015;Delantero;34;3057;34;8.023529;24;12;108;61;1777;105;47;28;0;11;600;321;130;0;247;143;6;0;5;0;0;0
47414;529;2015;Mediocentro;3;42;0;6.2;0;0;0;0;19;0;0;2;1;2;4;2;0;0;0;0;0;0;0;0;0;0
33243;529;2015;Mediocentro;28;2247;25;7.367857;1;2;18;6;1802;35;60;57;2;27;249;147;38;0;58;41;2;0;0;0;0;0
33249;529;2015;Mediocentro;1;29;0;6.9;0;0;0;0;27;0;0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0
18965;529;2015;Defensa;0;0;0;6.907692;0;1;0;0;557;4;0;41;4;43;162;97;22;0;27;14;0;0;0;0;0;0
614;529;2015;Portero;32;2878;32;7.021875;0;0;0;0;759;0;70;1;0;4;7;5;1;0;1;1;0;0;0;22;86;1
49859;529;2015;Mediocentro;18;814;9;6.733333;2;3;11;4;567;8;92;25;0;10;133;53;15;0;24;9;5;0;0;0;0;0
13073;529;2015;Defensa;32;2694;31;7.290625;0;0;3;1;1918;11;90;82;15;69;234;149;21;0;11;9;9;1;0;0;0;0
50085;529;2015;Defensa;1;12;0;6.3;0;0;0;0;2;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
1480;529;2015;Defensa;21;1260;12;6.825;0;2;7;3;703;4;87;18;8;38;84;55;6;0;6;6;2;0;0;0;0;0
1561;529;2015;Defensa;13;496;4;6.961538;2;1;5;2;384;2;0;11;8;14;48;34;5;0;7;4;0;0;0;0;0;0
1977;529;2015;Defensa;8;431;4;6.9;0;1;1;0;296;5;79;9;1;10;34;21;6;0;6;4;0;0;0;0;0;0
2047;529;2015;Defensa;9;543;6;6.822222;0;1;1;0;339;6;84;9;0;10;43;19;4;0;7;3;1;0;0;0;0;0
29;530;2015;Portero;38;3420;38;6.944736;0;0;0;0;643;1;0;1;0;3;14;12;4;0;1;1;0;0;0;18;82;0
31;530;2015;Defensa;27;2430;27;7.118518;1;1;11;4;819;8;0;56;18;67;215;132;11;0;14;9;8;0;0;0;0;0
32;530;2015;Defensa;31;2651;31;7.396774;1;1;23;6;951;7;57;71;9;101;304;203;33;0;16;11;6;0;0;0;0;0
