id_jugador;id_equipo;temporada;posicion;partidos;minutos;titular;nota_media;goles;asistencias;tiros_totales;tiros_a_puerta;pases_totales;pases_clave;precision_pases;entradas;bloqueos;intercepciones;duelos_totales;duelos_ganados;faltas_sufridas;faltas_cometidas;regates_intentados;regates_exito;regateado;amarillas;rojas;penaltis_marcados;goles_concedidos;paradas;penaltis_parados
127;529;2015;Portero;7;542;7;6.725092;0;0;0;0;126;1;86.0;0;0;0;1;1;0;0;0;0;0;0;0;0;7;14;0
128;529;2015;Defensa;31;2591;30;7.056696;0;6;7;2;1798;19;86.55;0;0;61;163;90;17;20;14;4;21;2;0;0;0;0;0
136;529;2015;Defensa;30;2592;30;7.121836;2;1;13;6;1830;6;89.67;0;0;54;186;113;8;19;10;8;11;12;0;0;0;0;0
137;529;2015;Defensa;31;1915;28;7.100783;0;5;16;3;1090;20;86.03;0;0;44;208;127;22;17;41;29;15;1;0;0;0;0;0
140;529;2015;Defensa;10;504;9;7.361111;1;0;3;3;313;0;91.1;0;0;14;37;25;6;4;0;0;1;2;0;0;0;0;0
142;529;2015;Mediocentro;6;280;4;7.031429;1;0;2;2;154;6;86.17;0;0;5;26;16;5;3;7;3;0;0;0;0;0;0;0
144;529;2015;Mediocentro;35;2906;35;7.300619;0;4;6;2;2176;21;89.06;0;0;67;359;234;66;30;11;11;39;6;0;0;0;0;0
149;529;2015;Mediocentro;36;2580;34;7.287752;7;2;45;14;1564;33;87.31;0;0;51;279;158;50;39;25;13;35;3;0;0;0;0;0
154;529;2015;Delantero;33;2728;33;8.51162;26;16;158;75;1505;82;81.21;0;0;6;368;194;61;13;190;117;7;3;0;3;0;0;0
157;529;2015;Delantero;35;3150;35;7.685714;40;16;137;70;677;57;73.26;0;0;8;323;136;59;41;117;41;13;6;0;3;0;0;0
256;529;2015;Defensa;29;2148;26;7.037709;0;4;16;4;1459;22;86.1;0;0;46;259;114;19;39;39;24;24;6;0;0;0;0;0
276;529;2015;Delantero;34;3057;34;8.041511;24;12;124;61;1467;105;80.41;0;0;11;600;321;130;48;247;143;18;6;0;5;0;0;0
614;529;2015;Portero;32;2878;32;7.003336;0;0;0;0;720;0;85.5;0;0;4;7;5;1;0;1;1;2;0;0;0;22;86;3
1480;529;2015;Defensa;21;1262;17;6.93645;0;2;7;3;703;4;87.52;0;0;38;84;55;6;8;6;6;6;2;0;0;0;0;0
1561;529;2015;Defensa;13;496;7;7.507056;2;1;5;2;343;2;84.69;0;0;14;48;34;5;3;7;4;2;0;0;0;0;0;0
