id_partido;minuto;extra;id_equipo;id_jugador;id_asistente_o_sale;tipo;detalle;comentarios
9508;42;0;548;47305;0;Tarjeta;Tarjeta amarilla;
9508;43;0;529;157;0;Tarjeta;Tarjeta amarilla;
9508;53;0;548;2924;0;Tarjeta;Tarjeta amarilla;
9508;53;0;529;153;1461;Sustitución;Sustitución 1;
9508;57;0;529;147;157;Gol;Gol en jugada;
9508;63;0;548;2924;1570;Sustitución;Sustitución 1;
9508;67;0;529;147;154;Sustitución;Sustitución 2;
9508;71;0;548;47298;737;Sustitución;Sustitución 2;
9508;72;0;529;128;0;Tarjeta;Tarjeta amarilla;
9508;75;0;529;149;0;Tarjeta;Tarjeta amarilla;
9508;82;0;529;33243;21;Sustitución;Sustitución 3;
9508;89;0;548;47316;104794;Sustitución;Sustitución 3;
9509;8;0;530;33;0;Tarjeta;Tarjeta amarilla;
9509;22;0;530;34;0;Tarjeta;Tarjeta amarilla;
9509;35;0;545;47396;47389;Gol;Gol en jugada;
9509;42;0;530;33413;53;Gol;Gol en jugada;
9509;56;0;545;47281;0;Tarjeta;Tarjeta amarilla;
9509;59;0;530;50;56;Sustitución;Sustitución 1;
9509;59;0;530;53;54;Sustitución;Sustitución 2;
9509;60;0;530;33413;54;Gol;Gol en jugada;
9509;61;0;530;33413;0;Tarjeta;Tarjeta amarilla;
9509;63;0;530;33;0;Tarjeta;Tarjeta amarilla;
9509;63;0;530;33;0;Tarjeta;Tarjeta roja;
9509;65;0;545;46822;0;Tarjeta;Tarjeta amarilla;
9509;66;0;530;46;31;Sustitución;Sustitución 3;
9509;66;0;545;46822;47377;Sustitución;Sustitución 1;
9509;70;0;545;47391;0;Gol;Gol en jugada;
9509;71;0;530;54;0;Tarjeta;Tarjeta amarilla;
9509;78;0;545;46824;47394;Sustitución;Sustitución 2;
9509;83;0;530;39;0;Tarjeta;Tarjeta amarilla;
9509;90;3;545;47396;122128;Sustitución;Sustitución 3;
9510;9;0;540;47334;47340;Gol;Gol en jugada;
9510;56;0;540;47335;25914;Sustitución;Sustitución 1;
9510;58;0;531;47418;47284;Sustitución;Sustitución 1;
9510;62;0;531;47565;47279;Sustitución;Sustitución 2;
9510;64;0;540;47340;47339;Sustitución;Sustitución 2;
9510;72;0;531;47294;47423;Sustitución;Sustitución 3;
9510;81;0;540;47333;0;Tarjeta;Tarjeta amarilla;
9510;84;0;540;13062;47336;Sustitución;Sustitución 3;
9511;28;0;532;30515;0;Gol;Gol en jugada;
9511;59;0;544;1421;18833;Sustitución;Sustitución 1;
9511;62;0;532;928;926;Sustitución;Sustitución 1;
9511;62;0;544;47164;392;Sustitución;Sustitución 2;
9511;64;0;532;30515;934;Sustitución;Sustitución 2;
9511;67;0;532;935;19036;Sustitución;Sustitución 3;
9511;77;0;532;925;19036;Gol;Gol en jugada;
9511;80;0;544;18833;392;Gol;Gol en jugada;
9511;83;0;544;44502;50974;Sustitución;Sustitución 3;
9512;11;0;541;758;0;Gol;Gol en jugada;
9512;32;0;541;874;743;Gol;Gol en jugada;
9512;48;0;541;754;0;Tarjeta;Tarjeta amarilla;
9512;57;0;533;1698;44340;Sustitución;Sustitución 1;
9512;62;0;541;874;759;Sustitución;Sustitución 1;
9512;62;0;541;754;757;Sustitución;Sustitución 2;
9512;67;0;533;47499;35604;Sustitución;Sustitución 2;
9512;70;0;533;35604;44;Gol;Gol en jugada;
9512;73;0;541;745;2291;Sustitución;Sustitución 3;
9512;77;0;533;1697;1641;Sustitución;Sustitución 3;
9512;79;0;533;1641;0;Tarjeta;Tarjeta amarilla;
9512;79;0;533;1689;0;Tarjeta;Tarjeta amarilla;
9512;84;0;541;747;0;Tarjeta;Tarjeta amarilla;
9512;85;0;533;1641;44;Gol;Gol en jugada;
9512;88;0;533;35604;0;Tarjeta;Tarjeta amarilla;
9512;89;0;541;752;0;Tarjeta;Tarjeta amarilla;
9512;90;0;533;44340;0;Tarjeta;Tarjeta amarilla;
9513;5;0;547;2617;47520;Gol;Gol en jugada;
9513;13;0;547;47518;0;Tarjeta;Tarjeta amarilla;
9513;14;0;534;47368;0;Gol;Penalti;
9513;21;0;547;47513;0;Tarjeta;Tarjeta amarilla;
9513;42;0;547;2617;0;Gol;Gol en jugada;
9513;46;0;534;47360;46995;Sustitución;Sustitución 1;
9513;59;0;534;2774;0;Tarjeta;Tarjeta amarilla;
9513;59;0;547;26302;47010;Sustitución;Sustitución 1;
9513;63;0;534;44503;104797;Sustitución;Sustitución 2;
9513;66;0;534;47003;46975;Sustitución;Sustitución 3;
9513;80;0;547;47525;47515;Sustitución;Sustitución 2;
9513;85;0;547;2617;3199;Sustitución;Sustitución 3;
9514;35;0;535;46818;0;Tarjeta;Tarjeta amarilla;
9514;54;0;535;46827;0;Tarjeta;Tarjeta amarilla;
9514;68;0;535;2116;80957;Sustitución;Sustitución 1;
9514;68;0;546;47265;22240;Sustitución;Sustitución 1;
9514;69;0;546;47262;46837;Sustitución;Sustitución 2;
9514;73;0;535;46817;0;Tarjeta;Tarjeta amarilla;
9514;73;0;546;22240;0;Gol;Penalti;
9514;76;0;535;47422;47488;Sustitución;Sustitución 2;
9514;79;0;546;47266;0;Tarjeta;Tarjeta amarilla;
9514;82;0;546;2604;104799;Sustitución;Sustitución 3;
9514;83;0;535;95590;0;Tarjeta;Tarjeta amarilla;
9514;84;0;535;46829;185202;Sustitución;Sustitución 3;
9515;28;0;536;2059;2057;Gol;Gol en jugada;
9515;46;0;536;780;35525;Sustitución;Sustitución 1;
9515;61;0;542;19512;47283;Sustitución;Sustitución 1;
9515;61;0;542;47362;2060;Sustitución;Sustitución 2;
9515;64;0;536;47324;2493;Sustitución;Sustitución 2;
9515;71;0;536;35834;0;Tarjeta;Tarjeta amarilla;
9515;75;0;542;47564;0;Tarjeta;Tarjeta amarilla;
9515;76;0;542;47564;47365;Sustitución;Sustitución 3;
9515;81;0;536;2056;0;Tarjeta;Tarjeta amarilla;
9515;81;0;536;2058;163447;Sustitución;Sustitución 3;
9515;84;0;542;47365;0;Tarjeta;Tarjeta amarilla;
9516;20;0;543;2845;47012;Gol;Gol en jugada;
9516;23;0;537;18867;0;Tarjeta;Tarjeta amarilla;
9516;23;0;537;18867;0;Tarjeta;Tarjeta amarilla;
9516;23;0;537;18867;0;Tarjeta;Tarjeta roja;
9516;28;0;537;47409;47406;Gol;Gol en jugada;
9516;62;0;537;46861;47307;Sustitución;Sustitución 1;
9516;64;0;537;47093;1616;Gol;Gol en jugada;
9516;69;0;543;47531;20997;Sustitución;Sustitución 1;
9516;69;0;543;1584;2522;Sustitución;Sustitución 2;
9516;74;0;537;47093;2719;Sustitución;Sustitución 2;
9516;76;0;543;2522;0;Gol;Gol en jugada;
9516;77;0;543;328;1579;Sustitución;Sustitución 3;
9516;79;0;537;2719;1616;Gol;Gol en jugada;
9516;89;0;537;1616;47567;Sustitución;Sustitución 3;
9517;12;0;539;47468;47467;Gol;Gol en jugada;
9517;22;0;539;47452;0;Tarjeta;Tarjeta amarilla;
9517;29;0;538;2615;0;Gol;Gol en jugada;
9517;35;0;539;47459;0;Tarjeta;Tarjeta amarilla;
9517;35;0;539;47455;0;Tarjeta;Tarjeta amarilla;
9517;41;0;538;47445;47442;Gol;Gol en jugada;
9517;48;0;538;47445;2615;Gol;Gol en jugada;
9517;59;0;539;48418;30941;Sustitución;Sustitución 1;
9517;63;0;538;2615;932;Gol;Gol en jugada;
9517;67;0;538;47445;608;Sustitución;Sustitución 1;
9517;67;0;538;18740;31361;Sustitución;Sustitución 2;
9517;74;0;539;47467;47464;Gol;Gol en jugada;
9517;75;0;539;47467;47461;Sustitución;Sustitución 2;
9517;75;0;539;47468;44617;Sustitución;Sustitución 3;
9517;86;0;538;47442;104806;Sustitución;Sustitución 3;
9517;89;0;538;2615;0;Tarjeta;Tarjeta amarilla;
9518;9;0;539;3429;47467;Gol;Gol en jugada;
9518;20;0;529;140;0;Tarjeta;Tarjeta amarilla;
9518;22;0;539;47461;0;Tarjeta;Tarjeta amarilla;
9518;30;0;539;3429;0;Gol;Gol en jugada;
9518;31;0;529;140;136;Sustitución;Sustitución 1;
9518;37;0;539;3429;0;Tarjeta;Tarjeta amarilla;
9518;38;0;529;147;157;Gol;Gol en jugada;
9518;46;0;539;47461;47464;Gol;Gol en jugada;
9518;49;0;539;3429;47455;Gol;Gol en jugada;
9518;56;0;539;47461;47471;Gol;Gol en jugada;
9518;59;0;529;147;0;Gol;Gol en jugada;
9518;60;0;529;33243;1461;Sustitución;Sustitución 2;
9518;60;0;529;153;21;Sustitución;Sustitución 3;
9518;62;0;539;47451;0;Tarjeta;Tarjeta amarilla;
9518;64;0;529;147;144;Gol;Gol en jugada;
9518;65;0;529;144;0;Tarjeta;Tarjeta amarilla;
9518;69;0;539;47471;2490;Sustitución;Sustitución 1;
9518;70;0;539;47464;0;Tarjeta;Tarjeta amarilla;
9518;71;0;529;157;0;Gol;Penalti;
9518;77;0;539;3429;30941;Sustitución;Sustitución 2;
9518;85;0;539;47467;47468;Sustitución;Sustitución 3;
9518;88;0;539;2490;0;Tarjeta;Tarjeta amarilla;
9518;88;0;529;157;0;Tarjeta;Tarjeta amarilla;
9518;89;0;529;1461;0;Tarjeta;Tarjeta amarilla;
9518;90;0;539;30941;0;Tarjeta;Tarjeta amarilla;
9518;90;0;529;128;0;Tarjeta;Tarjeta amarilla;
9518;90;0;529;2484;0;Tarjeta;Tarjeta amarilla;
9518;90;0;529;136;0;Tarjeta;Tarjeta amarilla;
9519;8;0;540;1707;0;Gol;Gol en jugada;
9519;27;0;540;47347;0;Gol;Gol en jugada;
9519;30;0;540;13062;47347;Gol;Gol en jugada;
9519;39;0;535;46827;0;Gol;Penalti;
9519;46;0;535;46817;104807;Sustitución;Sustitución 1;
9519;59;0;540;47339;47340;Sustitución;Sustitución 1;
9519;59;0;535;2116;47370;Sustitución;Sustitución 2;
9519;67;0;535;47253;0;Tarjeta;Tarjeta amarilla;
9519;71;0;540;47336;47341;Sustitución;Sustitución 2;
9519;73;0;535;2444;0;Tarjeta;Tarjeta amarilla;
9519;79;0;540;47340;0;Gol;Penalti;
9519;80;0;535;2777;41312;Sustitución;Sustitución 3;
9519;82;0;540;47347;12541;Sustitución;Sustitución 3;
9520;13;0;541;758;754;Gol;Gol en jugada;
9520;30;0;541;758;745;Gol;Gol en jugada;
9520;32;0;541;745;752;Gol;Gol en jugada;
9520;46;0;538;608;2557;Sustitución;Sustitución 1;
9520;52;0;541;9;759;Gol;Gol en jugada;
9520;64;0;541;745;746;Sustitución;Sustitución 1;
9520;64;0;541;759;47472;Sustitución;Sustitución 2;
9520;71;0;538;47442;47441;Sustitución;Sustitución 2;
9520;72;0;541;758;757;Sustitución;Sustitución 3;
9520;74;0;541;2042;0;Gol;Gol en propia;
9520;81;0;538;47440;47445;Sustitución;Sustitución 3;
9520;81;0;541;752;47472;Gol;Gol en jugada;
9520;84;0;538;47432;0;Tarjeta;Tarjeta amarilla;
9521;27;0;531;47280;0;Tarjeta;Tarjeta amarilla;
9521;32;0;542;2553;0;Tarjeta;Tarjeta amarilla;
9521;34;0;531;104808;0;Tarjeta;Tarjeta amarilla;
9521;35;0;542;2060;0;Tarjeta;Tarjeta amarilla;
9521;41;0;531;47287;47288;Sustitución;Sustitución 1;
9521;43;0;542;47371;0;Gol;Gol en jugada;
9521;53;0;542;44423;3426;Sustitución;Sustitución 1;
9521;58;0;531;47271;0;Tarjeta;Tarjeta amarilla;
9521;60;0;542;2060;0;Gol;Gol en jugada;
